DateTime,Entries,UniqueIPs
1559114470,1080,1080
1559117983,1078,1078
1559121574,1075,1075
1559125199,1074,1074
1559128782,1073,1073
1559132383,1074,1074
1559135996,1072,1072
1559139587,1073,1073
1559143207,1084,1084
1559146801,1082,1082
1559150401,1082,1082
1559154014,1087,1087
1559157680,1087,1087
1559161205,1083,1083
1559164810,1084,1084
1559168412,1075,1075
1559172020,1075,1075
1559179215,1074,1074
1559182801,1077,1077
1559186403,1077,1077
1559190010,1082,1082
1559193585,1078,1078
1559197183,1077,1077
1559200866,1077,1077
1559204380,1066,1066
1559207987,1070,1070
1559211618,1075,1075
1559215192,1077,1077
1559218797,1080,1080
1559222412,1079,1079
1559225998,1077,1077
1559229610,1076,1076
1559233208,1077,1077
1559236791,1075,1075
1559240400,1077,1077
1559244062,1072,1072
1559247620,1075,1075
1559251218,1075,1075
1559254826,1073,1073
1559258426,1072,1072
1559262007,1071,1071
1559265629,1070,1070
1559269205,1070,1070
1559272816,1069,1069
1559276414,1068,1068
1559280111,1222,1222
1559283721,1228,1228
1559287388,1231,1231
1559293510,1234,1234
1559298120,1224,1224
1559301732,1225,1225
1559305333,1220,1220
1559308929,1222,1222
1559312521,1218,1218
1559316107,1217,1217
1559319713,1215,1215
1559323321,1213,1213
1559326907,1217,1217
1559330513,1217,1217
1559334172,1220,1220
1559337710,1221,1221
1559341318,1232,1232
1559344923,1234,1234
1559352123,1236,1236
1559355742,1235,1235
1559359328,1235,1235
1559362909,1231,1231
1559366539,1231,1231
1559370142,1229,1229
1559373692,1198,1198
1559377310,1196,1196
1559380904,1197,1197
1559384505,1197,1197
1559388085,1159,1159
1559391681,1157,1157
1559395289,1216,1216
1559398903,1213,1213
1559402492,1210,1210
1559406085,1209,1209
1559409693,1206,1206
1559413290,1204,1204
1559416890,1203,1203
1559420488,1205,1205
1559424102,1205,1205
1559427698,1204,1204
1559431298,1201,1201
1559434891,1198,1198
1559438479,1197,1197
1559442085,1197,1197
1559445665,1192,1192
1559449247,1174,1174
1559452865,1169,1169
1559456436,1169,1169
1559460033,1171,1171
1559463655,1173,1173
1559467240,1175,1175
1559470843,1177,1177
1559474458,1177,1177
1559478052,1178,1178
1559481643,1176,1176
1559485253,1168,1168
1559488847,1169,1169
1559492427,1165,1165
1559496054,1158,1158
1559499630,1157,1157
1559503231,1160,1160
1559506857,1158,1158
1559510445,1157,1157
1559514022,1154,1154
1559517643,1152,1152
1559521241,1152,1152
1559524840,1153,1153
1559528444,1152,1152
1559532027,1147,1147
1559535614,1145,1145
1559539246,1144,1144
1559542819,1140,1140
1559546411,1144,1144
1559550051,1153,1153
1559553646,1157,1157
1559557228,1158,1158
1559560853,1158,1158
1559564444,1158,1158
1559568027,1165,1165
1559571668,1166,1166
1559575229,1162,1162
1559578814,1161,1161
1559582464,1162,1162
1559586043,1160,1160
1559589638,1163,1163
1559593261,1159,1159
1559596848,1159,1159
1559600428,1158,1158
1559604044,1159,1159
1559611238,1162,1162
1559614866,1166,1166
1559618446,1162,1162
1559622022,1155,1155
1559625644,1155,1155
1559629225,1154,1154
1559632828,1160,1160
1559636424,1152,1152
1559640033,1152,1152
1559643605,1149,1149
1559647232,1149,1149
1559650831,1153,1153
1559654411,1152,1152
1559658034,1153,1153
1559661632,1154,1154
1559665225,1152,1152
1559668841,1150,1150
1559672446,1150,1150
1559676038,1149,1149
1559679643,1149,1149
1559683235,1148,1148
1559686826,1148,1148
1559690445,1150,1150
1559694036,1150,1150
1559697637,1151,1151
1559701259,1153,1153
1559704833,1154,1154
1559708428,1157,1157
1559712102,1153,1153
1559715628,1152,1152
1559719244,1153,1153
1559722861,1155,1155
1559726441,1153,1153
1559730045,1153,1153
1559733652,1156,1156
1559737226,1154,1154
1559740837,1157,1157
1559744450,1154,1154
1559748036,1167,1167
1559751656,1169,1169
1559755323,1184,1184
1559758840,1180,1180
1559762445,1181,1181
1559766081,1182,1182
1559769662,1185,1185
1559773254,1184,1184
1559776872,1183,1183
1559780449,1182,1182
1559784057,1182,1182
1559787669,1185,1185
1559791246,1182,1182
1559794835,1178,1178
1559798491,1176,1176
1559802035,1179,1179
1559805634,1181,1181
1559809253,1183,1183
1559812862,1183,1183
1559816433,1186,1186
1559820076,1186,1186
1559823654,1185,1185
1559827250,1186,1186
1559830862,1179,1179
1559834437,1176,1176
1559838037,1176,1176
1559841717,1175,1175
1559845245,1174,1174
1559848830,1172,1172
1559852466,1172,1172
1559856045,1174,1174
1559859646,1174,1174
1559863274,1174,1174
1559866839,1171,1171
1559870444,1169,1169
1559874070,1171,1171
1559877637,1174,1174
1559881230,1175,1175
1559884697,905,905
1559888212,877,877
1559891806,871,871
1559895404,844,844
1559898994,843,843
1559902583,839,839
1559906211,841,841
1559909787,841,841
1559913388,840,840
1559917020,843,843
1559920585,845,845
1559924186,845,845
1559927854,846,846
1559931399,841,841
1559935059,840,840
1559938620,836,836
1559942217,836,836
1559945800,831,831
1559949420,829,829
1559952984,829,829
1559956584,828,828
1559960196,827,827
1559963783,830,830
1559967382,831,831
1559971052,832,832
1559974582,835,835
1559978185,838,838
1559981820,868,868
1559985418,865,865
1559989033,866,866
1559992635,866,866
1559996200,868,868
1559999807,809,809
1560003417,809,809
1560006978,810,810
1560010598,809,809
1560014252,811,811
1560017789,810,810
1560021393,811,811
1560025042,809,809
1560028755,808,808
1560032207,810,810
1560035821,809,809
1560039398,810,810
1560043042,809,809
1560046625,807,807
1560050196,809,809
1560053802,810,810
1560057469,811,811
1560060977,809,809
1560064574,805,805
1560068213,805,805
1560071811,806,806
1560075389,803,803
1560079014,804,804
1560082601,808,808
1560086213,807,807
1560089805,806,806
1560093376,805,805
1560096985,806,806
1560100658,803,803
1560104184,803,803
1560107796,799,799
1560111396,799,799
1560118594,800,800
1560122217,800,800
1560125790,799,799
1560129395,799,799
1560133014,798,798
1560136578,799,799
1560143842,799,799
1560147421,802,802
1560150977,809,809
1560154592,790,790
1560158168,790,790
1560161765,788,788
1560165444,790,790
1560172601,786,786
1560176195,787,787
1560179794,791,791
1560183419,789,789
1560187178,792,792
1560190653,795,795
1560194237,795,795
1560197929,789,789
1560201441,788,788
1560205057,793,793
1560208701,789,789
1560212243,790,790
1560215898,787,787
1560219517,783,783
1560223049,783,783
1560226678,788,788
1560230291,790,790
1560233811,792,792
1560237426,797,797
1560241138,816,816
1560244684,819,819
1560248253,819,819
1560251865,820,820
1560255437,823,823
1560259013,823,823
1560262614,822,822
1560266196,824,824
1560269792,822,822
1560273467,819,819
1560277021,822,822
1560280602,825,825
1560284220,823,823
1560287809,821,821
1560291398,818,818
1560295022,815,815
1560298591,815,815
1560302206,810,810
1560305816,808,808
1560309373,806,806
1560312967,805,805
1560316634,803,803
1560320168,806,806
1560323781,808,808
1560327388,803,803
1560330980,805,805
1560334560,802,802
1560338185,805,805
1560341788,805,805
1560345379,803,803
1560348992,804,804
1560352585,805,805
1560356170,797,797
1560359824,781,781
1560363376,784,784
1560366961,786,786
1560370590,784,784
1560374187,785,785
1560377786,782,782
1560381379,782,782
1560384960,783,783
1560388562,785,785
1560392181,783,783
1560395771,783,783
1560399382,788,788
1560403053,793,793
1560406569,796,796
1560410177,798,798
1560413790,770,770
1560417385,775,775
1560421098,779,779
1560424623,778,778
1560428178,779,779
1560431782,776,776
1560435387,774,774
1560438963,772,772
1560442569,770,770
1560446233,770,770
1560449756,770,770
1560453385,768,768
1560457020,769,769
1560460599,768,768
1560464169,767,767
1560467785,769,769
1560471366,769,769
1560474987,762,762
1560478587,763,763
1560482255,767,767
1560485756,760,760
1560489420,764,764
1560492972,767,767
1560496564,771,771
1560500206,788,788
1560503798,789,789
1560507377,788,788
1560511005,789,789
1560514573,792,792
1560518188,794,794
1560521809,791,791
1560525385,792,792
1560528975,791,791
1560532636,790,790
1560536183,789,789
1560539788,790,790
1560543409,789,789
1560546982,788,788
1560550584,797,797
1560554198,802,802
1560557780,800,800
1560561381,801,801
1560564999,799,799
1560568577,798,798
1560572201,798,798
1560575857,797,797
1560579381,795,795
1560582993,796,796
1560586592,777,777
1560590173,780,780
1560593756,779,779
1560597393,778,778
1560600975,777,777
1560604574,780,780
1560608180,780,780
1560611771,782,782
1560615377,785,785
1560619049,783,783
1560622625,779,779
1560626192,779,779
1560629796,779,779
1560633393,784,784
1560636975,781,781
1560640595,782,782
1560644172,785,785
1560647786,785,785
1560654993,786,786
1560658583,785,785
1560662241,785,785
1560665786,790,790
1560669386,789,789
1560673004,791,791
1560676601,793,793
1560680185,789,789
1560683803,791,791
1560687397,790,790
1560691012,791,791
1560694605,791,791
1560698187,792,792
1560701787,794,794
1560705470,801,801
1560709018,802,802
1560712600,805,805
1560716217,805,805
1560719802,804,804
1560723395,806,806
1560727033,809,809
1560730609,809,809
1560734233,807,807
1560737843,807,807
1560741410,805,805
1560745020,806,806
1560748670,804,804
1560752185,804,804
1560755776,799,799
1560759409,815,815
1560763004,814,814
1560766609,816,816
1560770218,818,818
1560773798,818,818
1560777408,820,820
1560781046,818,818
1560784598,821,821
1560788194,822,822
1560791875,823,823
1560795395,820,820
1560799007,818,818
1560802626,816,816
1560806198,814,814
1560809823,812,812
1560813408,810,810
1560817007,809,809
1560820610,810,810
1560824226,807,807
1560827795,807,807
