DateTime,AddedIPs,RemovedIPs
1559193602,79,80
1559197442,92,81
1559199365,82,69
1559203215,73,73
1559207042,90,75
1559208962,70,73
1559212801,93,62
1559216642,93,66
1559220482,77,73
1559222402,91,79
1559228163,79,72
1559230323,86,82
1559234162,68,68
1559238003,96,80
1559241843,95,93
1559245682,100,81
1559251443,98,101
1559253362,75,105
1559257210,81,115
1559260084,99,119
1559263923,54,84
1559269683,87,74
1559271613,72,122
1559275444,75,106
1559277363,85,68
1559281202,89,68
1559285042,73,63
1559288882,85,75
1559292722,84,83
1559296562,75,70
1559300414,82,52
1559302323,76,62
1559306163,82,75
1559310242,93,74
1559314322,79,79
1559318412,79,80
1559320322,82,63
1559324163,87,83
1559328002,81,86
1559331843,84,79
1559335683,102,87
1559339522,86,96
1559343363,68,127
1559345283,151,109
1559349122,58,99
1559352961,114,98
1559356802,79,102
1559358722,98,108
1559364482,79,80
1559366402,80,79
1559368322,145,131
1559372411,94,69
1559376242,86,64
1559378162,89,77
1559382002,94,76
1559385842,79,72
1559389682,89,70
1559393522,89,71
1559397363,82,69
1559401212,92,81
1559403122,70,75
1559406961,73,68
1559408882,84,74
1559412963,70,105
1559418723,84,84
1559422562,90,92
1559424722,82,77
1559430723,66,115
1559432643,92,108
1559434563,63,94
1559438402,89,83
1559444411,78,103
1559446322,80,102
1559450161,66,78
1559454002,83,70
1559459763,69,47
1559461682,85,68
1559465522,71,70
1559471282,90,59
1559473212,104,79
1559475123,76,149
1559477042,68,0
1559478962,86,69
1559482802,91,74
1559486642,73,69
1559490482,95,80
1559492402,96,65
1559500084,82,106
1559502243,91,70
1559504162,81,72
1559508001,94,116
1559511842,82,96
1559515683,72,126
1559517602,97,108
1559521683,53,91
1559527442,143,163
1559531282,82,101
1559537042,93,84
1559541122,87,61
1559544962,84,61
1559550723,71,73
1559552882,82,72
1559554802,87,55
1559556723,55,87
1559558642,146,114
1559560563,71,75
1559566322,84,73
1559570163,86,82
1559574010,94,70
1559575922,81,82
1559579762,128,82
1559583842,115,86
1559589601,103,94
1559591521,95,102
1559595373,91,93
1559597282,92,114
1559601123,76,125
1559604962,91,127
1559609042,60,90
1559612882,95,98
1559616722,82,102
1559618643,94,118
1559622483,90,94
1559626562,76,67
1559630403,82,68
1559634242,89,73
1559638082,69,63
1559641922,68,65
1559643842,83,70
1559649610,67,62
1559651522,78,70
1559655361,106,68
1559657282,70,71
1559663042,82,81
1559666882,77,66
1559670722,90,71
1559676483,84,84
1559678407,89,92
1559680323,93,100
1559684403,94,110
1559688243,80,124
1559690163,112,112
1559695924,63,109
1559700012,83,99
1559701921,81,100
1559705762,97,97
1559709603,70,78
1559713682,87,85
1559717522,79,65
1559721363,96,76
1559725222,75,69
1559727122,77,55
1559730962,71,56
1559732882,80,72
1559734803,72,80
1559736722,80,72
1559738643,85,67
1559742482,81,69
1559748242,91,77
1559750162,98,88
1559754011,88,98
1559755922,201,170
1559759762,87,84
1559763603,96,93
1559767682,95,110
1559773443,95,118
1559775363,93,132
1559779212,92,113
1559781123,58,93
1559783042,84,78
1559788803,86,108
1559792644,92,114
1559796483,83,95
1559800324,93,69
1559804163,90,65
1559806082,86,92
1559811842,69,81
1559813763,82,70
1559817603,87,52
1559819522,81,59
1559825284,78,84
1559829122,90,71
1559832966,86,67
1559835122,84,78
1559838962,80,87
1559840882,87,80
1559842803,164,136
1559848562,93,86
1559850482,99,97
1559854321,98,114
1559858163,82,107
1559862011,85,103
1559863923,111,108
1559866082,184,169
1559868244,182,233
1559872083,80,94
1559875922,74,94
1559879764,80,102
1559883612,86,77
1559885522,79,75
1559889362,94,60
1559893202,82,75
1559895123,84,70
1559900882,72,69
1559904722,63,67
1559908563,71,81
1559912409,86,57
1559916483,84,58
1559918403,73,79
1559920322,89,80
1559924162,80,89
1559926082,160,136
1559929921,86,93
1559933763,148,156
1559935683,171,184
1559937622,92,92
1559939523,79,91
1559943363,86,95
1559947203,85,111
1559952245,94,109
1559956083,60,84
1559958002,90,84
1559961841,85,96
1559965922,69,96
1559969762,76,81
1559973611,80,69
1559975521,74,59
1559979362,79,73
1559983442,83,63
1559987282,93,57
1559991122,84,74
1559994963,73,76
1559996882,76,73
1559998809,123,109
1560002882,92,64
1560004802,69,81
1560008642,90,75
1560012482,84,60
1560014402,81,68
1560018241,65,73
1560024010,60,96
1560025923,87,76
1560029762,70,88
1560033603,67,77
1560035522,82,102
1560041282,45,82
1560045122,87,79
1560047042,81,105
1560052813,77,90
1560054722,57,76
1560058562,80,71
1560062402,65,55
1560066242,64,63
1560068162,63,64
1560070082,121,98
1560073922,87,63
1560081610,127,100
1560085442,79,72
1560087362,90,81
1560091442,72,50
1560095522,81,79
1560099363,89,77
1560101282,95,75
1560107042,79,66
1560108962,77,89
1560110881,88,89
1560112802,89,88
1560114722,88,89
1560116642,78,98
1560120722,71,111
1560122885,111,71
1560124813,129,185
1560126722,42,88
1560130802,67,87
1560134642,80,93
1560138482,88,96
1560140402,0,3
1560142322,73,87
1560146163,87,74
1560150012,75,48
1560153841,74,61
1560155762,82,73
1560159603,68,68
1560163442,89,63
1560167281,96,57
1560171122,72,89
1560174963,90,70
1560178809,93,78
1560182642,89,85
1560184561,100,54
1560188403,82,80
1560190323,113,161
1560192242,204,157
1560194162,83,100
1560198243,98,104
1560204012,91,110
1560207842,76,134
1560210006,86,100
1560213843,46,88
1560217683,75,86
1560221522,85,94
1560225363,83,106
1560229209,78,82
1560231122,92,67
1560236884,131,102
1560242642,71,69
1560246482,63,67
1560250322,67,59
1560254162,84,53
1560258008,62,57
1560259923,89,71
1560265682,81,78
1560267604,85,73
1560269522,86,83
1560275282,81,87
1560281042,99,90
1560282963,124,144
1560286843,81,87
1560290643,87,116
1560292563,73,144
1560296402,114,120
1560302163,61,97
1560304081,98,94
1560309844,96,125
1560311763,126,103
1560317522,154,136
1560321364,93,71
1560323283,73,66
1560329043,71,83
1560332882,78,56
1560336723,82,72
1560340563,95,64
1560344409,73,54
1560348244,84,80
1560350162,84,78
1560354246,99,87
1560358322,77,78
1560364082,101,92
1560366010,87,87
1560367923,97,87
1560372003,99,86
1560375842,87,120
1560379203,64,124
1560381123,109,125
1560386882,62,102
1560390722,88,76
1560394564,73,102
1560398432,90,89
1560400323,82,80
1560402241,78,132
1560408242,139,55
1560410162,76,59
