DateTime,Entries,UniqueIPs
1559193602,6256,6256
1559197442,6267,6267
1559199365,6280,6280
1559203215,6280,6280
1559207042,6295,6295
1559208962,6292,6292
1559212801,6323,6323
1559216642,6350,6350
1559220482,6354,6354
1559222402,6366,6366
1559228163,6373,6373
1559230323,6377,6377
1559234162,6377,6377
1559238003,6393,6393
1559241843,6395,6395
1559245682,6414,6414
1559251443,6411,6411
1559253362,6381,6381
1559257210,6347,6347
1559260084,6327,6327
1559263923,6297,6297
1559269683,6310,6310
1559271613,6260,6260
1559275444,6229,6229
1559277363,6246,6246
1559281202,6267,6267
1559285042,6277,6277
1559288882,6287,6287
1559292722,6288,6288
1559296562,6293,6293
1559300414,6323,6323
1559302323,6337,6337
1559306163,6344,6344
1559310242,6363,6363
1559314322,6363,6363
1559318412,6362,6362
1559320322,6381,6381
1559324163,6385,6385
1559328002,6380,6380
1559331843,6385,6385
1559335683,6400,6400
1559339522,6390,6390
1559343363,6331,6331
1559345283,6373,6373
1559349122,6332,6332
1559352961,6348,6348
1559356802,6325,6325
1559358722,6315,6315
1559364482,6314,6314
1559366402,6315,6315
1559368322,6329,6329
1559372411,6354,6354
1559376242,6376,6376
1559378162,6388,6388
1559382002,6406,6406
1559385842,6413,6413
1559389682,6432,6432
1559393522,6450,6450
1559397363,6463,6463
1559401212,6474,6474
1559403122,6469,6469
1559406961,6474,6474
1559408882,6484,6484
1559412963,6449,6449
1559418723,6449,6449
1559422562,6447,6447
1559424722,6452,6452
1559430723,6403,6403
1559432643,6387,6387
1559434563,6356,6356
1559438402,6362,6362
1559444411,6337,6337
1559446322,6315,6315
1559450161,6303,6303
1559454002,6316,6316
1559459763,6338,6338
1559461682,6355,6355
1559465522,6356,6356
1559471282,6387,6387
1559473212,6412,6412
1559475123,6339,6339
1559477042,6407,6407
1559478962,6424,6424
1559482802,6441,6441
1559486642,6445,6445
1559490482,6460,6460
1559492402,6491,6491
1559500084,6467,6467
1559502243,6488,6488
1559504162,6497,6497
1559508001,6475,6475
1559511842,6461,6461
1559515683,6407,6407
1559517602,6396,6396
1559521683,6358,6358
1559527442,6338,6338
1559531282,6319,6319
1559537042,6328,6328
1559541122,6354,6354
1559544962,6377,6377
1559550723,6375,6375
1559552882,6385,6385
1559554802,6417,6417
1559556723,6385,6385
1559558642,6417,6417
1559560563,6413,6413
1559566322,6424,6424
1559570163,6428,6428
1559574010,6452,6452
1559575922,6451,6451
1559579762,6497,6497
1559583842,6526,6526
1559589601,6535,6535
1559591521,6528,6528
1559595373,6526,6526
1559597282,6504,6504
1559601123,6455,6455
1559604962,6419,6419
1559609042,6389,6389
1559612882,6386,6386
1559616722,6366,6366
1559618643,6342,6342
1559622483,6338,6338
1559626562,6347,6347
1559630403,6361,6361
1559634242,6377,6377
1559638082,6383,6383
1559641922,6386,6386
1559643842,6399,6399
1559649610,6404,6404
1559651522,6412,6412
1559655361,6450,6450
1559657282,6449,6449
1559663042,6450,6450
1559666882,6461,6461
1559670722,6480,6480
1559676483,6480,6480
1559678407,6477,6477
1559680323,6470,6470
1559684403,6454,6454
1559688243,6410,6410
1559690163,6410,6410
1559695924,6364,6364
1559700012,6348,6348
1559701921,6329,6329
1559705762,6329,6329
1559709603,6321,6321
1559713682,6323,6323
1559717522,6337,6337
1559721363,6357,6357
1559725222,6363,6363
1559727122,6385,6385
1559730962,6400,6400
1559732882,6408,6408
1559734803,6400,6400
1559736722,6408,6408
1559738643,6426,6426
1559742482,6438,6438
1559748242,6452,6452
1559750162,6462,6462
1559754011,6452,6452
1559755922,6483,6483
1559759762,6486,6486
1559763603,6489,6489
1559767682,6474,6474
1559773443,6451,6451
1559775363,6412,6412
1559779212,6391,6391
1559781123,6356,6356
1559783042,6362,6362
1559788803,6340,6340
1559792644,6318,6318
1559796483,6306,6306
1559800324,6330,6330
1559804163,6355,6355
1559806082,6349,6349
1559811842,6337,6337
1559813763,6349,6349
1559817603,6384,6384
1559819522,6406,6406
1559825284,6400,6400
1559829122,6419,6419
1559832966,6438,6438
1559835122,6444,6444
1559838962,6437,6437
1559840882,6444,6444
1559842803,6472,6472
1559848562,6479,6479
1559850482,6481,6481
1559854321,6465,6465
1559858163,6440,6440
1559862011,6422,6422
1559863923,6425,6425
1559866082,6440,6440
1559868244,6389,6389
1559872083,6375,6375
1559875922,6355,6355
1559879764,6333,6333
1559883612,6342,6342
1559885522,6346,6346
1559889362,6380,6380
1559893202,6387,6387
1559895123,6401,6401
1559900882,6404,6404
1559904722,6400,6400
1559908563,6390,6390
1559912409,6419,6419
1559916483,6445,6445
1559918403,6439,6439
1559920322,6448,6448
1559924162,6439,6439
1559926082,6463,6463
1559929921,6456,6456
1559933763,6448,6448
1559935683,6435,6435
1559937622,6435,6435
1559939523,6423,6423
1559943363,6414,6414
1559947203,6388,6388
1559952245,6373,6373
1559956083,6349,6349
1559958002,6355,6355
1559961841,6344,6344
1559965922,6317,6317
1559969762,6312,6312
1559973611,6323,6323
1559975521,6338,6338
1559979362,6344,6344
1559983442,6364,6364
1559987282,6400,6400
1559991122,6410,6410
1559994963,6407,6407
1559996882,6410,6410
1559998809,6424,6424
1560002882,6452,6452
1560004802,6440,6440
1560008642,6455,6455
1560012482,6479,6479
1560014402,6492,6492
1560018241,6484,6484
1560024010,6448,6448
1560025923,6459,6459
1560029762,6441,6441
1560033603,6431,6431
1560035522,6411,6411
1560041282,6374,6374
1560045122,6382,6382
1560047042,6358,6358
1560052813,6345,6345
1560054722,6326,6326
1560058562,6335,6335
1560062402,6345,6345
1560066242,6346,6346
1560068162,6345,6345
1560070082,6368,6368
1560073922,6392,6392
1560081610,6419,6419
1560085442,6426,6426
1560087362,6435,6435
1560091442,6457,6457
1560095522,6459,6459
1560099363,6471,6471
1560101282,6491,6491
1560107042,6504,6504
1560108962,6492,6492
1560110881,6491,6491
1560112802,6492,6492
1560114722,6491,6491
1560116642,6471,6471
1560120722,6431,6431
1560122885,6471,6471
1560124813,6415,6415
1560126722,6369,6369
1560130802,6349,6349
1560134642,6336,6336
1560138482,6328,6328
1560140402,6325,6325
1560142322,6311,6311
1560146163,6324,6324
1560150012,6351,6351
1560153841,6364,6364
1560155762,6373,6373
1560159603,6373,6373
1560163442,6399,6399
1560167281,6438,6438
1560171122,6421,6421
1560174963,6441,6441
1560178809,6456,6456
1560182642,6460,6460
1560184561,6506,6506
1560188403,6508,6508
1560190323,6460,6460
1560192242,6507,6507
1560194162,6490,6490
1560198243,6484,6484
1560204012,6465,6465
1560207842,6407,6407
1560210006,6393,6393
1560213843,6351,6351
1560217683,6340,6340
1560221522,6331,6331
1560225363,6308,6308
1560229209,6304,6304
1560231122,6329,6329
1560236884,6358,6358
1560242642,6360,6360
1560246482,6356,6356
1560250322,6364,6364
1560254162,6395,6395
1560258008,6400,6400
1560259923,6418,6418
1560265682,6421,6421
1560267604,6433,6433
1560269522,6436,6436
1560275282,6430,6430
1560281042,6439,6439
1560282963,6419,6419
1560286843,6413,6413
1560290643,6384,6384
1560292563,6313,6313
1560296402,6307,6307
1560302163,6271,6271
1560304081,6275,6275
1560309844,6246,6246
1560311763,6269,6269
1560317522,6287,6287
1560321364,6309,6309
1560323283,6316,6316
1560329043,6304,6304
1560332882,6326,6326
1560336723,6336,6336
1560340563,6367,6367
1560344409,6386,6386
1560348244,6390,6390
1560350162,6396,6396
1560354246,6408,6408
1560358322,6407,6407
1560364082,6416,6416
1560366010,6416,6416
1560367923,6426,6426
1560372003,6439,6439
1560375842,6406,6406
1560379203,6346,6346
1560381123,6330,6330
1560386882,6290,6290
1560390722,6302,6302
1560394564,6273,6273
1560398432,6274,6274
1560400323,6276,6276
1560402241,6222,6222
1560408242,6306,6306
1560410162,6323,6323
1560415922,6315,6315
1560419763,6285,6285
1560425521,6354,6354
1560429362,6375,6375
1560433203,6335,6335
1560437042,6391,6391
1560440882,6374,6374
1560442802,6391,6391
