DateTime,AddedIPs,RemovedIPs
1559946318,69,0
1559952319,38,0
1559953220,1,0
1559954118,13,0
1559962218,99,0
1559963719,0,1
1559967619,13,0
1559970320,14,0
1559974819,1,0
1559976018,128,0
1559976618,2,0
1559979319,0,1
1559980822,35,0
1559982020,5,0
1559982319,0,1
1559983521,0,1
1559988319,48,0
1559993718,19,0
1559994621,14,0
1559997318,0,1
1560001219,1,0
1560003921,20,0
1560006319,1,0
1560006619,17,0
1560009019,30,0
1560009318,99,0
1560017419,2,0
1560018019,145,0
1560018918,1,0
1560026118,0,2
1560027019,111,0
1560027318,25,0
1560027920,70,0
1560032420,1,0
1560033619,21,0
1560036019,1,0
1560038717,1,0
1560039919,171,1
1560040819,1,0
1560045018,1,0
1560047717,7,0
1560052219,2,0
1560054019,78,0
1560055220,17,0
1560055821,2,0
1560059420,1,0
1560060320,12,0
1560060920,0,1
1560064820,8,0
1560065120,123,0
1560070220,2,0
1560071720,16,0
1560073521,41,0
1560075920,3,0
1560076820,1,0
1560077419,10,0
1560077719,90,0
1560083121,0,1
1560083423,21,0
1560084020,1,0
1560085819,16,0
1560090020,5,0
1560091520,0,1
1560093620,1,0
1560095719,23,0
1560096319,147,0
1560097219,1,0
1560103222,2,0
1560103820,2,0
1560104420,2,0
1560105318,25,0
1560106219,17,0
1560108320,1,0
1560109520,149,0
1560111619,75,1
1560116118,12,0
1560122718,2,0
1560123620,24,0
1560130221,0,1
1560133519,66,0
1560135318,101,0
1560136218,0,1
1560138918,14,0
1560141019,11,0
1560144020,1,0
1560144322,0,1
1560144620,0,1
1560147927,1,1
1560148820,119,0
1560149419,9,0
1560149718,0,1
1560153318,1,0
1560154219,1,0
1560155719,1,0
1560157818,147,0
1560158419,0,1
1560166520,1,0
1560168320,12,0
1560173420,0,1
1560173721,1,0
1560174620,27,0
1560174918,0,1
1560175519,12,0
1560177320,9,0
1560178220,1,0
1560178519,0,2
1560179419,1,0
1560180020,1,0
1560180319,0,1
1560182118,5,0
1560183019,3,0
1560188421,186,0
1560189019,96,0
1560189318,0,5
1560190219,3,4
1560190520,0,4
1560190820,0,5
1560191119,0,3
1560192020,0,8
1560192620,0,12
1560192918,0,7
1560193222,0,5
1560193520,0,4
1560193819,0,5
1560194121,0,4
1560194419,0,5
1560194720,0,7
1560195022,0,1
1560195319,0,1
1560195620,0,7
1560196221,1,7
1560196820,157,1
1560197119,2,0
1560200719,1,0
1560203420,51,0
1560207318,3,0
1560209120,43,0
1560209420,0,1
1560210019,2,0
1560210919,115,0
1560214221,22,0
1560214520,0,1
1560215420,1,0
1560216918,1,0
1560218718,20,0
1560219620,1,0
1560224118,1,0
1560224419,19,0
1560225318,1,0
1560225920,1,0
1560226819,1,0
1560227419,32,1
1560228019,1,0
1560229819,0,1
1560231020,0,1
1560231618,37,0
1560233120,2,0
1560235219,1,0
1560236119,0,1
1560237621,7,0
1560239121,0,1
1560239718,1,0
1560240619,1,0
1560245422,0,6
1560246020,21,0
1560246620,1,0
1560246919,0,1
1560247521,1,0
1560248420,0,1
1560248722,0,3
1560253820,18,0
1560254720,5,0
1560255320,0,1
1560255920,0,2
1560257419,276,0
1560257719,0,1
1560261318,14,0
1560261623,15,0
1560264919,0,1
1560267620,35,0
1560268225,1,0
1560271821,1,0
1560274819,1,1
1560275718,1,0
1560277520,1,0
1560280219,0,2
1560280519,0,5
1560280821,0,4
1560281119,1,2
1560281420,0,2
1560281720,92,0
1560282019,24,0
1560282320,7,0
1560282919,17,0
1560283819,1,0
1560285318,223,0
1560285620,1,0
1560288920,106,0
1560294319,1,0
1560295821,265,0
1560296120,94,0
1560297319,0,1
1560302420,0,1
1560302720,101,0
1560303319,1,0
1560303619,0,1
1560304518,1,0
1560304822,0,1
1560308719,44,0
1560309019,100,0
1560309619,33,0
1560310519,1,0
1560311718,41,0
1560312022,0,1
1560313222,1,0
1560313522,0,1
1560314119,37,0
1560314419,17,0
1560315318,1,0
1560317719,35,0
1560318020,80,0
1560318622,13,0
1560319521,28,0
1560323420,71,0
1560324020,8,0
1560327019,0,1
1560329719,80,1
1560332121,0,1
1560332422,0,2
1560335123,38,0
1560336023,19,0
1560339022,0,2
