DateTime,AddedIPs,RemovedIPs
1557032720,1,0
1557036319,0,1
1557038118,1,0
1557039622,1,0
1557040820,1,0
1557042918,1,0
1557052520,1,0
1557058519,1,0
1557061220,1,0
1557065718,1,0
1557081620,1,0
1557088518,1,0
1557114319,1,0
1557114918,1,0
1557116118,1,0
1557120621,1,0
1557121218,1,0
1557127819,1,0
1557133819,1,0
1557139219,1,0
1557139519,1,0
1557141619,1,0
1557142221,1,0
1557150319,1,0
1557201019,1,0
1557202520,1,0
1557205220,1,0
1557207318,1,0
1557212418,1,0
1557213318,1,0
1557218420,1,0
1557220819,1,0
1557223819,1,0
1557225023,1,0
1557227720,1,0
1557232518,1,0
1557237622,1,0
1557260419,0,1
1557274819,1,0
1557282019,1,0
1557282622,1,0
1557283820,1,0
1557285919,1,0
1557291919,1,0
1557293124,1,0
1557295221,1,0
1557300918,1,0
1557306618,1,0
1557311422,1,0
1557315319,1,0
1557316518,1,0
1557320718,1,0
1557325521,1,0
1557326720,1,0
1557347718,1,0
1557363918,1,0
1557365420,1,0
1557375619,1,0
1557382219,1,0
1557384619,1,0
1557388220,1,0
1557396920,1,0
1557398720,2,0
1557406822,1,0
1557409822,1,0
1557446719,1,0
1557450618,1,0
1557451819,1,0
1557457519,1,0
1557458120,1,0
1557463219,1,0
1557471619,1,0
1557476119,1,0
1557479718,1,0
1557481218,1,0
1557482118,1,0
1557492019,1,0
1557500718,1,0
1557538219,1,0
1557538819,1,0
1557539718,1,0
1557550220,1,0
1557553520,1,0
1557557121,1,0
1557557717,1,0
1557558023,1,0
1557564020,1,0
1557577821,1,0
1557578118,1,0
1557579318,1,0
1557579620,1,0
1557582019,1,0
1557604219,1,0
1557628518,1,0
1557628819,1,0
1557629718,1,0
1557631521,1,0
1557632719,1,0
1557633622,1,0
1557637518,1,0
1557639022,1,0
1557651620,1,0
1557662119,1,0
1557666320,1,0
1557668419,1,0
1557682221,1,0
1557714019,1,0
1557714919,1,0
1557716420,1,0
1557718518,1,0
1557724218,1,0
1557725122,1,0
1557728119,1,0
1557730518,1,0
1557732019,1,0
1557733220,1,0
1557737120,1,0
1557742819,1,0
1557744620,1,0
1557748822,1,0
1557750622,1,0
1557756320,1,0
1557758120,1,0
1557771621,1,0
1557771919,1,0
1557772519,1,0
1557772820,1,0
1557773120,1,0
1557773422,1,0
1557773719,1,0
1557774022,1,0
1557774320,1,0
1557774919,1,0
1557799820,0,1
1557810022,2,0
1557815421,1,0
1557820519,1,0
1557827420,1,0
1557828025,1,0
1557828321,2,0
1557828621,1,0
1557831922,1,0
1557836724,1,0
1557839120,1,0
1557845721,1,0
1557879020,1,0
1557884420,1,0
1557894020,1,0
1557897020,1,0
1557913822,1,0
1557917421,1,0
1557920119,1,0
1557920420,1,0
1557924321,1,0
1557925820,1,0
1557930623,1,0
1557951920,1,0
1557957625,1,0
1557964824,1,0
1557984621,1,0
1557985822,1,0
1557990921,0,1
1557999320,2,0
1558000220,1,0
1558001121,1,0
1558004422,1,0
1558005321,1,0
1558007123,1,0
1558012521,1,0
1558014620,1,0
1558016720,1,0
1558020319,1,0
1558046722,1,0
1558050019,1,0
1558076421,1,0
1558081523,1,0
1558087221,1,0
1558088121,1,0
1558088721,1,0
1558089028,1,0
1558089621,1,0
1558090822,1,0
1558096820,1,0
1558101921,1,0
1558106720,1,0
1558115422,1,0
1558141519,1,0
1558147519,1,0
1558152920,1,0
1558158919,1,0
1558160421,1,0
1558161020,1,0
1558175719,1,0
1558185621,1,0
1558188024,1,0
1558201220,0,1
1558205419,0,1
1558223720,1,0
1558229722,1,0
1558233020,1,0
1558233922,1,0
1558235418,1,0
1558240220,1,0
1558240820,1,0
1558246819,1,0
1558249820,1,0
1558250420,1,0
1558251620,1,0
1558260921,1,0
1558263920,1,0
1558280122,1,1
1558304119,1,0
1558318522,1,0
1558319124,1,0
1558319721,1,0
1558331420,1,0
1558334722,1,0
1558335923,1,0
1558348521,1,0
1558351221,1,0
1558360220,1,0
1558362021,1,0
1558394120,1,0
1558421120,1,0
1558427720,1,0
1558433119,1,0
1558433421,1,0
1558434020,1,0
1558436425,1,0
1558437620,1,0
1558439720,1,0
1558442420,1,0
1558443622,1,0
1558444521,1,0
1558448121,1,0
1558455320,1,0
1558482920,1,0
1558487422,1,0
1558500021,1,0
1558518022,1,0
1558520120,1,0
1558520723,1,0
1558522224,1,0
1558525821,1,0
1558536323,1,0
1558551920,0,4
1558569319,1,0
1558584619,1,0
1558598120,1,0
1558600821,1,0
1558602621,1,0
1558604120,1,0
1558605319,1,0
1558607426,1,0
1558607720,1,0
1558608623,2,0
1558609518,1,0
1558615221,1,0
1558627225,1,0
1558675220,1,0
1558685420,1,0
1558686624,1,0
1558686920,1,0
1558690222,1,0
1558691720,1,0
1558692922,1,0
1558697123,1,0
1558697719,1,0
1558698621,1,0
1558701925,1,0
1558702824,1,0
1558713319,1,0
1558746022,1,0
1558749319,1,0
1558750521,1,0
1558752920,1,0
1558753820,1,0
1558756222,0,1
1558760425,1,0
1558761320,1,0
1558764620,1,0
1558776021,1,0
1558776919,1,0
1558778720,1,0
1558786221,1,0
1558797921,1,0
1558811119,1,0
1558819520,1,0
1558828828,1,0
1558831522,0,1
1558832123,1,0
1558846519,1,0
1558848920,1,0
1558850720,1,0
1558858821,1,0
1558873824,1,0
1558883720,1,0
1558897521,1,0
1558914621,1,0
1558925424,1,0
1558930821,1,0
1558935023,1,0
1558946722,1,0
1558953025,1,0
1558953621,1,0
1558999521,1,0
1559004622,1,0
1559009120,1,0
1559011820,1,0
1559014520,1,0
1559016320,1,0
1559025022,1,0
1559026225,1,0
1559035822,1,0
1559039720,1,0
1559041226,1,0
1559058921,0,1
1559085921,1,0
1559090119,1,0
1559094325,1,0
1559099421,1,0
1559104224,1,0
1559123720,1,0
1559126422,1,0
1559126725,1,0
1559127923,1,0
1559129423,1,0
1559135421,1,0
1559154321,1,0
1559171722,1,0
1559176821,1,0
1559177720,1,0
1559183423,0,1
1559188824,1,0
1559199920,1,0
1559202322,1,0
1559204122,2,0
1559211321,1,0
1559221224,1,0
1559253320,0,1
1559259620,1,0
1559262620,1,0
1559282719,1,0
1559284820,1,0
1559291720,1,0
1559295922,1,0
1559297725,1,0
1559298021,1,0
1559301622,1,0
1559303719,1,0
1559306721,1,0
1559311225,1,0
1559314221,1,0
1559322922,1,0
1559359221,2,0
1559359520,1,0
1559362820,1,0
1559364020,1,0
1559364623,1,0
1559372423,1,0
1559376321,1,0
1559378421,1,0
1559384121,1,0
1559395524,1,0
1559438120,1,0
1559448619,1,0
1559448923,1,0
1559449821,1,0
1559454320,1,0
1559461823,1,0
1559471122,1,0
1559482223,1,0
1559484024,1,0
1559484620,1,0
1559486722,1,0
1559494520,1,0
1559522119,1,0
1559539219,1,0
1559543719,1,0
1559544020,1,0
1559544920,1,0
1559554520,1,0
1559562020,1,0
1559563819,1,0
1559574922,1,0
1559578520,1,0
1559580921,1,0
1559602519,1,0
1559630722,1,0
1559634324,1,0
1559638520,1,0
1559646022,1,0
1559653819,1,0
1559654420,1,0
1559677823,0,1
1559689821,1,0
1559690420,1,0
1559692224,1,0
1559719822,1,0
1559725820,1,0
1559731220,1,0
1559732720,1,0
1559737222,1,0
1559739024,1,0
1559741721,1,0
1559742020,0,2
1559742322,0,3
1559746822,1,0
1559752821,1,0
1559777120,2,0
1559804422,1,0
1559808321,1,0
1559831423,0,1
1560192021,0,1
1560193521,0,1
1560194123,0,1
1560195621,0,1
1560333922,1,0
1560334824,1,0
1560336025,1,0
1560336624,2,0
1560337522,1,0
1560338422,1,0
1560339024,1,0
1560340521,1,0
1560340826,1,0
1560342024,1,0
1560344721,1,0
1560347124,1,0
1560347423,1,0
1560348925,1,0
1560357023,1,0
1560362120,0,1
1560367521,1,0
1560376222,1,0
1560383424,1,0
1560407426,1,0
1560420321,1,0
1560420922,1,0
1560421826,1,0
1560423024,1,0
1560425123,1,0
1560426323,1,0
1560429023,2,0
1560431123,1,0
1560432922,1,0
1560438024,1,0
1560495623,1,0
1560502222,1,0
1560507323,4,0
1560507620,1,0
1560508225,1,0
1560512123,2,0
1560513622,1,0
1560516623,0,1
1560522022,1,0
1560546322,1,0
1560570921,1,0
1560573320,1,0
1560575723,1,0
1560588921,1,0
1560594921,1,0
1560603921,1,0
1560616520,1,0
1560621922,1,0
1560642920,1,0
1560646825,1,0
1560655524,1,0
1560657021,1,0
1560659421,1,0
1560662725,1,0
1560671720,1,0
1560676522,1,0
1560679225,1,0
1560684921,1,0
1560693321,1,0
1560703221,1,0
1560744620,1,0
1560755420,1,0
1560756022,1,0
1560765624,1,0
1560765921,1,0
1560770122,1,0
1560771321,1,0
1560772825,1,0
1560775220,1,0
1560816922,1,0
