DateTime,AddedIPs,RemovedIPs
1555439211,256,256
1555446245,256,256
1555448439,256,256
1555454719,256,256
1555460846,256,256
1555521766,512,512
1555524916,256,256
1555540218,256,256
1555545624,256,256
1555608616,768,768
1555611635,256,256
1555618849,256,256
1555626442,256,256
1555633820,256,256
1555635622,256,256
1555644125,256,256
1555694520,1024,1024
1555696821,256,256
1555698078,256,256
1555719642,512,512
1555780824,1536,1536
1555783219,256,256
1555785015,256,256
1555798929,256,256
1555814721,256,256
1555816519,256,256
1555819223,256,256
1555820560,256,256
1555822819,256,256
1555824619,256,256
1555826421,256,256
1555827319,256,256
1555830025,256,256
1555831287,256,256
1555832720,256,256
1555852800,256,256
1555863817,512,512
1555953929,768,768
1555957172,256,256
1555964577,256,256
1555966831,256,256
1555971927,256,256
1555978871,256,256
1556033087,1024,1024
1556050965,512,512
1556053238,256,256
1556055921,256,256
1556065305,768,768
1556145003,3840,3840
1556148143,256,256
1556151989,1792,1792
1556154022,256,256
1556165931,256,256
1556173138,256,256
1556176519,256,256
1556223605,3072,3072
1556224214,256,256
1556227178,256,256
1556231417,512,512
1556234415,256,256
1556238208,2048,2048
1556240418,256,256
1556241448,256,256
1556270690,256,256
1556271018,256,256
1556274100,256,256
1556274618,256,256
1556276421,256,256
1556301620,512,512
1556302815,3072,3072
1556313547,256,256
1556314216,256,256
1556315116,256,256
1556317817,1280,1280
1556320517,256,256
1556324338,1280,1280
1556350219,256,256
1556351119,256,256
1556352918,256,256
1556354719,256,256
1556355641,256,256
1556356518,256,256
1556359227,256,256
1556360119,256,256
1556360684,256,256
1556374833,3584,3584
1556381922,256,256
1556385459,256,256
1556388020,512,512
1556391619,512,512
1556392517,256,256
1556392714,512,512
1556393418,256,256
1556395242,256,256
1556396357,256,256
1556402426,256,256
1556403587,1024,1024
1556405121,256,256
1556406030,256,256
1556411084,1280,1280
1556414337,256,256
1556429403,256,256
1556430324,256,256
1556433923,256,256
1556435723,256,256
1556436604,256,256
1556440275,256,256
1556442042,512,512
1556468475,2816,2816
1556474418,256,256
1556479326,512,512
1556481639,256,256
1556482991,512,512
1556488827,256,256
1556490093,768,768
1556492423,256,256
1556497443,1024,1024
1556548221,256,256
1556554617,3328,3328
1556557219,256,256
1556560819,512,512
1556561853,768,768
1556565501,512,512
1556569272,512,512
1556575224,256,256
1556576233,512,512
1556583483,1024,1024
1556619630,256,256
1556646649,256,256
1556656219,1536,1536
1556669872,256,256
1556676999,256,256
1556695265,256,256
1556723705,768,768
1556733620,256,256
1556734779,256,256
1556741765,256,256
1556757023,256,256
1556814012,1280,1280
1556820024,512,512
1556820984,512,512
1556828311,256,256
1556831924,256,256
1556842599,256,256
1556893221,1280,1280
1556900409,256,256
1556906427,256,256
1556908222,256,256
1556911203,256,256
1556986967,768,768
1556992822,256,256
1557008571,256,256
1557069408,768,768
1557080510,512,512
1557102629,256,256
1557104431,256,256
1557163097,768,768
1557165625,256,256
1557169222,256,256
1557173815,512,512
1557181207,256,256
1557189028,256,256
1557242236,768,768
1557328786,512,512
1557331220,256,256
1557339322,256,256
1557355526,256,256
1557415256,768,768
1557418872,256,256
1557424824,256,256
1557426435,256,256
1557428423,256,256
1557433431,256,256
1557441931,256,256
1557447706,512,512
1557472708,256,256
1557497926,1792,1792
1557505331,256,256
1557507622,256,256
1557511227,256,256
1557513003,256,256
1557519999,256,256
1557534018,256,256
1557584364,768,768
1557588116,256,256
1557592056,256,256
1557610226,256,256
1557611127,256,256
1557613661,256,256
1557616529,256,256
1557617121,256,256
1557620448,256,256
1557681881,1280,1280
1557692574,512,512
1557707403,512,512
1557732153,256,256
1557735838,256,256
1557768388,1536,1536
1557779088,256,256
1557793804,1024,1024
1557797426,256,256
1557800485,256,256
1557851142,3584,3584
1557854501,256,256
1557856822,512,512
1557861319,256,256
1557861863,256,256
1557865803,256,256
1557868893,256,256
1557873004,512,512
1557874827,256,256
1557879951,1280,1280
1557894200,256,256
1557941068,4096,4096
1557943218,256,256
1557944714,768,768
1557952056,256,256
1557953121,256,256
1557957629,256,256
1557959263,256,256
1557963004,256,256
1557966604,512,512
1557970222,256,256
1558016739,1536,1536
1558017918,256,256
1558019718,256,256
1558023864,256,256
1558029621,256,256
1558031403,512,512
1558033220,256,256
1558034665,256,256
1558035021,256,256
1558035919,256,256
1558036823,256,256
1558037720,256,256
1558038256,256,256
1558045883,256,256
1558052662,512,512
1558110273,1536,1536
1558116020,256,256
1558117803,256,256
1558124594,256,256
1558128621,256,256
1558132246,256,256
1558196792,3840,3840
1558198818,256,256
1558202423,1024,1024
1558203745,512,512
1558204219,256,256
1558205120,256,256
1558206020,256,256
1558206920,256,256
1558207605,256,256
1558209639,256,256
1558210972,256,256
1558215006,256,256
1558218603,256,256
1558225822,2048,2048
1558229089,256,256
1558239951,256,256
1558256445,256,256
1558260922,256,256
1558261807,256,256
1558266323,256,256
1558267224,256,256
1558268122,256,256
1558271722,256,256
1558274424,256,256
1558276202,256,256
1558277122,256,256
1558281623,256,256
1558282522,256,256
1558286122,256,256
1558286719,256,256
1558287022,256,256
1558290604,3328,3328
1558291517,256,256
1558292418,256,256
1558294352,256,256
1558295118,256,256
1558297605,256,256
1558299632,256,256
1558301418,512,512
1558304118,256,256
1558305020,1024,1024
1558306830,256,256
1558308459,256,256
1558310420,256,256
1558312221,512,512
1558317623,256,256
1558327522,256,256
1558328422,256,256
1558342830,256,256
1558344818,256,256
1558346424,256,256
1558348204,256,256
1558349122,256,256
1558350023,256,256
1558362603,3072,3072
1558365315,256,256
1558365974,256,256
1558369803,256,256
1558373403,512,512
1558375220,768,768
1558380665,256,256
1558382428,256,256
1558383955,256,256
1558386035,256,256
1558389620,256,256
1558391525,256,256
1558398668,1536,1536
1558423941,256,256
1558434605,256,256
1558456203,3584,3584
1558459589,256,256
1558463404,512,512
1558465218,256,256
1558470460,768,768
1558474203,256,256
1558477837,256,256
1558485151,256,256
1558535242,768,768
1558558845,256,256
1558564234,256,256
1558567549,256,256
1558574724,256,256
1558629019,1280,1280
1558635974,256,256
1558643125,256,256
1558650349,256,256
1558664588,256,256
1558715046,768,768
1558718440,256,256
1558720819,256,256
1558736635,256,256
1558743845,256,256
1558794343,1024,1024
1558798033,256,256
1558801591,256,256
1558803618,256,256
1558807220,256,256
1558808804,512,512
1558884074,1536,1536
1558887799,512,512
1558894904,256,256
1558902152,256,256
1558909319,512,512
1558917004,256,256
1559062824,256,256
1559064620,1280,1280
1559068203,256,256
1559078608,256,256
1559082253,256,256
1559089396,256,256
1559139641,1280,1280
1559147059,256,256
1559154087,256,256
1559169031,256,256
1559175853,256,256
1559262119,768,768
1559294433,768,768
1559298207,256,256
1559300416,256,256
1559301316,256,256
1559302217,256,256
1559305803,256,256
1559312394,256,256
1559323403,256,256
1559326518,256,256
1559326937,256,256
1559334443,256,256
1559349036,512,512
1559398850,1280,1280
1559406365,256,256
1559430023,256,256
1559437224,256,256
1559488711,1536,1536
1559492414,256,256
1559499702,256,256
1559514257,256,256
1559521181,256,256
1559567732,1536,1536
1559571601,256,256
1559574953,256,256
1559578618,256,256
1559584825,256,256
1559585964,512,512
1559588426,256,256
1559589438,256,256
1559601029,512,512
1559608230,512,512
1559614561,256,256
1559672281,1536,1536
1559685614,256,256
1559687423,256,256
1559689223,256,256
1559690123,256,256
1559692816,256,256
1559693832,1024,1024
1559754918,2304,2304
1559757619,512,512
1559758631,512,512
1559761219,256,256
1559763019,256,256
1559764820,256,256
1559765888,768,768
1559773821,256,256
1559780223,512,512
1559837703,1792,1792
1559838618,256,256
1559845073,256,256
1559853020,256,256
1559898998,256,256
1559902591,256,256
1559905231,256,256
1559916903,2048,2048
1559917817,256,256
1559931403,512,512
1559946623,256,256
1559953014,256,256
1559955628,256,256
1560025818,1024,1024
1560100503,1792,1792
1560104310,1024,1024
1560112218,256,256
1560119420,256,256
1560121235,256,256
1560126620,256,256
1560179702,768,768
1560191418,512,512
1560198619,256,256
1560204027,256,256
1560205820,256,256
1560212411,256,256
1560276024,256,256
1560276924,1024,1024
1560284168,256,256
1560291744,256,256
1560297625,256,256
1560359891,1280,1280
1560364217,256,256
1560371419,256,256
1560378621,256,256
1560431872,1536,1536
1560435423,256,256
1560436217,256,256
1560437117,256,256
1560439818,256,256
1560441621,256,256
1560442629,256,256
1560449808,256,256
1560457820,256,256
1560465023,256,256
1560474028,256,256
1560536244,1280,1280
1560558622,768,768
1560561451,256,256
1560618928,3584,3584
1560621622,1280,1280
1560625220,256,256
1560626510,256,256
1560629777,256,256
1560632440,256,256
1560636027,256,256
1560637400,256,256
1560644613,1024,1024
1560654034,256,256
1560655056,256,256
1560657625,256,256
1560658632,256,256
1560669661,256,256
1560671123,256,256
1560672045,256,256
1560673823,256,256
1560674723,256,256
1560675640,256,256
1560677052,256,256
1560698519,2560,2560
1560704418,256,256
1560705316,256,256
1560707117,256,256
1560712851,256,256
1560724045,512,512
1560726031,256,256
1560729627,256,256
1560731056,1024,1024
1560794428,256,256
1560795932,3328,3328
1560806358,256,256
1560808825,256,256
1560810306,256,256
1560813575,256,256
1560816024,256,256
1560817441,1024,1024
1560826830,256,256
1560859226,2560,2560
1560864028,1792,1792
1560882033,256,256
1560889354,256,256
1560897004,256,256
