DateTime,AddedIPs,RemovedIPs
1560246496,6,0
1560247202,326,0
1560248415,6,5
1560250336,13,15
1560252254,15,12
1560254905,1034,717
1560258030,16,48
1560258902,403,0
1560259951,895,837
1560261882,9,22
1560263774,15,18
1560265696,14,18
1560267618,175,17
1560268091,822,1599
1560269537,21,18
1560269702,261,0
1560271483,19,8
1560273382,11,19
1560275308,20,17
1560277232,167,7
1560278670,385,693
1560279163,24,8
1560280817,499,985
1560281063,22,12
1560281402,271,0
1560282987,17,11
1560284902,11,7
1560285002,121,0
1560286883,15,9
1560288743,20,9
1560290665,11,9
1560292573,223,10
1560294541,557,61
1560295452,343,0
1560296412,13,0
1560298349,55,17
1560300255,125,0
1560302188,53,17
1560303002,172,2936
1560304106,13,5
1560306029,33,34
1560307940,19,9
1560309860,15,16
1560311102,284,0
1560311775,23,8
1560313697,28,23
1560317543,17,27
1560318301,231,0
1560319465,16,16
1560321385,14,12
1560321872,498,0
1560322345,509,0
1560323311,16,17
1560325228,17,14
1560327162,828,5
1560329065,13,12
1560329102,319,0
1560330980,6,5
1560332919,15,6
1560334811,14,0
1560336747,152,18
1560338653,18,0
1560340109,803,799
1560340589,16,12
1560340802,351,0
1560342500,13,0
1560344441,10,14
1560346349,136,7
1560348266,125,0
1560350190,14,21
1560352102,17,10
1560353788,816,1678
1560354269,18,11
1560355202,211,0
1560356420,13,17
1560358345,22,14
1560360259,20,15
1560362171,15,13
1560362402,338,0
1560364101,17,13
1560364362,780,808
1560366031,15,18
1560367938,21,20
1560369854,21,13
1560371541,954,872
1560372027,26,7
1560373950,18,13
1560375132,804,0
1560375855,18,21
1560379242,275,29
1560379936,781,0
1560383068,99,144
1560383545,819,821
1560384980,25,13
1560386901,139,7
1560388813,17,7
1560389402,166,3356
1560390741,61,97
1560392655,14,9
1560393001,114,0
1560394580,38,70
1560396505,886,14
1560396602,95,0
1560398457,14,25
1560400341,13,20
1560402261,843,0
1560404171,126,15
1560406351,117,16
1560408262,15,17
1560410179,22,14
1560411002,252,0
1560412102,23,14
1560412581,774,814
1560414023,16,7
1560415946,27,14
1560416423,749,747
1560417874,19,7
1560419102,328,0
1560419781,19,16
1560420509,787,0
1560423628,18,36
1560424828,801,0
1560425548,18,22
1560426302,287,0
1560427463,18,13
1560429382,14,16
1560430582,833,779
1560431292,20,7
1560433214,17,8
1560435142,154,14
1560437076,429,7
1560438002,282,1
1560438978,17,17
1560440412,784,777
1560440907,8,14
1560441602,111,0
1560442813,10,0
1560444506,792,0
1560444995,21,36
1560445202,120,0
1560446902,16,14
1560448098,805,0
1560448831,13,18
1560450736,143,17
1560452906,153,13
1560454812,15,15
1560456754,12,20
1560458658,828,1495
1560459601,205,0
1560460580,11,42
1560461770,776,783
1560462494,14,10
1560464412,11,0
1560465618,762,0
1560466332,6,17
1560468255,149,0
1560469218,811,771
1560470170,11,14
1560472098,162,102
1560473550,788,783
1560474029,10,22
1560475941,185,3124
1560477862,14,12
1560479784,282,11
1560481696,11,12
1560483616,10,13
1560485535,14,9
1560486495,499,482
1560486732,310,361
1560487502,263,0
1560489377,17,23
1560491300,130,459
1560491573,0,355
1560493228,24,18
1560494702,134,0
1560495137,25,9
1560497062,14,13
1560498982,15,20
1560500905,20,12
1560501902,394,0
1560502859,14,30
1560504500,761,1522
1560504748,44,15
1560506669,26,21
1560507859,771,771
1560508576,19,0
1560510505,214,14
1560511228,839,0
1560512418,31,13
1560513602,381,0
1560514597,21,19
1560516742,18,12
1560517453,986,1246
1560518660,12,17
1560520571,14,15
1560521061,939,0
1560522501,19,15
1560524441,18,17
1560525140,897,752
1560526345,22,13
1560528254,15,9
1560529465,720,767
1560530178,17,13
1560532099,144,19
1560533787,875,760
1560534270,19,14
1560536430,25,11
1560537387,825,811
1560538333,23,12
1560539702,237,0
1560540263,22,13
1560540977,754,0
1560542168,10,14
1560543302,106,0
1560544093,23,11
1560545311,704,818
1560546037,24,0
1560546901,96,0
1560547945,19,8
1560548669,740,760
1560549851,17,11
1560552288,802,756
1560553448,37,37
1560554182,18,19
1560556355,251,9
1560557291,43,0
1560557784,755,827
1560558254,11,9
1560560185,15,16
1560561130,40,38
1560562095,123,2799
1560562587,727,815
1560564033,18,16
1560564969,27,23
1560565943,281,10
1560567370,783,0
1560569771,32,16
1560571224,760,0
1560571699,13,13
1560573613,148,13
1560575541,28,0
1560576602,287,0
1560579386,17,28
1560580096,747,797
1560580202,131,0
1560581305,20,22
1560583245,23,22
1560583802,183,0
1560585148,21,12
1560587066,15,16
1560588971,21,13
1560590905,14,10
1560591001,319,0
1560592856,24,36
1560594754,18,24
1560596654,20,18
1560598572,194,41
1560600501,140,25
1560601219,746,2263
1560602660,16,14
1560604574,13,17
1560606302,328,0
1560608412,13,25
1560609902,131,0
1560610343,19,18
1560612261,13,15
1560613502,130,0
1560614172,6,17
1560614448,745,2349
1560616111,10,15
1560617102,121,0
1560618017,22,15
1560619943,19,16
1560621862,11,14
1560622581,812,1488
1560623768,9,14
1560625691,6,20
1560625952,782,824
1560627620,10,22
1560629554,789,748
1560629702,133,0
1560631464,13,22
1560633378,750,742
1560635294,9,11
1560637211,127,16
1560638656,694,732
1560639137,16,0
1560641057,10,17
1560641767,290,124
1560642975,10,17
1560644175,790,802
1560644895,8,7
1560646839,14,14
1560648744,97,3241
1560649476,815,1628
1560650651,12,19
1560652202,272,0
1560652571,10,16
1560653058,743,0
1560653533,22,51
1560654497,12,0
1560655802,131,0
1560656413,10,18
1560658333,11,21
1560660257,14,12
1560662184,22,26
1560663001,199,0
1560664118,19,0
1560666045,16,20
1560666740,715,2367
1560667969,16,15
1560669873,16,33
1560670202,230,0
1560671768,14,18
1560673241,786,0
1560673699,11,15
1560677537,19,27
1560679483,250,22
1560681397,17,17
1560683294,16,21
1560685237,126,15
1560686440,725,0
1560687401,18,29
1560688201,186,0
1560689319,18,14
1560691211,12,16
1560693155,18,0
1560695057,14,16
1560696302,256,0
1560696970,9,13
1560698894,15,9
1560699902,116,0
1560700834,14,10
1560702762,15,10
1560703501,112,0
1560704683,9,21
1560706596,14,17
1560708519,7,8
1560710412,14,7
1560710702,187,0
1560712334,22,5
1560714252,17,8
1560716194,21,11
1560718100,17,11
1560720008,152,7
1560721934,20,10
1560723849,230,10
1560726286,145,13
1560726733,41,0
1560728174,24,10
1560729602,101,2958
1560730360,19,9
1560730576,40,78
1560732274,13,8
1560733202,122,0
1560734172,17,9
1560734407,44,0
1560736120,13,11
1560738034,10,8
1560738246,21,0
1560739950,18,11
1560740402,230,0
1560741854,20,12
1560743793,16,12
1560745694,8,7
1560747633,17,10
1560749538,227,16
1560751482,24,15
1560753375,27,13
1560754567,741,8679
1560755293,166,18
1560756256,958,0
1560757225,18,19
1560759148,18,16
1560760115,792,823
1560761081,5,14
1560763001,178,0
1560763687,816,0
1560764919,8,16
1560766851,349,10
1560767565,849,0
1560768742,164,17
1560770652,9,14
1560772595,20,17
1560774045,791,773
1560774518,26,17
1560775502,323,0
1560776441,33,14
1560777402,771,0
1560778341,30,11
1560780258,19,17
1560782173,24,14
1560782898,778,0
1560784126,311,14
1560786014,25,18
1560787960,30,14
1560788658,771,0
1560789873,21,13
1560791782,135,11
1560793690,28,16
1560794402,251,0
1560795632,17,7
1560797530,12,15
1560798002,89,0
1560799453,12,20
1560801371,5,12
1560801602,100,0
1560803315,16,20
1560805238,12,14
1560807160,111,10
1560809076,119,15
1560810972,16,15
1560812402,76,0
1560814811,20,36
1560815292,77,79
1560816736,15,0
1560818677,9,27
1560819602,185,2757
1560820600,15,14
1560822495,14,0
1560822969,43,84
1560824439,17,25
1560826814,24,43
1560828253,116,16
1560829704,756,0
1560830194,15,27
1560831301,281,0
1560832114,14,13
1560833357,797,0
1560834032,20,0
1560834902,117,0
1560836202,23,34
1560838121,796,21
1560840013,10,25
1560841962,796,662
