DateTime,AddedIPs,RemovedIPs
1560583322,1,0
1560583922,2,2
1560584522,5,0
1560585124,68,47
1560585722,4,1
1560586322,2,0
1560587046,2,67
1560587522,9,1
1560588122,3,0
1560588722,21,0
1560588963,98,0
1560589394,0,4
1560589922,1,0
1560590887,0,56
1560591122,1,0
1560591722,3,0
1560592822,75,0
1560592922,5,0
1560594122,5,0
1560594723,65,18
1560595322,3,0
1560597123,1,0
1560597606,0,112
1560597722,1,0
1560598323,5,0
1560598563,92,0
1560598923,4,0
1560600723,3,0
1560601322,7,0
1560602643,71,20
1560603363,20,46
1560603723,2,0
1560604562,68,21
1560604923,3,0
1560606123,2,5
1560607332,6,2
1560607924,3,0
1560608164,0,112
1560608523,1,0
1560609122,40,1
1560609722,0,1
1560610324,72,0
1560610923,3,0
1560613322,1,0
1560613923,72,61
1560614164,0,82
1560614522,13,0
1560615723,0,2
1560616923,5,0
1560618011,91,0
1560618123,2,0
1560619323,2,0
1560619683,0,67
1560619922,75,0
1560620200,1554,310
1560620522,2,0
1560621722,1,0
1560622923,1,0
1560623522,1,0
1560623762,89,12
1560624123,16,6
1560624483,12,64
1560624722,1,0
1560625399,1,0
1560625922,2,0
1560626523,27,0
1560627122,1,0
1560627722,8,0
1560628324,2,88
1560628923,4,0
1560629524,72,0
1560630123,1,0
1560630722,1,0
1560631442,68,17
1560631922,3,0
1560632167,15,71
1560632606,1,0
1560633723,21,0
1560634085,0,81
1560634922,6,0
1560635282,73,0
1560636122,3,1
1560636234,0,1
1560637322,1,0
1560637922,1,0
1560638522,50,0
1560639124,55,81
1560640922,1,0
1560641522,5,0
1560642968,92,86
1560643324,2,0
1560643395,0,1
1560644523,1,0
1560645122,21,0
1560645722,3,0
1560646323,2,0
1560646813,43,17
1560646996,5,0
1560647523,2,0
1560647762,0,175
1560648122,1,0
1560648723,66,0
1560649323,4,0
1560649922,1,0
1560650522,1,0
1560650592,0,1
1560651844,2,70
1560652328,2,0
1560652563,82,0
1560652922,11,0
1560654122,1,0
1560654193,0,1
1560655322,2,0
1560656403,75,15
1560656523,16,0
1560657722,1,0
1560658563,0,176
1560658923,3,0
1560660243,64,0
1560661322,2,0
1560661392,0,1
1560662522,1,0
1560663122,4,0
1560663722,5,0
1560664323,74,65
1560664922,3,0
1560664993,0,1
1560666002,0,57
1560666123,1,0
1560667922,60,0
1560668592,3,1
1560670084,0,46
1560671522,1,0
1560671764,71,0
1560672021,0,66
1560672122,1,0
1560672196,0,3
1560673323,5,0
1560674522,2,0
1560675122,4,0
1560675621,92,0
1560675723,3,0
1560675793,1,1
1560676923,1,0
1560677523,66,9
1560677763,0,93
1560678122,27,0
1560679393,0,1
1560679923,4,0
1560681365,73,0
1560682922,3,1
1560682992,0,1
1560683522,4,0
1560684122,2,0
1560685203,81,15
1560685444,1,112
1560686533,7,1
1560687123,1,0
1560688922,8,0
1560689282,85,0
1560689522,1,0
1560690132,4,1
1560691204,0,76
1560691322,2,0
1560692522,7,0
1560693122,71,0
1560693793,11,1
1560694922,1,1
1560696122,1,0
1560696964,65,124
1560697324,24,0
1560697923,19,0
1560699722,1,1
1560700322,4,0
1560700812,77,0
1560700922,2,0
1560700992,0,3
1560701523,2,0
1560702122,1,0
1560702724,0,64
1560703322,1,0
1560704642,129,0
1560705723,1,0
1560706322,1,0
1560707342,970,236
1560708122,2,0
1560708483,0,126
1560709322,3,0
1560710522,4,0
1560711722,2,0
1560711791,2,3
1560712323,153,0
1560714243,1,122
1560715323,4,0
1560716522,2,0
1560718081,91,0
1560718922,2,0
1560718992,0,2
1560720122,21,0
1560721322,103,0
1560721923,74,187
1560722522,3,0
1560722592,0,2
1560723722,3,0
1560726243,82,3
1560728522,2,0
1560729724,16,0
1560730324,80,201
1560730922,1,0
1560732242,67,0
1560733391,1,0
1560734522,3,0
1560736083,50,93
1560736922,18,0
1560736993,1,0
1560738123,2,0
1560738722,1,0
1560739322,18,0
1560739922,72,7
1560740591,2,0
1560741844,3,163
1560742322,4,0
1560743762,79,0
1560744122,4,0
1560745322,8,0
1560745683,0,96
1560745923,40,0
1560747612,68,0
1560747722,2,0
1560747732,0,1
1560748922,26,0
1560749524,77,138
1560750123,39,0
1560750723,25,0
1560751323,8,0
1560751923,2,1
1560752523,4,0
1560753362,92,0
1560753722,1,0
1560754993,1,2
1560756123,1,0
1560756722,1,0
1560757210,79,48
1560757322,2,0
1560758592,20,0
1560759122,2,0
1560759722,40,1
1560760323,1,0
1560761049,3,80
1560762192,0,1
1560762963,64,0
1560763322,6,0
1560763922,1,0
1560764522,1,0
1560764882,79,10
1560765123,27,0
1560765723,30,0
1560765792,0,2
1560766804,0,111
1560766923,6,0
1560768122,2,0
1560768722,72,0
1560769322,2,0
1560770522,3,0
1560771722,2,1
1560772322,1,0
1560772584,72,109
1560772922,4,0
1560774123,8,0
1560774723,1,0
1560775322,3,0
1560776409,81,0
1560776593,11,0
1560777122,4,0
1560777722,4,0
1560778323,89,15
1560778923,3,0
1560779522,10,0
1560780243,5,121
1560780723,1,0
1560781323,7,0
1560782163,93,0
1560782523,1,0
1560783122,2,0
1560783793,21,0
1560784322,5,0
1560784922,2,0
1560786002,63,28
1560786122,13,0
1560787393,24,2
1560787924,0,145
1560788523,37,0
1560789122,1,0
1560789842,124,0
1560790993,1,0
1560793323,8,0
1560793683,80,69
1560794443,882,230
1560794593,6,1
1560795602,0,81
1560795723,1,0
1560796322,6,0
1560796922,6,0
1560797522,80,0
1560798193,10,0
1560798723,26,0
1560799323,3,0
1560800522,8,0
1560801792,1,0
1560802322,8,0
1560802922,3,0
1560803284,153,142
1560804122,5,0
1560804722,2,0
1560805322,2,0
1560805393,0,2
1560805922,39,0
1560806522,34,0
1560807123,72,16
1560807723,2,0
1560808082,0,183
1560808323,9,0
1560808992,6,3
1560810122,7,0
1560810962,80,0
1560811322,2,0
1560812533,5,3
1560813843,1,134
1560814802,106,0
1560816123,3,0
1560816133,0,1
1560816722,3,0
1560818643,45,12
1560819723,1,0
1560819794,0,1
1560820564,0,168
1560820923,1,0
1560822122,4,0
1560822482,80,0
1560823322,5,0
1560823923,1,0
1560824404,0,93
1560824522,1,0
1560825722,17,0
1560826322,87,0
1560826993,0,5
1560827522,1,0
1560828122,5,0
1560829322,3,0
1560830164,85,104
1560830594,9,0
1560831122,1,0
1560831722,2,0
1560832082,0,108
1560832322,2,0
1560832923,7,0
1560833522,4,0
1560834008,91,0
1560834192,4,0
1560835322,16,0
1560836162,89,15
1560836523,19,0
1560837722,1,0
1560837793,0,3
1560838323,1,0
1560839043,6,138
1560840002,84,0
1560840122,1,0
1560841393,15,1
1560841923,88,15
1560843842,1,155
1560844922,3,0
1560844993,3,3
1560845764,152,109
1560846123,2,0
1560847322,8,0
1560847682,70,0
1560848522,7,0
1560849722,1,0
1560850323,1,0
1560850922,1,0
1560851523,63,126
1560852132,1,1
1560853324,13,0
1560854522,8,0
1560855122,2,0
1560855363,78,0
1560855723,2,0
1560855794,1,0
1560858243,2,0
1560859323,2,0
1560859394,2,1
1560860164,73,120
1560860522,0,1
1560861723,1,0
1560862082,77,0
1560862922,4,0
1560862994,0,1
1560863522,3,0
1560864122,5,0
1560865322,3,0
1560866163,75,59
1560866532,10,1
1560867723,22,0
1560868084,66,17
1560869522,4,0
1560870194,4,3
1560870963,17,71
1560871322,18,0
1560871923,80,18
1560872523,4,0
1560873793,2,3
1560874804,0,113
1560874922,2,0
1560875762,80,0
1560876123,2,0
1560877334,3,1
1560877922,4,0
1560878643,1,85
1560879122,8,0
1560879602,98,0
1560879722,4,0
1560880322,1,0
1560880923,3,0
1560881580,1275,219
1560882122,3,0
1560882722,2,0
1560883442,92,26
1560883922,21,0
1560884594,0,2
1560885363,0,140
1560885723,5,0
1560886923,1,0
1560887282,90,0
1560887523,1,0
1560888194,0,2
1560889203,0,73
1560889322,1,0
1560889922,2,0
1560891122,98,0
1560891793,1,0
1560892923,2,0
1560894964,80,91
1560895333,13,0
1560895922,3,0
1560897722,1,0
1560899524,56,211
1560901444,90,0
1560902593,0,1
1560903723,3,0
1560904922,1,0
1560905282,46,11
1560906122,0,1
1560907203,0,177
1560907322,1,0
1560908522,1,0
1560909123,60,0
1560910922,21,1
1560911523,1,0
1560912122,1,0
1560913223,80,66
1560913322,8,0
1560913393,1,0
1560913922,2,0
1560914522,2,0
1560915124,85,98
1560915722,8,0
1560916923,8,0
1560916994,0,1
1560918963,82,111
1560919322,2,0
1560920534,11,0
1560921122,5,0
1560921722,1,0
1560922802,90,12
1560922923,2,0
1560924134,3,2
1560924724,1,124
1560925322,3,0
1560926522,4,0
1560927122,2,0
1560927795,2,3
1560928323,1,0
1560928803,65,0
1560928922,2,0
1560930123,1,0
1560930723,71,132
1560931404,0,2
1560931922,0,1
1560932522,2,0
1560934562,122,0
1560934994,14,5
1560936485,60,115
1560936722,3,0
1560937322,5,0
1560937922,2,1
1560938411,56,10
1560938597,1,0
1560939363,7,95
1560939722,2,0
