DateTime,Entries,UniqueIPs
1560583322,914866,949678
1560583922,914866,949678
1560584522,914870,949683
1560585124,914890,949704
1560585722,914893,949707
1560586322,914895,949709
1560587046,914830,949644
1560587522,914837,949652
1560588122,914839,949655
1560588722,914855,949676
1560588963,914952,949774
1560589394,914948,949770
1560589922,914948,949771
1560590887,914892,949715
1560591122,914893,949716
1560591722,914895,949719
1560592822,914970,949794
1560592922,914975,949799
1560594122,914980,949804
1560594723,915027,949851
1560595322,915030,949854
1560597123,915031,949855
1560597606,914919,949743
1560597722,914920,949744
1560598323,914924,949749
1560598563,915016,949841
1560598923,915020,949845
1560600723,915022,949848
1560601322,915026,949855
1560602643,915076,949906
1560603363,915051,949880
1560603723,915050,949882
1560604562,915097,949929
1560604923,915100,949932
1560606123,915097,949929
1560607332,915101,949933
1560607924,915104,949936
1560608164,914992,949824
1560608523,914992,949825
1560609122,915025,949864
1560609722,915025,949863
1560610324,915097,949935
1560610923,915100,949938
1560613322,915099,949939
1560613923,915110,949950
1560614164,915028,949868
1560614522,915041,949881
1560615723,915039,949879
1560616923,915044,949884
1560618011,915135,949975
1560618123,915137,949977
1560619323,915139,949979
1560619683,915072,949912
1560619922,915147,949987
1560620200,916431,951231
1560620522,916432,951233
1560621722,916431,951234
1560622923,916432,951235
1560623522,916433,951236
1560623762,916510,951313
1560624123,916520,951323
1560624483,916468,951271
1560624722,916469,951272
1560625399,916470,951273
1560625922,916472,951275
1560626523,916495,951302
1560627122,916496,951303
1560627722,916504,951311
1560628324,916415,951225
1560628923,916417,951229
1560629524,916489,951301
1560630123,916490,951302
1560630722,916491,951303
1560631442,916541,951354
1560631922,916544,951357
1560632167,916488,951301
1560632606,916489,951302
1560633723,916509,951323
1560634085,916428,951242
1560634922,916431,951248
1560635282,916504,951321
1560636122,916506,951323
1560636234,916505,951322
1560637322,916505,951323
1560637922,916506,951324
1560638522,916543,951374
1560639124,916517,951348
1560640922,916518,951349
1560641522,916521,951354
1560642968,916527,951360
1560643324,916529,951362
1560643395,916528,951361
1560644523,916529,951362
1560645122,916546,951383
1560645722,916549,951386
1560646323,916551,951388
1560646813,916577,951414
1560646996,916581,951419
1560647523,916583,951421
1560647762,916408,951246
1560648122,916409,951247
1560648723,916475,951313
1560649323,916479,951317
1560649922,916479,951318
1560650522,916480,951319
1560650592,916479,951318
1560651844,916410,951250
1560652328,916412,951252
1560652563,916494,951334
1560652922,916505,951345
1560654122,916506,951346
1560654193,916505,951345
1560655322,916507,951347
1560656403,916567,951407
1560656523,916576,951423
1560657722,916577,951424
1560658563,916401,951248
1560658923,916404,951251
1560660243,916468,951315
1560661322,916470,951317
1560661392,916469,951316
1560662522,916470,951317
1560663122,916474,951321
1560663722,916479,951326
1560664323,916488,951335
1560664922,916490,951338
1560664993,916489,951337
1560666002,916432,951280
1560666123,916433,951281
1560667922,916493,951341
1560668592,916495,951343
1560670084,916451,951297
1560671522,916452,951298
1560671764,916521,951369
1560672021,916456,951303
1560672122,916457,951304
1560672196,916454,951301
1560673323,916459,951306
1560674522,916460,951308
1560675122,916463,951312
1560675621,916554,951404
1560675723,916557,951407
1560675793,916557,951407
1560676923,916557,951408
1560677523,916614,951465
1560677763,916521,951372
1560678122,916548,951399
1560679393,916547,951398
1560679923,916550,951402
1560681365,916623,951475
1560682922,916623,951477
1560682992,916622,951476
1560683522,916626,951480
1560684122,916628,951482
1560685203,916694,951548
1560685444,916583,951437
1560686533,916584,951443
1560687123,916585,951444
1560688922,916592,951452
1560689282,916677,951537
1560689522,916678,951538
1560690132,916680,951541
1560691204,916604,951465
1560691322,916606,951467
1560692522,916611,951474
1560693122,916682,951545
1560693793,916691,951555
1560694922,916691,951555
1560696122,916690,951556
1560696964,916631,951497
1560697324,916650,951521
1560697923,916667,951540
1560699722,916668,951540
1560700322,916672,951544
1560700812,916749,951621
1560700922,916750,951623
1560700992,916747,951620
1560701523,916749,951622
1560702122,916750,951623
1560702724,916687,951559
1560703322,916688,951560
1560704642,916817,951689
1560705723,916818,951690
1560706322,916819,951691
1560707342,917538,952425
1560708122,917539,952427
1560708483,917413,952301
1560709322,917416,952304
1560710522,917420,952308
1560711722,917422,952310
1560711791,917421,952309
1560712323,917573,952462
1560714243,917451,952341
1560715323,917454,952345
1560716522,917455,952347
1560718081,917546,952438
1560718922,917548,952440
1560718992,917546,952438
1560720122,917566,952459
1560721322,917650,952562
1560721923,917537,952449
1560722522,917539,952452
1560722592,917537,952450
1560723722,917539,952453
1560726243,917618,952532
1560728522,917619,952534
1560729724,917631,952550
1560730324,917507,952429
1560730922,917507,952430
1560732242,917572,952497
1560733391,917572,952498
1560734522,917575,952501
1560736083,917532,952458
1560736922,917545,952476
1560736993,917546,952477
1560738123,917546,952479
1560738722,917544,952480
1560739322,917560,952498
1560739922,917625,952563
1560740591,917627,952565
1560741844,917466,952405
1560742322,917469,952409
1560743762,917548,952488
1560744122,917551,952492
1560745322,917559,952500
1560745683,917463,952404
1560745923,917499,952444
1560747612,917567,952512
1560747722,917568,952514
1560747732,917567,952513
1560748922,917593,952539
1560749524,917532,952478
1560750123,917566,952517
1560750723,917587,952542
1560751323,917595,952550
1560751923,917596,952551
1560752523,917600,952555
1560753362,917692,952647
1560753722,917693,952648
1560754993,917692,952647
1560756123,917691,952648
1560756722,917692,952649
1560757210,917723,952680
1560757322,917725,952682
1560758592,917745,952702
1560759122,917747,952704
1560759722,917787,952743
1560760323,917787,952744
1560761049,917709,952667
1560762192,917708,952666
1560762963,917772,952730
1560763322,917778,952736
1560763922,917779,952737
1560764522,917779,952738
1560764882,917848,952807
1560765123,917872,952834
1560765723,917900,952864
1560765792,917898,952862
1560766804,917787,952751
1560766923,917792,952757
1560768122,917792,952759
1560768722,917864,952831
1560769322,917865,952833
1560770522,917867,952836
1560771722,917868,952837
1560772322,917868,952838
1560772584,917831,952801
1560772922,917834,952805
1560774123,917842,952813
1560774723,917842,952814
1560775322,917845,952817
1560776409,917926,952898
1560776593,917937,952909
1560777122,917940,952913
1560777722,917944,952917
1560778323,918018,952991
1560778923,918021,952994
1560779522,918030,953004
1560780243,917915,952888
1560780723,917916,952889
1560781323,917922,952896
1560782163,918015,952989
1560782523,918015,952990
1560783122,918016,952992
1560783793,918028,953013
1560784322,918032,953018
1560784922,918034,953020
1560786002,918069,953055
1560786122,918079,953068
1560787393,918093,953090
1560787924,917948,952945
1560788523,917981,952982
1560789122,917982,952983
1560789842,918106,953107
