DateTime,AddedIPs,RemovedIPs
1559675719,3,0
1559679302,1,4
1559682903,3,5
1559685902,256,256
1559686502,5,1
1559688303,256,256
1559689802,256,256
1559690402,259,256
1559693103,1280,256
1559693702,8,1
1559693832,1024,1024
1559697324,31,2
1559700904,18,2
1559704502,3,10
1559708104,4,11
1559711740,5,3
1559715303,2,3
1559718924,3,7
1559722504,3,2
1559726147,5,3
1559729495,3,5
1559733304,5,3
1559736903,4,5
1559739005,3072,37888
1559740503,6,5
1559744103,4,2
1559747726,4,5
1559751321,2,4
1559754918,2308,2307
1559758202,512,512
1559758519,2,3
1559759102,512,512
1559761502,256,256
1559761891,4,5
1559763019,256,256
1559765102,256,256
1559765719,4,2
1559766302,768,768
1559769147,2,6
1559772732,2,3
1559774402,256,256
1559776332,5,3
1559780121,3,3
1559780702,512,512
1559783541,14,1
1559787303,8,5
1559790903,5,18
1559794312,10,37
1559797934,3,6
1559801478,3,5
1559805072,4,9
1559808905,2,5
1559812524,6,3
1559816125,2,4
1559819493,3,4
1559823303,3,5
1559825703,8960,28672
1559826903,5,6
1559830503,6,3
1559834124,5,3
1559835925,0,73728
1559837703,1539,1795
1559838902,256,256
1559841081,2,4
1559844682,2,6
1559845202,256,256
1559848503,3,2
1559851891,3,3
1559853303,256,256
1559855703,4,3
1559859304,3,1
1559862922,2,4
1559865630,0,2
1559866320,10,2
1559869899,22,2
1559873483,2,1
1559877325,5,6
1559880693,1,17
1559884503,2,4
1559888152,4,6
1559891747,3,5
1559895325,3,4
1559898653,4,3
1559898998,256,256
1559902526,6,3
1559902591,256,256
1559905502,256,256
1559906125,4,2
1559907026,1,1
1559907902,1,1
1559909497,2,1
1559912102,1280,28672
1559913325,3,6
1559916903,2052,2051
1559918103,256,256
1559920518,5,2
1559922602,0,1
1559922902,1,0
1559924109,3,3
1559927719,1,3
1559931086,1,4
1559931403,512,512
1559934921,2,3
1559938304,2,4
1559940602,1,1
1559941502,1,1
1559942122,1,2
1559945465,1,1
1559947202,256,256
1559949302,2,3
1559952026,0,1
1559953502,256,256
1559954103,9,1
1559956203,256,256
1559956526,15,0
1559960702,1,2
1559963704,5,4
1559967304,4,24
1559970947,1,12
1559974503,3,6
1559978126,3,4
1559981726,4,5
1559985303,5,3
1559988904,4,1
1559992503,1,4
1559996103,4,1
1559999102,3072,118272
1559999726,3,3
1560003377,2,4
1560003902,1,1
1560004802,1,0
1560006929,2,2
1560007502,1,1
1560008402,1,1
1560010532,3,2
1560014127,1,2
1560017727,2,4
1560021326,2,2
1560024926,3,2
1560025818,1024,1024
1560028301,5,3
1560031884,4,1
1560035492,2,3
1560038402,0,1
1560039321,5,2
1560042946,19,3
1560046503,14,2
1560050148,2,8
1560053471,2,11
1560057324,2,2
1560060929,3,5
1560064266,3,4
1560068103,4,2
1560071759,2,2
1560075105,1,2
1560078924,1,1
1560082504,2,2
1560084902,6656,6144
1560086145,2,3
1560089704,2,1
1560093451,2,8
1560096697,7,4
1560100503,1797,1537
1560104118,1,2
1560105017,1024,1024
1560107703,1,2
1560111303,2,3
1560112502,256,256
1560114918,2,1
1560118502,3,2
1560119702,256,256
1560121503,256,256
1560122121,2,3
1560125715,10,3
1560126902,256,256
1560129321,19,2
1560132903,3,2
1560136521,2,8
1560140104,3,36
1560143481,5,3
1560147360,2,4
1560150922,6,3
1560154503,3,2
1560157910,3,5
1560161704,2,3
1560165303,5,5
1560168674,3,2
1560172522,4,2
1560176136,3,4
1560179702,771,771
1560183317,1,5
1560186903,2,9
1560190517,9,2
1560191703,512,512
1560194117,2,3
1560197743,3,3
1560198902,256,256
1560201319,3,6
1560204027,256,256
1560204668,1,2
1560204944,1024,131072
1560206402,256,256
1560208521,3,4
1560212121,11,2
1560212704,256,256
1560215704,8,2
1560219320,2,1
1560222923,4,6
1560226502,3,13
1560230115,3,3
1560233749,4,3
1560234303,1,1
1560235503,1,0
1560237302,3,5
1560240906,5,3
1560244502,3,3
1560248102,2,3
1560251704,2,2
1560255304,2,6
1560258302,0,2560
1560258924,5,6
1560262503,4,7
1560266102,8,2
1560269724,2,3
1560273323,4,5
