DateTime,AddedIPs,RemovedIPs
1560460922,1,0
1560461522,3,0
1560462122,1,0
1560463322,7,0
1560464523,31,0
1560467523,13,0
1560468122,1,0
1560468722,2,0
1560469322,3,0
1560470523,1,0
1560471123,18,0
1560471722,56,0
1560472922,37,0
1560474122,24,0
1560475922,7,0
1560476522,2,0
1560477722,6,0
1560478922,1,0
1560479522,17,0
1560480122,41,0
1560481324,2,0
1560481922,11,0
1560482523,29,0
1560483123,10,0
1560483722,17,0
1560484922,10,0
1560485522,2,0
1560486122,8,0
1560486723,2,0
1560487322,3,0
1560487922,1,0
1560488522,4,0
1560489122,2,0
1560489722,18,0
1560490322,1,0
1560490922,3,0
1560491523,7,0
1560492123,20,0
1560493922,11,0
1560494522,3,0
1560495722,3,0
1560496322,5,0
1560496923,9,0
1560498122,2,0
1560499322,6,0
1560500523,2,0
1560501122,22,0
1560501723,7,0
1560502322,3,0
1560502922,3,1
1560504122,2,0
1560504723,2,0
1560505322,2,0
1560505923,3,0
1560506522,2,0
1560507723,17,0
1560508922,1,0
1560510122,7,0
1560510722,24,0
1560511322,3,0
1560511922,2,0
1560512523,5,0
1560513723,3,0
1560514322,1,0
1560514922,5,0
1560516122,9,0
1560516722,4,0
1560517322,1,0
1560517922,3,1
1560518522,22,0
1560519121,20,0
1560519722,9,1
1560520922,14,0
1560521522,6,0
1560522122,2,0
1560522722,7,0
1560523322,15,0
1560524522,19,0
1560525722,2,0
1560526321,7,0
1560526922,1,0
1560528122,12,0
1560529322,10,0
1560529922,1,0
1560530523,3,1
1560531122,3,0
1560531723,1,0
1560532322,1,0
1560533079,950,290
1560533523,3,0
1560535322,34,0
1560535922,3,0
1560537722,29,0
1560538923,2,0
1560540122,1,0
1560540723,1,0
1560541322,2,0
1560541922,2,0
1560542522,1,0
1560543122,25,0
1560544322,1,0
1560544923,2,0
1560545523,3,0
1560546122,26,0
1560546723,4,0
1560547322,24,0
1560547922,6,0
1560549723,3,0
1560552122,1,0
1560553322,5,0
1560554522,6,0
1560555122,1,0
1560555722,4,0
1560556923,2,0
1560557523,4,0
1560558123,1,0
1560559322,2,0
1560561122,1,0
1560562923,2,0
1560563522,2,0
1560564491,1,0
1560565324,13,0
1560565922,2,0
1560566522,3,0
1560567723,21,0
1560568923,9,0
1560570123,3,0
1560570723,1,0
1560571322,6,0
1560571923,2,0
1560572523,1,1
1560573722,3,0
1560574322,7,0
1560574922,8,0
1560577323,46,0
1560578523,1,0
1560579123,1,0
1560579722,3,0
1560580323,3,0
1560582122,6,0
1560582722,3,0
1560583322,1,0
1560583922,2,0
1560584522,5,0
1560585122,7,0
1560585722,4,1
1560586322,2,0
1560586923,2,1
1560587522,8,0
1560588122,3,0
1560588722,21,0
1560589922,1,0
1560591122,1,0
1560591722,3,0
1560592922,5,0
1560594122,5,0
1560594722,5,0
1560595322,3,0
1560597123,1,0
