DateTime,AddedIPs,RemovedIPs
1559965938,16,15
1559967853,17,10
1559969782,25,26
1559971690,12,24
1559973631,20,18
1559975594,14,30
1559977458,27,22
1559979380,26,20
1559981304,17,53
1559983456,30,46
1559985372,31,72
1559987290,29,33
1559989222,30,1293
1559991132,55,55
1559993054,516,0
1559995010,56,13
1559996889,31,14
1559998829,50,30
1560000734,33,19
1560002900,36,21
1560004807,34,20
1560006730,25,11
1560008653,15,15
1560010568,28,11
1560012489,25,15
1560014412,22,20
1560016325,24,26
1560018247,38,13
1560020165,50,17
1560022087,34,21
1560024036,28,24
1560025936,28,20
1560027852,35,17
1560029766,33,24
1560031701,30,31
1560033615,21,49
1560035538,428,0
1560037452,23,12
1560039377,30,13
1560041291,14,17
1560043213,10,26
1560045129,14,12
1560047054,13,18
1560048968,21,17
1560050890,20,5
1560052851,15,13
1560054742,16,12
1560056651,18,14
1560058571,15,25
1560060492,13,14
1560062419,27,13
1560064332,23,21
1560066267,22,17
1560068176,20,25
1560070095,31,21
1560072024,34,20
1560073956,21,22
1560075851,24,1183
1560077769,80,60
1560079695,518,0
1560081636,54,19
1560083535,29,6
1560085462,40,13
1560087371,38,18
1560089541,32,10
1560091450,28,21
1560093639,43,14
1560095531,21,13
1560097463,21,17
1560099369,37,26
1560101293,23,20
1560103241,23,20
1560105138,28,13
1560107052,21,29
1560108972,22,26
1560110891,33,19
1560112811,39,26
1560114736,26,22
1560116650,13,28
1560118824,26,39
1560120733,27,43
1560122910,439,0
1560124827,27,17
1560126736,36,6
1560128653,22,11
1560130817,39,19
1560132735,56,5
1560134653,36,19
1560136574,41,10
1560138493,16,14
1560140411,23,17
1560142330,17,23
1560144250,21,11
1560146168,38,21
1560148088,19,13
1560150029,21,27
1560151940,14,23
1560153856,26,17
1560155779,30,19
1560157696,15,18
1560159614,38,26
1560161534,55,1273
1560163453,104,46
1560165378,549,0
1560167293,54,24
1560169234,31,22
1560171144,36,10
1560173055,36,9
1560174968,40,16
1560176887,23,15
1560178830,34,18
1560180732,19,14
1560182653,30,16
1560184568,29,15
1560186490,27,17
1560188408,28,10
1560190334,19,13
1560192249,19,20
1560194172,22,20
1560196342,21,28
1560198253,20,15
1560200168,24,34
1560202092,18,27
1560204026,29,31
1560205937,22,32
1560207855,408,0
1560210021,24,22
1560211936,29,20
1560213855,17,12
1560215777,30,9
1560217697,12,11
1560219611,23,13
1560221534,20,13
1560223454,22,14
1560225373,25,14
1560227292,28,14
1560229232,21,20
1560231138,30,8
1560233056,16,7
1560234971,22,24
1560236896,22,19
1560238813,19,25
1560240737,17,15
1560242656,17,26
1560244573,33,31
1560246495,19,25
1560248414,27,1434
1560250335,36,88
1560252253,745,0
1560254169,44,28
1560256091,38,16
1560258029,57,24
1560259937,39,29
1560261880,34,30
1560263772,30,59
1560265694,28,34
1560267616,31,30
1560269536,22,14
1560271481,34,16
1560273381,36,21
1560275307,17,37
1560277230,33,23
1560279161,20,23
1560281061,30,15
1560282985,29,29
1560284900,22,26
1560286881,24,20
1560288741,18,20
1560290663,34,61
1560292573,25,81
1560294529,625,0
1560296412,17,30
1560298349,26,17
1560300255,13,16
1560302187,14,25
1560304106,19,24
1560306028,27,48
1560307939,16,33
1560309860,20,34
1560311774,14,11
1560313697,27,17
1560315642,19,19
1560317542,24,19
1560319465,22,30
1560321384,29,22
1560323310,32,17
1560325227,32,19
1560327149,38,22
1560329064,24,24
1560330979,34,19
1560332918,28,41
1560334810,29,1351
1560336746,58,32
1560338652,576,0
1560340588,74,23
1560342499,53,19
1560344439,52,25
1560346348,32,18
1560348264,44,17
1560350189,45,20
1560352101,32,26
1560354268,34,28
1560356418,39,31
1560358344,33,18
1560360257,26,25
1560362169,43,30
1560364099,27,18
1560366030,35,23
1560367936,18,17
1560369852,22,19
1560372025,28,21
1560373948,18,21
1560375853,27,26
1560379242,36,48
1560381138,457,0
1560383067,18,13
1560384980,29,22
1560386901,24,18
1560388812,40,21
1560390740,28,14
1560392654,22,15
1560394579,30,23
1560396492,16,27
1560398456,22,25
1560400340,19,19
1560402257,16,15
1560404170,23,29
1560406350,26,20
1560408261,27,19
1560410178,26,24
1560412101,27,15
1560414022,20,20
1560415945,27,15
1560417872,18,23
1560419780,27,22
1560421700,15,1289
1560423627,567,0
