DateTime,Entries,UniqueIPs
1559965938,2691,2691
1559967853,2698,2698
1559969782,2697,2697
1559971690,2685,2685
1559973631,2687,2687
1559975594,2671,2671
1559977458,2676,2676
1559979380,2682,2682
1559981304,2646,2646
1559983456,2630,2630
1559985372,2589,2589
1559987290,2585,2585
1559989222,1322,1322
1559991132,1322,1322
1559993054,1838,1838
1559995010,1881,1881
1559996889,1898,1898
1559998829,1918,1918
1560000734,1932,1932
1560002900,1947,1947
1560004807,1961,1961
1560006730,1975,1975
1560008653,1975,1975
1560010568,1992,1992
1560012489,2002,2002
1560014412,2004,2004
1560016325,2002,2002
1560018247,2027,2027
1560020165,2060,2060
1560022087,2073,2073
1560024036,2077,2077
1560025936,2085,2085
1560027852,2103,2103
1560029766,2112,2112
1560031701,2111,2111
1560033615,2083,2083
1560035538,2511,2511
1560037452,2522,2522
1560039377,2539,2539
1560041291,2536,2536
1560043213,2520,2520
1560045129,2522,2522
1560047054,2517,2517
1560048968,2521,2521
1560050890,2536,2536
1560052851,2538,2538
1560054742,2542,2542
1560056651,2546,2546
1560058571,2536,2536
1560060492,2535,2535
1560062419,2549,2549
1560064332,2551,2551
1560066267,2556,2556
1560068176,2551,2551
1560070095,2561,2561
1560072024,2575,2575
1560073956,2574,2574
1560075851,1415,1415
1560077769,1435,1435
1560079695,1953,1953
1560081636,1988,1988
1560083535,2011,2011
1560085462,2038,2038
1560087371,2058,2058
1560089541,2080,2080
1560091450,2087,2087
1560093639,2116,2116
1560095531,2124,2124
1560097463,2128,2128
1560099369,2139,2139
1560101293,2142,2142
1560103241,2145,2145
1560105138,2160,2160
1560107052,2152,2152
1560108972,2148,2148
1560110891,2162,2162
1560112811,2175,2175
1560114736,2179,2179
1560116650,2164,2164
1560118824,2151,2151
1560120733,2135,2135
1560122910,2574,2574
1560124827,2584,2584
1560126736,2614,2614
1560128653,2625,2625
1560130817,2645,2645
1560132735,2696,2696
1560134653,2713,2713
1560136574,2744,2744
1560138493,2746,2746
1560140411,2752,2752
1560142330,2746,2746
1560144250,2756,2756
1560146168,2773,2773
1560148088,2779,2779
1560150029,2773,2773
1560151940,2764,2764
1560153856,2773,2773
1560155779,2784,2784
1560157696,2781,2781
1560159614,2793,2793
1560161534,1575,1575
1560163453,1633,1633
1560165378,2182,2182
1560167293,2212,2212
1560169234,2221,2221
1560171144,2247,2247
1560173055,2274,2274
1560174968,2298,2298
1560176887,2306,2306
1560178830,2322,2322
1560180732,2327,2327
1560182653,2341,2341
1560184568,2355,2355
1560186490,2365,2365
1560188408,2383,2383
1560190334,2389,2389
