DateTime,AddedIPs,RemovedIPs
1553576423,4,0
1553591297,7,0
1553606192,4,4
1553620833,8,7
1553635692,6,3
1553650327,7,2
1553664965,7,2
1553679609,7,1
1553694252,5,1
1553708892,7,0
1553723548,5,0
1553738165,7,0
1553752817,3,3
1553767451,4,0
1553782086,3,2
1553796727,4,1
1553813077,6,1
1553827697,6,3
1553842330,3,2
1553856983,8,0
1553871618,5,2
1553886247,4,1
1553900911,10,0
1553915530,2,0
1553930171,1,1
1553944826,2,3
1553959451,3,0
1553974085,1,3
1553988737,3,0
1554003367,4,1
1554018011,6,0
1554032674,1,6
1554047308,3,11
1554062497,3,4
1554091710,4,4
1554106329,2,1
1554120969,1,6
1554135609,4,3
1554150281,0,3
1554164891,1,0
1554179536,5,6
1554194167,1,0
1554208826,2,2
1554223449,8,5
1554238091,5,5
1554252725,2,1
1554267368,0,1
1554296671,4,7
1554311554,4,14
1554326168,1,9
1554340830,2,5
1554355467,2,1
1554370088,3,1
1554384751,2,3
1554399365,3,5
1554414026,1,1
1554428649,0,2
1554443306,3,0
1554457930,1,2
1554472570,4,1
1554487214,5,1
1554501853,3,3
1554516517,4,1
1554531131,3,0
1554545787,4,1
1554560411,3,1
1554575067,2,1
1554589703,4,0
1554604348,8,1
1554618966,4,2
1554633623,2,2
1554648266,1,3
1554662888,8,5
1554677527,5,1
1554692188,3,1
1554706822,1,0
1554721694,3,2
1554736336,4,1
1554750968,3,1
1554765624,3,2
1554780254,1,0
1554794888,1,0
1554809544,2,2
1554824173,3,0
1554839314,2,1
1554853944,1,0
1554868587,0,24018
1554883209,24020,1
1554897852,3,0
1554912509,2,2
1554927125,4,1
1554941785,3,0
1554956404,2,0
1554971047,2,0
1554985710,1,1
1555000350,3,2
1555014985,8,1
1555029628,2,0
1555044250,4,2
1555058889,9,1
1555073545,2,1
1555088167,5,1
1555102814,4,5
1555117690,9,0
1555132326,5,0
1555146967,5,2
1555161624,2,1
1555176254,2,1
1555190904,1,7
1555205531,4,2
1555220165,4,4
1555234814,2,1
1555249466,0,3
1555264087,2,6
1555278729,3,5
1555293373,4,3
1555308256,6,4
1555322913,2,2
1555337528,1,5
1555352168,3,7
1555366825,8,5
1555381455,6,5
1555396086,3,1
1555410731,2,1
1555425364,0,1
1555440008,5,2
1555455156,7,4
1555469795,3,2
1555484417,5,0
1555499047,5,1
1555513710,3,2
1555528334,3,3
1555542968,1,0
1555557608,1,2
1555572250,7,4
1555586889,3,2
1555601533,6,3
1555616428,6,5
1555631047,7,0
1555645973,2,0
1555660585,5,0
1555675218,4,1
1555689854,1,0
1555704485,1,1
1555719131,2,1
1555734030,2,2
1555748654,5,4
1555763545,1,5
1555778168,3,2
1555792811,4,1
1555807451,3,0
1555822338,4,1
1555836985,2,1
1555851630,2,0
1555866267,1,1
1555880889,6,0
1555895548,3,0
1555910169,2,0
1555924805,1,0
1555939449,2,2
1555954086,5,1
1555968752,2,3
1555983365,1,1
1555998029,1,0
1556012672,0,3
1556027291,0,1
1556041929,4,1
1556056571,1,2
1556071264,3,0
1556085857,2,0
1556100506,3,2
1556115130,0,3
1556129785,3,4
1556144677,5,0
1556159291,4,7
1556173956,91,0
1556188585,5,1
1556203217,3,3
1556217972,2,2
1556232515,1,9
1556247151,4,3
1556262014,3,2
1556276667,1,4
1556291312,5,4
1556305932,2,10
1556320591,1,4
1556335229,2,3
1556349846,1,2
1556364493,1585,0
1556379135,281,0
1556393768,4,0
1556408413,1,1
1556423048,2,2
1556437695,3,10
1556452341,3,4
1556467234,4,4
1556481868,2,5
1556496504,3,4
1556511135,3,1
1556525787,1,1
1556540433,4,4
1556555067,1,4
1556569704,2,1
1556584331,4,6
1556598965,2,0
1556613623,1,5
1556628267,3,0
1556642890,7,1
1556657527,5,5
1556672435,9,6
1556687047,5,2
1556701712,4,1
1556716331,7,3
1556730968,4,10
1556745631,6,5
1556760248,3,4
1556774888,6,3
1556789774,3,0
1556804427,4,13
1556819049,5,6
1556833686,3,2
1556848359,6,2
1556862983,3,4
1556877852,3,0
1556892744,6,3
1556907383,4,4
1556923477,4,1
1556938086,3,0
1556952744,1,0
1556967372,3,0
1556982012,8,1
1556996653,3,0
1557011294,7,0
1557025930,2,0
1557040586,4,0
1557055217,3,0
1557069850,5,0
1557084489,2,0
1557099125,6,5
1557114034,11,0
1557128658,3,3
1557143310,4,2
1557157929,3,0
1557172566,4,1
1557187350,6,2
1557201875,5,1
1557216491,5,8
1557231138,6,10
1557245764,4,2
1557260410,6,7
1557275046,5,6
1557289691,5,4
1557304326,2,8
1557318965,5,3
1557333606,1,5
1557348248,4,0
1557362909,1,3
1557377542,3,0
1557392187,3,0
1557406816,4,0
1557421452,4,1
1557436116,2,0
1557450732,4,0
1557465370,1,0
1557480024,1,0
1557494647,1,0
1557509314,2,3
1557523955,6,2
1557538808,1,0
1557553448,3,0
1557569300,4,1
1557583926,1,0
1557598566,1,3
1557613205,1,1
1557627847,8,1
1557642747,3,1
1557657368,3,1
1557672036,4,3
1557686671,1,0
1557701543,4,0
1557716169,4,0
1557730836,1,0
1557745470,2,2
1557760333,3,1
1557774974,0,1
1557789606,5,1
1557804514,3,9
1557819151,4,8
1557833770,2,8
1557848434,2,10
1557863050,2,7
1557877716,0,6
1557892337,1,6
1557906969,3,6
1557921636,2,6
1557936251,1,5
1557951155,1,4
1557965766,2,3
1557980436,1,7
1557995048,3,2
1558009715,5,4
1558024352,4,7
1558039208,1,6
1558053872,5,4
1558068490,1,3
1558083150,1,3
1558097771,2,5
1558112418,7,8
1558127171,3,3
1558141708,1,3
1558156574,3,6
1558171211,2,6
1558185848,1,8
1558200488,2,3
1558215138,2,5
1558229766,2,4
1558244412,3,2
1558259055,1,8
1558273686,4,4
1558288348,2,5
1558302967,3,3
1558317629,2,2
1558332252,1,7
1558346892,3,3
1558361528,0,11
1558376187,3,3
1558390829,3,4
1558405449,2,1
1558420109,4,6
1558434752,2,5
1558449389,3,7
1558464007,6,2
1558480116,0,2
1558494728,7,3
1558509373,3,3
1558524260,3,5
1558539244,1,3
1558553767,2,1
1558568405,3,4
1558583070,1,8
1558597689,2,1
1558612327,3,3
1558626967,1,7
1558641615,1,2
1558656276,0,1
1558670892,2,5
1558685534,3,3
1558700175,1,1
1558714806,3,2
1558729451,6,0
1558744086,1,0
1558758730,2,4
1558773365,1,2
1558788007,4,2
1558802650,1,1
1558817548,9,1
1558832194,7,1
1558846814,8,2
1558861450,9,2
1558876113,102,6
1558890996,24,2
1558905608,7,0
1558920250,9,1
1558934909,9,1
1558949554,2,2
1558964165,11,3
1558979062,5,2
1558993688,10,2
1559008332,9,0
1559022970,6,2
1559037875,5,1
1559052486,8,1
1559067154,10,1
1559081787,4,1
1559096434,3,1
1559111090,9,3
1559125685,4,1
1559140334,15,8
1559154972,6,10
1559169606,4,23
1559184271,7,20
1559198911,7,14
1559213796,8,35
1559228414,8,30
1559243075,6,19
1559257715,7,29
1559272350,5,31
1559286996,8,0
1559301605,4,1
1559316495,6,0
1559331156,5,1
1559345792,5,2
1559360429,3,1
1559375048,5,2
1559389690,2,30
1559404342,6,0
1559418908,9,0
1559433635,7,0
1559448277,4,1
1559463131,6,0
1559477766,7,0
1559492415,7,1
1559507050,6,3
1559521720,11,1
1559536352,8,0
1559550965,5,0
1559565607,4,1
1559580274,10,1
1559594911,10,0
1559609554,8,3
1559624175,6,4
1559638813,5,1
1559653474,8,4
1559668086,4,0
1559682755,9,1
1559697368,5,0
1559712005,4,2
1559726915,10,0
1559741535,3,1
1559756164,5,1
1559770806,6,0
1559785449,10,3
1559800087,6,1
1559814728,9,0
1559829369,3,1
1559844029,4,2
1559858675,4,3
1559873289,3,1
1559887930,4,0
1559902570,6,0
1559917205,11,0
1559931851,13,1
1559946488,7,1
1559961126,5,2
1559976010,3,0
1559990652,8,0
1560005285,5,10
1560019934,7,0
1560034569,8,11
1560049217,11,21
1560063847,3,19
1560078488,5,26
1560093131,5,2
1560108019,13,1
1560122906,6,1
1560137528,4,0
1560152166,3,1
1560166823,4,0
1560181453,11,7
1560196335,8,2
1560210969,4,0
1560225616,6,1
1560240251,5,0
1560254890,3,0
1560269533,9,2
1560284187,5,7
1560298812,3,1
1560313448,6,8
1560328090,6,2
1560342741,8,2
1560357367,5,2
1560372020,6,0
1560386649,11,2
1560401297,3,4
1560415943,8,1
1560430568,12,1
1560445451,5,1
1560460092,6,1
1560474976,7,0
1560489607,7,3
1560504260,7,0
1560518899,7,1
1560533537,7,1
1560548174,8,8
1560563051,8,11
1560577695,4,2
1560592339,10,1
1560606968,3,0
1560621625,7,2
1560636250,5,1
1560650889,6,0
1560665531,6,2
1560680165,3,3
1560694806,4,1
1560709451,7,1
1560724092,9,0
1560738753,10,2
1560753371,8,0
1560768010,3,1
1560782652,18,1
1560797287,3,0
1560811951,9,0
1560826565,8,3
1560841212,1,0
1560855847,5,1
1560870488,7,1
1560885127,5,2
1560900031,5,1
1560914651,5,0
1560929314,1,2
