DateTime,AddedIPs,RemovedIPs
1525140264,157153,1344
1527232111,0,0
1527320464,0,0
1527843386,56346,2623
1527931297,0,0
1528279714,0,0
1530458411,39108,7727
1533162751,80677,4287
1535777784,130519,4320
1538394026,166709,5586
1541098348,51580,10319
1543626984,43715,6413
1546373570,47103,6367
1548988116,47338,7588
1551427946,32765,10685
1554128914,43011,6101
1554825867,7422,1219
1555523309,15625,1994
1555610455,2405,392
1555697553,1844,344
1555784670,1881,368
1555871790,1928,393
1555958916,1324,332
1556046029,2511,365
1556133149,1652,434
1556220273,2800,326
1556786669,14079,2696
1556873809,1666,308
1556960930,1209,342
1557048054,1443,345
1557135153,1492,320
1557222287,1940,329
1557309393,1423,151
1557396531,2188,604
1557483630,1748,600
1557570753,1186,423
1557657874,1360,879
1557744987,1639,324
1557832133,1320,302
1557919226,1088,303
1558006354,1888,399
1558093476,1764,401
1558180613,1532,388
1558267733,1572,411
1558354863,1594,348
1558441956,2042,477
1558529075,2001,334
1558616188,1832,251
1558703330,1536,409
1558790429,1697,468
1558877580,1797,540
1558964670,1554,306
1559051788,1574,577
1559138937,1261,580
1559226070,2407,615
1559313152,2586,366
1559400274,2265,994
1559487389,1537,523
1559574511,1517,294
1559661656,1458,307
1559748779,2298,445
1559835871,1391,401
1559922987,1295,359
1560010111,3639,448
1560097231,1838,507
1560184363,1626,3566
1560271479,1548,387
1560358598,1420,422
1560445963,2270,600
1560533079,1484,408
1560620200,2523,327
1560707342,1522,358
1560794443,1452,351
1560881580,2025,330
