DateTime,AddedIPs,RemovedIPs
1560485711,616,532
1560486613,483,514
1560487512,566,481
1560488410,524,658
1560489310,657,886
1560490213,449,416
1560491112,517,441
1560492011,834,575
1560492913,638,416
1560493810,485,497
1560494711,512,532
1560495611,534,469
1560496511,526,646
1560497412,454,521
1560498311,507,585
1560499211,539,532
1560500113,787,557
1560501015,1391,843
1560501913,749,606
1560502812,591,513
1560503712,508,444
1560504611,711,503
1560505514,833,525
1560506413,508,393
1560507310,484,556
1560508211,458,407
1560509113,501,540
1560510010,539,1196
1560510911,396,1092
1560511811,442,589
1560512713,335,488
1560513611,595,565
1560514515,475,761
1560515416,410,665
1560516311,600,589
1560517214,605,477
1560518114,471,494
1560519012,1199,599
1560519914,2739,567
1560520814,2441,582
1560521717,1992,635
1560522617,1623,609
1560523512,1300,364
1560524412,1238,511
1560525316,1062,303
1560526216,1108,728
1560527113,933,472
1560528016,970,1143
1560528919,880,1894
1560529812,804,1741
1560530711,712,1731
1560531616,753,1662
1560532515,728,1507
1560533414,763,1366
1560534315,633,1369
1560535218,609,1150
1560536113,874,1022
1560537016,957,1048
1560537915,776,1028
1560538817,708,948
1560539718,681,824
1560540613,620,703
1560541518,519,656
1560542416,772,921
1560543312,666,823
1560544215,709,569
1560545112,681,753
1560546015,651,944
1560546913,626,711
1560547816,726,716
1560548711,714,684
1560549619,620,600
1560550517,613,563
1560552317,1130,735
1560553215,524,321
1560554116,516,361
1560555014,507,310
1560555915,596,549
1560556815,485,282
1560557712,597,427
1560558612,473,384
1560559516,451,401
1560560415,620,311
1560561313,567,393
1560562214,571,440
1560563111,698,521
1560564014,769,384
1560564910,778,412
1560565814,789,456
1560566711,917,398
1560567611,795,520
1560568512,788,641
1560569411,700,578
1560570311,707,644
1560571211,819,537
1560572114,1252,722
1560573012,658,667
1560573913,506,562
1560574814,637,471
1560575709,603,626
1560576609,583,576
1560577513,696,535
1560578410,742,691
1560579313,621,908
1560580211,907,1739
1560581112,1184,2587
1560582011,723,670
1560582914,682,1975
1560583810,673,1884
1560584714,648,741
1560585612,648,2580
1560586514,736,674
1560587414,826,465
1560588313,837,159
1560589212,752,1784
1560590112,885,1456
1560591016,686,841
1560591911,799,1513
1560592810,917,1645
1560593714,806,195
1560594610,786,171
1560595513,879,227
1560596416,906,277
1560597315,642,207
1560598211,771,166
1560599113,799,287
1560600012,746,667
1560600911,699,209
1560601816,864,186
1560602715,665,1881
1560603617,736,2141
1560604516,800,737
1560605418,703,714
1560606314,733,874
1560607214,839,2577
1560608113,964,234
1560609015,925,364
1560609917,947,1650
1560610817,948,1932
1560611719,790,1432
1560612615,769,459
1560613515,827,425
1560614415,849,1001
1560615318,860,607
1560616216,730,352
1560617119,704,2006
1560618020,848,297
1560618914,678,213
1560619817,759,172
1560620720,636,165
1560621613,644,160
1560622514,989,258
1560623419,785,359
1560624315,556,604
1560625215,605,576
1560626115,763,1713
1560627016,650,647
1560627920,620,698
1560628823,681,607
1560629721,641,612
1560630621,699,2490
1560631518,707,358
1560632416,583,225
1560633322,697,140
1560634215,657,132
