DateTime,Entries,UniqueIPs
1560485711,5581,5581
1560486613,5550,5550
1560487512,5635,5635
1560488410,5501,5501
1560489310,5272,5272
1560490213,5305,5305
1560491112,5381,5381
1560492011,5640,5640
1560492913,5862,5862
1560493810,5850,5850
1560494711,5830,5830
1560495611,5895,5895
1560496511,5775,5775
1560497412,5708,5708
1560498311,5630,5630
1560499211,5637,5637
1560500113,5867,5867
1560501015,6415,6415
1560501913,6558,6558
1560502812,6636,6636
1560503712,6700,6700
1560504611,6908,6908
1560505514,7216,7216
1560506413,7331,7331
1560507310,7259,7259
1560508211,7310,7310
1560509113,7271,7271
1560510010,6614,6614
1560510911,5918,5918
1560511811,5771,5771
1560512713,5618,5618
1560513611,5648,5648
1560514515,5362,5362
1560515416,5107,5107
1560516311,5118,5118
1560517214,5246,5246
1560518114,5223,5223
1560519012,5823,5823
1560519914,7995,7995
1560520814,9854,9854
1560521717,11211,11211
1560522617,12225,12225
1560523512,13161,13161
1560524412,13888,13888
1560525316,14647,14647
1560526216,15027,15027
1560527113,15488,15488
1560528016,15315,15315
1560528919,14301,14301
1560529812,13364,13364
1560530711,12345,12345
1560531616,11436,11436
1560532515,10657,10657
1560533414,10054,10054
1560534315,9318,9318
1560535218,8777,8777
1560536113,8629,8629
1560537016,8538,8538
1560537915,8286,8286
1560538817,8046,8046
1560539718,7903,7903
1560540613,7820,7820
1560541518,7683,7683
1560542416,7534,7534
1560543312,7377,7377
1560544215,7517,7517
1560545112,7445,7445
1560546015,7152,7152
1560546913,7067,7067
1560547816,7077,7077
1560548711,7107,7107
1560549619,7127,7127
1560550517,7177,7177
1560552317,7572,7572
1560553215,7775,7775
1560554116,7930,7930
1560555014,8127,8127
1560555915,8174,8174
1560556815,8377,8377
1560557712,8547,8547
1560558612,8636,8636
1560559516,8686,8686
1560560415,8995,8995
1560561313,9169,9169
1560562214,9300,9300
1560563111,9477,9477
1560564014,9862,9862
1560564910,10228,10228
1560565814,10561,10561
1560566711,11080,11080
1560567611,11355,11355
1560568512,11502,11502
1560569411,11624,11624
1560570311,11687,11687
1560571211,11969,11969
1560572114,12499,12499
1560573012,12490,12490
1560573913,12434,12434
1560574814,12600,12600
1560575709,12577,12577
1560576609,12584,12584
1560577513,12745,12745
1560578410,12796,12796
1560579313,12509,12509
1560580211,11677,11677
1560581112,10274,10274
1560582011,10327,10327
1560582914,9034,9034
1560583810,7823,7823
1560584714,7730,7730
1560585612,5798,5798
1560586514,5860,5860
1560587414,6221,6221
1560588313,6899,6899
1560589212,5867,5867
1560590112,5296,5296
1560591016,5141,5141
1560591911,4427,4427
1560592810,3699,3699
1560593714,4310,4310
1560594610,4925,4925
1560595513,5577,5577
1560596416,6206,6206
1560597315,6641,6641
1560598211,7246,7246
1560599113,7758,7758
1560600012,7837,7837
1560600911,8327,8327
1560601816,9005,9005
1560602715,7789,7789
1560603617,6384,6384
1560604516,6447,6447
1560605418,6436,6436
1560606314,6295,6295
1560607214,4557,4557
1560608113,5287,5287
1560609015,5848,5848
1560609917,5145,5145
1560610817,4161,4161
1560611719,3519,3519
1560612615,3829,3829
1560613515,4231,4231
1560614415,4079,4079
1560615318,4332,4332
1560616216,4710,4710
1560617119,3408,3408
1560618020,3959,3959
1560618914,4424,4424
1560619817,5011,5011
1560620720,5482,5482
1560621613,5966,5966
1560622514,6697,6697
1560623419,7123,7123
1560624315,7075,7075
1560625215,7104,7104
1560626115,6154,6154
1560627016,6157,6157
1560627920,6079,6079
1560628823,6153,6153
1560629721,6182,6182
1560630621,4391,4391
1560631518,4740,4740
1560632416,5098,5098
1560633322,5655,5655
1560634215,6180,6180
