DateTime,AddedIPs,RemovedIPs
1557129060,5,20
1557138043,3,10
1557147642,1,18
1557156041,2,5
1557163844,5,10
1557171046,9,0
1557178845,6,8
1557185445,3,0
1557192045,1,4
1557202244,3,9
1557210643,1,8
1557219645,4,19
1557228045,2,24
1557237644,2,0
1557246043,2,18
1557255043,5,11
1557263444,2,4
1557272443,2,5
1557281441,2,1
1557288642,6,4
1557297642,29,18
1557307844,8,14
1557317442,4,21
1557326441,2,12
1557335441,4,6
1557349842,1,10
1557356443,2,9
1557363642,1,5
1557372041,4,7
1557380443,7,10
1557390042,1,12
1557400242,1,18
1557409241,2,24
1557416442,1,36
1557426043,1,8
1557434443,3,12
1557441642,0,15
1557450642,2,15
1557460242,4,12
1557469240,0,15
1557477641,4,16
1557486641,2,11
1557493242,1,22
1557502241,3,36
1557510042,1,8
1557518443,1,0
1557526242,2,10
1557534640,1,6
1557541843,1,10
1557549642,1,9
1557559848,3,11
1557567641,1,18
1557576040,3,10
1557583840,1,12
1557592839,0,18
1557601239,1,12
1557615640,50,5
1557622840,2,4
1557631239,8,12
1557639040,3,7
1557648041,1,8
1557656441,0,5
1557664239,2,8
1557673239,1,15
1557681038,1,30
1557698438,9,7
1557705039,8,4
1557713437,3,6
1557721839,0,1
1557729039,5,0
1557736239,2,4
1557745238,2,6
1557753037,1,11
1557760838,2,5
1557768638,2,5
1557775838,3,3
1557780642,2,0
1557786042,5,5
1557795042,2,5
1557802844,0,4
1557810640,2,4
1557822038,5,6
1557829845,2,4
1557836439,1,0
1557844240,2,18
1557861040,2,9
1557868238,2,10
1557874238,1,4
1557880837,1,0
1557888638,2,3
1557896438,0,13
1557903638,0,14
1557917439,3,24
1557934238,6,139
1557941438,2,0
1557948037,3,0
1557955238,1,0
1557962436,2,0
1557969038,1,0
1557989438,5,0
1557996638,2,0
1558003837,2,0
1558010438,3,0
1558018237,3,0
1558026039,6,0
1558032637,108,7
1558040438,6,24
1558047038,12,32
1558054837,10,4
1558062038,2,4
1558069837,6,16
1558078237,1,7
1558084837,5,0
1558092637,0,7
1558099837,1,18
1558107638,2,9
1558117237,22,6
1558125037,8,4
1558131637,2,10
1558138237,0,20
1558145438,2,0
1558153837,2,23
1558161038,0,9
1558175443,1,11
1558182639,1,10
1558197037,5,14
1558203638,7,10
1558211442,2,2
1558218041,3,0
1558225841,1,11
1558233039,2,19
1558239641,0,3
1558247438,24,3
1558254037,4,0
1558261242,5,15
1558268440,0,8
1558276238,5,5
1558291237,7,7
1558299042,2,10
1558314038,0,11
1558321239,0,9
1558327838,7,13
1558336238,7,7
1558343447,1,0
1558352440,5,5
1558359638,3,2
1558366237,6,2
1558372838,5,0
1558380638,1,7
1558387238,0,8
1558394437,1,0
1558402238,0,5
1558409437,7,11
1558416638,1,8
1558424437,3,3
1558434038,5,4
1558441836,0,51
1558449636,4,0
1558456836,21,28
1558463437,3,0
1558469437,3,6
1558474838,2,4
1558485638,4,6
1558493440,1,27
1558501238,0,22
1558507837,6,0
1558515037,1,9
1558522237,1,11
1558529438,3,8
1558537838,3,10
1558543238,5,0
1558549843,1,9
1558557037,3,4
1558562438,0,6
1558568437,2,0
1558576237,2,25
1558583438,1,0
1558590638,0,17
1558597238,7,0
1558605638,0,13
1558614037,2,16
1558621237,10,13
1558629039,3,0
1558636236,0,13
1558644036,6,11
1558650036,3,11
1558656637,1,0
1558664437,2,7
1558671637,0,10
1558680037,0,15
1558687836,2,0
1558695036,3,13
1558702237,2,0
1558711236,5,20
1558718437,5,10
1558725037,1,0
1558731036,2,6
1558738237,2,5
1558746036,12,15
1558752036,2,0
1558760437,0,14
1558767034,0,28
1558774837,2,27
1558782036,2,0
1558789237,0,31
1558795836,1,0
1558803037,1,22
1558809636,0,20
1558824637,4,20
1558831836,1,24
1558839636,1,0
1558846236,0,27
1558854036,2,42
1558860636,1,0
1558867238,2,34
1558874437,4,7
1558882836,0,13
1558888836,0,19
1558903237,1,13
1558910435,1,12
1558918236,5,7
1558925435,1,14
1558932636,2,0
1558940435,1,36
1558947035,1,0
1558953634,32,35
1558959035,47,15
1558967460,2,15
1558974636,8,0
1558980636,0,8
1558988436,7,19
1559002236,2,8
1559009435,1,10
1559017236,1,24
1559024435,1,0
1559032236,0,28
1559039442,7,0
1559046636,10,10
1559054436,6,14
1559059236,1,0
1559065235,4,5
1559073636,4,9
1559079636,1,10
1559094036,1,13
1559101237,1,27
1559109036,2,28
1559116237,5,31
1559124037,6,25
1559137836,10,18
1559145637,1,20
1559152237,2,0
1559160037,1,22
1559173837,2,10
1559181637,2,15
1559188838,0,20
1559195436,0,26
1559203236,5,16
1559210436,3,0
1559218236,4,29
1559226635,1,26
1559232636,1,0
1559238036,0,18
1559252436,3,27
1559260235,0,25
1559268035,1,12
1559274036,2,19
1559281835,2,26
1559288436,6,0
1559296236,4,19
1559304635,2,15
1559311235,1,12
1559317836,1,8
1559324436,46,0
1559332236,2,8
1559340036,3,14
1559353835,4,6
1559360435,0,15
1559368235,0,18
1559375440,3,0
1559382634,0,29
1559389836,2,13
1559397036,0,21
1559410835,1,19
1559418035,1,16
1559425237,0,13
1559433036,2,16
1559439635,0,10
1559447436,1,13
1559455235,1,24
1559461835,3,0
1559469037,0,19
1559476836,1,12
1559483435,1,11
1559490036,2,0
1559497836,0,12
1559505636,1,4
1559511635,1,6
1559520035,0,13
1559526634,3,0
1559533236,3,14
1559548235,4,17
1559554835,1,15
1559562635,0,9
1559569235,2,0
1559577035,2,8
1559583635,1,3
1559590836,1,0
1559598635,1,10
1559605235,1,0
1559612435,6,7
1559618436,1,5
1559625636,1,5
1559632836,0,3
1559639435,2,0
1559647236,1,29
1559654435,2,0
1559662236,1,5
1559667636,0,6
1559680835,1,5
1559688035,0,10
1559695236,2,0
1559702436,0,10
1559710235,4,15
1559717434,9,20
1559724035,1,12
1559731835,1,11
1559745634,1,13
1559753435,1,10
1559760636,2,7
1559767236,0,5
1559773836,16,6
1559779834,86,9
1559787635,0,13
1559794835,8,0
1559802035,3,16
1559809236,1,21
1559816435,0,12
1559823037,3,8
1559831435,1,11
1559837435,1,0
1559844635,2,11
1559852435,0,10
1559859635,8,11
1559866234,9,7
1559873435,2,0
1559880634,0,4
1559886035,5,15
1559891435,2,8
1559899235,0,10
1559905834,1,0
1559911234,3,12
1559919034,0,8
1559925635,2,0
1559933434,1,24
1559940036,4,0
1559947835,2,18
1559955034,3,14
1559962234,1,0
1559969434,0,6
1559976048,2,10
1559983835,3,17
1559990433,1,0
1559995835,1,8
1560001834,2,8
1560009035,0,10
1560015634,2,0
1560023435,6,6
1560030034,0,9
1560037834,0,18
1560045034,2,14
1560057635,27,28
1560065434,13,17
1560072035,1,8
1560078635,3,0
1560085834,0,20
1560093634,0,13
1560107436,2,10
1560115234,2,7
1560121834,2,7
1560129634,1,4
1560136235,0,19
1560142235,4,0
1560148235,3,11
1560155435,2,14
1560163235,0,20
1560169835,0,19
1560176434,2,0
1560183035,0,30
1560189035,1,10
1560195634,4,8
1560202835,4,6
1560207635,0,4
1560213636,1,0
1560219034,1,10
1560226235,1,5
1560233434,2,0
1560240035,1,7
1560246039,2,4
1560252634,1,7
1560258634,1,9
1560265835,4,0
1560270634,4,6
1560276636,1,10
1560282034,2,0
1560289235,0,12
1560296439,2,11
1560303035,1,10
1560308435,5,27
1560313835,1,0
1560319835,1,5
1560325234,1,6
1560332434,1,17
1560339636,2,8
1560345034,3,0
1560352235,6,9
1560358835,1,7
1560364235,4,6
1560369634,4,11
1560375035,2,9
1560381035,1,15
1560388234,5,0
1560395434,2,9
1560400834,2,10
1560406233,0,26
1560412834,1,0
1560418834,1,6
1560426035,3,7
1560433234,1,17
1560439834,3,8
1560445234,2,13
1560451234,4,0
1560459034,0,9
1560465635,1,8
1560473434,2,4
1560480035,1,7
1560487833,2,7
1560494434,0,12
1560501633,0,7
1560506435,0,4
1560511834,0,17
1560517834,2,0
1560530435,3,10
1560537634,2,9
1560544834,3,11
1560550234,1,7
1560555035,2,6
1560561034,2,6
1560573634,17,0
1560581434,24,22
1560588035,3,10
1560593434,2,0
1560600634,4,9
1560608434,0,5
1560615034,4,20
1560622834,3,21
1560629434,3,0
1560636034,1,8
1560642034,1,8
1560649234,3,0
1560654634,3,10
1560661235,2,10
1560675034,1,7
1560681634,2,11
1560688834,1,7
1560696035,2,8
1560703234,1,0
1560710434,4,16
1560717035,1,10
1560723034,3,9
1560730234,3,6
1560737433,3,5
1560744635,4,5
1560750034,0,9
1560757234,5,7
1560762634,1,5
1560769836,2,10
1560777034,0,12
1560784234,1,7
1560790834,2,8
1560796834,2,6
1560804034,4,0
1560809434,1,7
1560816633,2,0
1560823834,3,5
1560831034,3,5
1560838234,4,9
1560845434,0,2
1560852636,0,6
1560860435,3,13
1560867034,2,0
1560873634,1,23
1560879636,3,0
1560886833,1,7
1560894035,2,0
1560900634,0,3
1560906634,3,0
1560913834,0,4
1560921634,1,19
1560928234,1,0
1560935434,1,11
