DateTime,AddedIPs,RemovedIPs
1557255043,571,560
1557263444,499,527
1557272443,593,669
1557281441,506,589
1557288642,538,486
1557297642,666,621
1557307844,644,659
1557317442,485,700
1557326441,571,609
1557335441,553,509
1557342643,502,454
1557349842,520,434
1557356443,536,505
1557363642,489,437
1557372041,526,557
1557380443,516,501
1557390042,589,648
1557400242,573,689
1557409241,536,578
1557416442,527,387
1557426043,581,605
1557434443,491,439
1557441642,480,447
1557450642,657,684
1557460242,608,655
1557469240,535,640
1557477641,588,650
1557486641,547,576
1557493242,476,432
1557502241,488,565
1557510042,534,481
1557518443,514,510
1557526242,539,532
1557534640,629,629
1557541843,432,448
1557549642,505,557
1557559848,617,721
1557567641,383,458
1557576040,592,577
1557583840,544,529
1557592839,483,563
1557601239,457,480
1557608440,442,477
1557615640,645,540
1557622840,509,460
1557631239,484,513
1557639040,418,474
1557648041,513,634
1557656441,460,516
1557664239,507,505
1557673239,464,572
1557681038,461,426
1557690039,578,581
1557698438,615,596
1557705039,420,431
1557713437,503,522
1557721839,530,486
1557729039,475,480
1557736239,393,462
1557745238,419,564
1557753037,384,496
1557760838,462,386
1557768638,440,368
1557775838,437,428
1557780642,672,341
1557786042,590,231
1557795042,438,578
1557802844,391,534
1557810640,436,466
1557822038,473,740
1557829845,475,451
1557836439,414,302
1557844240,482,401
1557852039,395,387
1557861040,633,651
1557868238,434,681
1557874238,380,371
1557880837,461,418
1557888638,454,445
1557896438,393,382
1557903638,399,446
1557910838,430,381
1557917439,356,375
1557934238,652,748
1557941438,416,513
1557948037,508,528
1557955238,506,478
1557962436,441,400
1557969038,450,391
1557977437,433,489
1557989438,322,256
1557996638,658,718
1558003837,322,382
1558010438,404,335
1558018237,423,438
1558026039,448,477
1558032637,626,530
1558040438,445,449
1558047038,433,387
1558054837,488,469
1558062038,385,403
1558069837,391,471
1558078237,448,504
1558084837,406,327
1558092637,417,421
1558099837,421,432
1558107638,452,445
1558117237,665,836
1558125037,471,494
1558131637,375,362
1558138237,412,332
1558145438,474,328
1558153837,451,449
1558161038,380,461
1558168237,319,345
1558175443,383,413
1558182639,401,342
