DateTime,Entries,UniqueIPs
1557255043,5492,5492
1557263444,5464,5464
1557272443,5388,5388
1557281441,5305,5305
1557288642,5357,5357
1557297642,5402,5402
1557307844,5387,5387
1557317442,5172,5172
1557326441,5134,5134
1557335441,5178,5178
1557342643,5226,5226
1557349842,5312,5312
1557356443,5343,5343
1557363642,5395,5395
1557372041,5364,5364
1557380443,5379,5379
1557390042,5320,5320
1557400242,5204,5204
1557409241,5162,5162
1557416442,5302,5302
1557426043,5278,5278
1557434443,5330,5330
1557441642,5363,5363
1557450642,5336,5336
1557460242,5289,5289
1557469240,5184,5184
1557477641,5122,5122
1557486641,5093,5093
1557493242,5137,5137
1557502241,5060,5060
1557510042,5113,5113
1557518443,5117,5117
1557526242,5124,5124
1557534640,5124,5124
1557541843,5108,5108
1557549642,5056,5056
1557559848,4952,4952
1557567641,4877,4877
1557576040,4892,4892
1557583840,4907,4907
1557592839,4827,4827
1557601239,4804,4804
1557608440,4769,4769
1557615640,4874,4874
1557622840,4923,4923
1557631239,4894,4894
1557639040,4838,4838
1557648041,4717,4717
1557656441,4661,4661
1557664239,4663,4663
1557673239,4555,4555
1557681038,4590,4590
1557690039,4587,4587
1557698438,4606,4606
1557705039,4595,4595
1557713437,4576,4576
1557721839,4620,4620
1557729039,4615,4615
1557736239,4546,4546
1557745238,4401,4401
1557753037,4289,4289
1557760838,4365,4365
1557768638,4437,4437
1557775838,4446,4446
1557780642,4777,4777
1557786042,5136,5136
1557795042,4996,4996
1557802844,4853,4853
1557810640,4823,4823
1557822038,4556,4556
1557829845,4580,4580
1557836439,4692,4692
1557844240,4773,4773
1557852039,4781,4781
1557861040,4763,4763
1557868238,4516,4516
1557874238,4525,4525
1557880837,4568,4568
1557888638,4577,4577
1557896438,4588,4588
1557903638,4541,4541
1557910838,4590,4590
1557917439,4571,4571
1557934238,4475,4475
1557941438,4378,4378
1557948037,4358,4358
1557955238,4386,4386
1557962436,4427,4427
1557969038,4486,4486
1557977437,4430,4430
1557989438,4496,4496
1557996638,4436,4436
1558003837,4376,4376
1558010438,4445,4445
1558018237,4430,4430
1558026039,4401,4401
1558032637,4497,4497
1558040438,4493,4493
1558047038,4539,4539
1558054837,4558,4558
1558062038,4540,4540
1558069837,4460,4460
1558078237,4404,4404
1558084837,4483,4483
1558092637,4479,4479
1558099837,4468,4468
1558107638,4475,4475
1558117237,4304,4304
1558125037,4281,4281
1558131637,4294,4294
1558138237,4374,4374
1558145438,4520,4520
1558153837,4522,4522
1558161038,4441,4441
1558168237,4415,4415
1558175443,4385,4385
1558182639,4444,4444
1558189838,4379,4379
1558197037,4409,4409
1558203638,4544,4544
1558211442,4556,4556
1558218041,4617,4617
1558225841,4608,4608
1558233039,4580,4580
1558239641,4665,4665
1558247438,4611,4611
1558254037,4603,4603
1558261242,4668,4668
1558268440,4680,4680
1558276238,4711,4711
1558291237,4656,4656
1558299042,4634,4634
1558306239,4675,4675
1558314038,4670,4670
1558321239,4675,4675
1558327838,4654,4654
1558336238,4618,4618
1558343447,4555,4555
1558352440,4533,4533
1558359638,4411,4411
1558366237,4386,4386
1558372838,4433,4433
1558380638,4438,4438
1558387238,4474,4474
1558394437,4563,4563
1558402238,4563,4563
1558409437,4553,4553
1558416638,4527,4527
1558424437,4506,4506
1558434038,4291,4291
1558441836,4195,4195
1558449636,4131,4131
1558456836,4266,4266
1558463437,4391,4391
