DateTime,Entries,UniqueIPs
1555585823,3175,3175
1555597824,2870,2870
1555607423,2784,2784
1555617023,2803,2803
1555626021,2852,2852
1555634422,2887,2887
1555644621,2773,2773
1555653021,2719,2719
1555662624,2656,2656
1555671024,2596,2596
1555680623,2497,2497
1555689024,2451,2451
1555698023,2476,2476
1555707024,2511,2511
1555715423,2571,2571
1555724422,2618,2618
1555733422,2650,2650
1555743022,2583,2583
1555752024,2514,2514
1555761023,2493,2493
1555770623,2473,2473
1555779023,2388,2388
1555786822,2467,2467
1555794623,2513,2513
1555803621,2556,2556
1555818020,2539,2539
1555828221,2574,2574
1555837223,2446,2446
1555844424,2492,2492
1555852224,2566,2566
1555862423,2558,2558
1555870822,2495,2495
1555879222,2458,2458
1555888222,2585,2585
1555897822,2648,2648
1555906821,2619,2619
1555915821,2601,2601
1555924823,2560,2560
1555935024,2469,2469
1555942824,2491,2491
1555951223,2583,2583
1555960223,2687,2687
1555969223,2726,2726
1555978222,2777,2777
1555985421,2711,2711
1555995621,2613,2613
1556004024,2535,2535
1556016624,2081,2081
1556026824,1962,1962
1556037023,1980,1980
1556046623,1947,1947
1556056824,1846,1846
1556065822,1764,1764
1556074222,1726,1726
1556086221,2160,2160
1556094024,2272,2272
1556101223,2288,2288
1556109023,2347,2347
1556123424,2376,2376
1556131223,2387,2387
1556139623,2510,2510
1556154022,2768,2768
1556162421,2758,2758
1556171421,3042,3042
1556181625,2996,2996
1556193624,2838,2838
1556206223,2459,2459
1556217023,2411,2411
1556227825,2424,2424
1556237422,2469,2469
1556248821,2414,2414
1556258422,2370,2370
1556268624,2131,2131
1556278224,1972,1972
1556286023,2075,2075
1556295623,2140,2140
1556305223,2201,2201
1556313022,2210,2210
1556322021,2221,2221
1556331021,2240,2240
1556338821,2243,2243
1556347821,2161,2161
1556356824,2199,2199
1556365824,2259,2259
1556376623,2147,2147
1556386223,2038,2038
1556394023,2042,2042
1556403623,2130,2130
1556412022,2139,2139
1556421622,2208,2208
1556430622,2263,2263
1556440224,2233,2233
1556449224,2255,2255
1556458824,2228,2228
1556467822,2212,2212
1556476223,2280,2280
1556484623,2301,2301
1556494223,2255,2255
1556502621,2265,2265
1556512222,2264,2264
1556521823,2235,2235
1556531425,2131,2131
1556541622,2073,2073
1556550023,2061,2061
1556559022,1920,1920
1556567422,1897,1897
1556575822,1963,1963
1556583622,2031,2031
1556592620,2041,2041
1556601021,2064,2064
1556608823,2178,2178
1556616624,2444,2444
1556624424,2517,2517
1556634024,2513,2513
1556643022,2489,2489
1556652023,2502,2502
1556659822,2635,2635
1556674222,2650,2650
1556681422,2709,2709
1556689221,2762,2762
1556697024,2660,2660
1556706024,2551,2551
1556715023,2574,2574
1556724023,2536,2536
1556733023,2514,2514
1556742022,2527,2527
1556750423,2591,2591
1556757621,2628,2628
1556765421,2622,2622
1556774420,2613,2613
1556783423,2619,2619
1556792423,2626,2626
1556800822,2599,2599
1556811022,2507,2507
1556819422,2503,2503
1556827822,2502,2502
1556836821,2502,2502
1556845821,2581,2581
1556853021,2584,2584
1556862620,2460,2460
1556871023,2439,2439
1556880023,2438,2438
1556889622,2431,2431
1556898623,2395,2395
1556907622,2383,2383
1556916022,2452,2452
1556925621,2444,2444
1556934021,2497,2497
1556941221,2568,2568
1556950820,2536,2536
1556959824,2534,2534
1556970023,2368,2368
1556980822,1959,1959
1556989822,1988,1988
1556997623,2256,2256
1557006622,2344,2344
1557015021,2278,2278
1557023422,2304,2304
1557037820,2402,2402
1557045623,2360,2360
1557054623,2353,2353
1557066023,2218,2218
1557074422,2238,2238
1557084022,2359,2359
1557093021,2359,2359
1557101421,2374,2374
1557110421,2465,2465
1557120020,2399,2399
1557129023,2376,2376
1557138023,2354,2354
1557147622,2206,2206
1557156022,2162,2162
1557163822,2288,2288
1557171022,2395,2395
1557185421,2479,2479
1557192021,2569,2569
1557202220,2440,2440
1557210620,2428,2428
1557219624,2404,2404
1557228023,2388,2388
1557237623,2354,2354
1557246022,2332,2332
1557255022,2356,2356
1557263422,2355,2355
1557272421,2346,2346
1557281420,2305,2305
1557288620,2350,2350
1557297620,2382,2382
1557307824,2359,2359
1557317423,2152,2152
1557326423,2112,2112
1557335422,2147,2147
1557349822,2334,2334
1557363621,2380,2380
1557372021,2329,2329
1557380421,2324,2324
1557390023,2247,2247
1557400223,2115,2115
1557409223,2100,2100
1557416423,2233,2233
1557426023,2210,2210
1557434422,2223,2223
1557441622,2274,2274
1557450621,2259,2259
1557460221,2213,2213
1557469220,2103,2103
1557477623,2077,2077
1557486623,2068,2068
1557493223,2109,2109
1557502223,2033,2033
1557510023,2092,2092
1557518422,2107,2107
1557526223,2124,2124
1557534621,2145,2145
1557541821,2139,2139
1557549621,2099,2099
1557559824,2013,2013
1557567623,1974,1974
1557576023,2017,2017
1557583822,2043,2043
1557592822,1968,1968
1557601222,1956,1956
1557615621,2085,2085
1557622821,2170,2170
1557631220,2161,2161
1557639021,2147,2147
1557648025,2017,2017
1557656425,1954,1954
1557664222,1942,1942
1557673222,1811,1811
1557681022,1832,1832
1557690021,1832,1832
1557698421,1853,1853
1557705021,1843,1843
1557713420,1824,1824
1557721821,1836,1836
1557736223,1765,1765
1557745223,1582,1582
1557753023,1472,1472
1557760822,1562,1562
1557768622,1646,1646
1557780623,1907,1907
1557795022,2061,2061
1557802821,1907,1907
1557810621,1870,1870
1557822023,1579,1579
1557836423,1747,1747
1557844223,1835,1835
1557852022,1852,1852
1557861022,1889,1889
1557874222,1799,1799
1557888621,1843,1843
1557896420,1839,1839
1557910822,1815,1815
1557917423,1794,1794
1557941422,1559,1559
1557955222,1607,1607
1557969021,1698,1698
1557983420,1662,1662
1557996623,1680,1680
1558010423,1712,1712
1558018222,1678,1678
1558032621,1737,1737
1558047021,1810,1810
1558054821,1822,1822
1558062021,1831,1831
1558069820,1755,1755
1558078223,1720,1720
1558092623,1779,1779
1558099822,1780,1780
1558107622,1782,1782
1558117221,1619,1619
1558131622,1617,1617
1558145421,1818,1818
1558153820,1802,1802
1558168222,1669,1669
1558182623,1688,1688
1558197021,1628,1628
1558211425,1745,1745
1558225823,1815,1815
1558239622,1876,1876
1558254022,1826,1826
1558268424,1879,1879
1558276222,1913,1913
1558299025,1913,1913
1558306221,1969,1969
1558314020,1972,1972
1558327820,1973,1973
1558336222,1926,1926
1558343422,1871,1871
1558352422,1858,1858
1558366221,1692,1692
1558380621,1761,1761
1558394420,1895,1895
1558402220,1901,1901
1558416620,1828,1828
1558424422,1821,1821
1558434024,1607,1607
1558441822,1483,1483
1558449622,1396,1396
1558463421,1588,1588
1558474821,1700,1700
1558485621,1755,1755
1558493421,1687,1687
1558507820,1569,1569
1558522222,1642,1642
1558529421,1623,1623
1558543221,1611,1611
1558557021,1556,1556
1558568420,1733,1733
1558576220,1731,1731
1558590619,1731,1731
1558597223,1763,1763
1558605622,1752,1752
1558614022,1545,1545
1558629022,1749,1749
1558636221,1605,1605
1558650021,1573,1573
1558664420,1679,1679
1558671620,1686,1686
1558680020,1643,1643
1558687822,1536,1536
1558702222,1614,1614
1558711221,1441,1441
1558725021,1520,1520
1558738220,1663,1663
1558752019,1522,1522
1558774824,1534,1534
1558789222,1524,1524
1558803022,1482,1482
1558817421,1471,1471
1558831820,1551,1551
1558846220,1424,1424
1558860622,1401,1401
1558874421,1399,1399
1558888821,1279,1279
1558903221,1397,1397
1558910419,1400,1400
1558918220,1386,1386
1558932620,1348,1348
1558947022,1160,1160
1558959021,1404,1404
1558974621,1347,1347
1558988421,1413,1413
1559002219,1426,1426
1559009418,1453,1453
1559017219,1457,1457
1559024418,1512,1512
1559032222,1430,1430
1559046621,1361,1361
1559059221,1347,1347
1559073620,1446,1446
1559086819,1411,1411
1559101219,1506,1506
1559116222,1567,1567
1559124022,1578,1578
1559137821,1629,1629
1559152221,1615,1615
1559166620,1602,1602
1559173820,1643,1643
1559181619,1663,1663
1559195418,1650,1650
1559203222,1596,1596
1559210422,1603,1603
1559218222,1403,1403
1559232621,1433,1433
1559245221,1542,1542
1559252421,1543,1543
1559260220,1544,1544
1559274020,1468,1468
1559288422,1471,1471
1559296222,1478,1478
1559304622,1438,1438
1559317822,1383,1383
1559332220,1488,1488
1559346020,1456,1456
1559360419,1498,1498
1559382621,1532,1532
1559397022,1464,1464
1559410821,1397,1397
1559425221,1524,1524
1559439619,1625,1625
1559447420,1612,1612
1559461821,1583,1583
1559469022,1548,1548
1559483421,1438,1438
1559497821,1533,1533
1559511620,1431,1431
1559520020,1419,1419
1559533220,1468,1468
1559554821,1483,1483
1559569221,1504,1504
1559583620,1571,1571
1559590820,1547,1547
1559605219,1519,1519
1559618419,1552,1552
1559632823,1522,1522
1559647222,1465,1465
1559654421,1481,1481
1559667622,1498,1498
1559680821,1484,1484
1559695220,1485,1485
1559702420,1575,1575
1559710219,1534,1534
1559724022,1481,1481
1559731822,1453,1453
1559745621,1416,1416
1559753421,1485,1485
1559767221,1500,1500
1559779819,1630,1630
1559802019,1630,1630
1559816422,1516,1516
1559823022,1503,1503
1559837421,1532,1532
1559844621,1627,1627
1559852420,1572,1572
1559866220,1484,1484
1559880619,1513,1513
1559891422,1493,1493
1559905821,1417,1417
1559919020,1428,1428
1559933420,1500,1500
1559947820,1489,1489
1559962218,1470,1470
1559976023,1500,1500
1559990420,1377,1377
1560001820,1424,1424
1560015620,1443,1443
1560030019,1507,1507
1560037819,1518,1518
1560051619,1569,1569
1560065421,1511,1511
1560078622,1407,1407
1560085820,1410,1410
1560100221,1462,1462
1560107420,1522,1522
1560121819,1484,1484
1560136219,1460,1460
1560148218,1573,1573
1560155420,1560,1560
1560169820,1368,1368
1560183020,1351,1351
1560195620,1314,1314
1560207620,1329,1329
1560219018,1358,1358
1560233418,1283,1283
1560246021,1253,1253
1560258620,1172,1172
1560270620,1244,1244
1560282020,1299,1299
1560296424,1301,1301
1560308419,1271,1271
1560319819,1300,1300
1560332421,1281,1281
1560345021,1247,1247
1560358821,1241,1241
1560369620,1275,1275
1560381019,1321,1321
1560395419,1320,1320
1560406219,1305,1305
1560418822,1320,1320
1560433220,1280,1280
1560445220,1368,1368
1560459020,1344,1344
1560473419,1306,1306
1560487818,1366,1366
1560501621,1292,1292
1560511821,1318,1318
1560523220,1310,1310
1560537620,1355,1355
1560550220,1383,1383
1560561019,1440,1440
1560573618,1427,1427
1560588022,1387,1387
1560600621,1412,1412
1560615021,1410,1410
1560629420,1346,1346
1560642020,1399,1399
1560654619,1373,1373
1560667818,1427,1427
1560681622,1295,1295
1560696021,1275,1275
1560710421,1323,1323
1560723020,1325,1325
1560737419,1268,1268
1560750019,1348,1348
1560762621,1292,1292
1560777021,1233,1233
1560790820,1262,1262
1560804021,1253,1253
1560816619,1338,1338
1560831020,1305,1305
1560845421,1337,1337
1560852622,1341,1341
1560867021,1194,1194
1560879622,1285,1285
1560894020,1298,1298
1560906619,1278,1278
1560913819,1281,1281
1560928222,1206,1206
