DateTime,AddedIPs,RemovedIPs
1557255027,24,26
1557263428,27,24
1557272427,26,27
1557281427,26,26
1557288627,26,26
1557297627,23,26
1557307828,22,19
1557317427,21,23
1557326428,26,24
1557335427,26,26
1557342628,24,25
1557349827,27,25
1557356427,27,27
1557363627,26,27
1557372027,24,26
1557380427,27,24
1557390028,26,27
1557400228,25,26
1557409228,25,24
1557416428,23,22
1557426028,24,27
1557434429,25,23
1557441628,24,25
1557450627,24,25
1557460227,27,24
1557469227,22,24
1557477627,23,23
1557486628,22,23
1557493228,25,24
1557502228,26,25
1557510028,24,26
1557518427,23,23
1557526228,23,24
1557534626,25,22
1557541829,25,25
1557549627,24,26
1557559833,25,22
1557567627,25,27
1557576028,23,24
1557583827,23,22
1557592827,24,23
1557601228,25,26
1557608428,24,24
1557615627,25,24
1557622828,26,25
1557631226,26,26
1557639027,23,27
1557648029,26,22
1557656429,26,26
1557664227,26,26
1557673228,27,27
1557681027,25,26
1557690027,25,26
1557698427,27,25
1557705027,26,26
1557713426,25,26
1557721827,24,23
1557729027,22,27
1557736227,25,20
1557745228,26,27
1557753027,27,26
1557760827,23,26
1557768627,27,24
1557775827,27,27
1557780629,25,27
1557786028,23,25
1557795028,27,23
1557802831,25,26
1557810628,25,26
1557822027,22,23
1557829828,26,23
1557836427,25,26
1557844228,26,26
1557852027,24,26
1557861027,24,23
1557868227,24,24
1557874227,27,25
1557880827,26,27
1557888627,27,26
1557896427,23,27
1557903627,24,23
1557910826,27,24
1557917428,24,26
1557934228,25,23
1557941427,24,26
1557948027,25,24
1557955227,25,24
1557962426,26,26
1557969027,23,25
1557977426,25,25
1557989427,25,25
1557996627,21,20
1558003826,25,25
1558010427,26,25
1558018227,23,24
1558026029,24,23
1558032626,23,24
1558040427,24,26
1558047027,27,24
1558054827,23,27
1558062027,24,22
1558069827,22,22
1558078227,25,23
1558084827,24,25
1558092627,25,25
1558099826,24,26
1558107627,24,22
1558117228,26,26
1558125027,25,25
1558131627,26,26
1558138226,27,26
1558145427,24,27
1558153826,26,24
1558161027,25,25
1558168226,25,26
1558175427,26,25
1558182628,23,24
1558189827,25,23
1558197026,27,27
1558203627,22,25
1558211431,25,24
1558218029,27,25
1558225830,26,27
1558233027,25,25
1558239629,27,26
1558247427,21,26
1558254026,25,21
1558261230,25,26
1558268429,26,24
1558276227,22,25
1558291226,23,21
1558299031,25,26
1558306227,26,25
1558314027,25,25
1558321227,25,26
1558327827,24,24
1558336227,25,25
1558343433,27,25
1558352429,25,26
1558359628,25,25
1558366227,24,24
1558372827,24,24
1558380627,25,24
1558387227,25,26
1558394426,25,26
1558402227,23,23
1558409426,24,23
1558416627,23,23
1558424426,26,26
1558434028,24,24
1558441826,26,25
1558449627,24,27
1558456826,27,24
1558463426,26,27
1558469426,25,26
1558474826,23,25
1558485627,23,19
1558493429,19,23
1558507826,24,22
1558515026,24,25
1558522227,26,24
1558529426,25,25
1558537827,24,24
1558543227,26,26
1558549832,24,26
1558557027,21,21
1558562427,22,22
1558568426,23,24
1558576226,23,23
1558583426,26,22
1558597227,25,26
1558605626,27,26
1558614026,25,26
1558621227,27,26
1558629027,27,27
1558636226,24,27
1558644026,26,23
1558650026,23,26
1558656626,26,24
1558664426,26,25
1558671626,24,26
1558680026,24,25
1558687826,24,22
1558695026,26,26
1558702227,24,25
1558711226,26,24
1558718427,25,25
1558725027,23,26
1558731026,24,23
1558738226,24,25
1558746026,22,24
1558752026,22,20
1558774827,24,22
1558782026,25,24
1558789226,27,27
1558795826,22,26
1558803027,22,22
1558809626,23,21
1558817426,24,24
1558824627,23,25
1558831826,27,23
1558839626,22,26
1558846226,25,22
1558854026,22,23
1558860626,24,22
1558867228,25,26
1558874426,23,25
1558882826,23,21
1558888827,22,24
1558896026,26,23
1558903227,23,26
1558910425,25,24
1558918226,25,24
1558925425,24,24
1558932627,25,24
1558940426,24,25
