DateTime,AddedIPs,RemovedIPs
1560231607,7,7
1560232089,8,13
1560232565,12,3
1560233048,3,6
1560233524,9,10
1560234004,9,9
1560234485,6,7
1560234966,9,6
1560235444,5,8
1560235924,11,6
1560236415,3,6
1560236889,5,8
1560237365,10,9
1560237847,8,6
1560238325,7,5
1560238808,6,3
1560239284,4,5
1560239766,8,7
1560240246,4,10
1560240731,8,5
1560241203,4,4
1560241686,4,2
1560242164,4,1
1560264727,0,1
1560265209,1,0
1560301686,4,10
1560302177,9,12
1560302645,10,8
1560303124,8,10
1560303607,9,9
1560304088,8,8
1560304565,8,6
1560305048,5,7
1560305525,11,6
1560306020,5,7
1560306485,9,8
1560306975,7,4
1560307450,8,7
1560307931,7,9
1560308418,8,7
1560308886,7,7
1560309364,5,6
1560309849,9,11
1560310328,7,7
1560310804,8,7
1560311284,7,5
1560311768,4,5
1560312244,9,11
1560312734,9,7
1560313204,6,8
1560313689,8,11
1560314167,11,8
1560314659,9,6
1560315124,7,5
1560315636,6,10
1560316095,9,10
1560316573,7,5
1560317055,5,5
1560317527,6,8
1560318016,10,7
1560318501,6,8
1560318975,10,11
1560319457,6,4
1560319935,6,15
1560320417,12,5
1560320895,5,10
1560321367,8,8
1560321858,10,10
1560322336,7,9
1560322823,14,13
1560323296,8,9
1560323778,6,7
1560324258,8,7
1560324738,5,4
1560325219,5,5
1560325684,4,7
1560326171,10,10
1560326645,9,10
1560327138,7,5
1560327606,7,7
1560328086,6,4
1560328564,3,0
1560368164,0,1
1560368645,1,0
1560387845,0,9
1560388327,11,8
1560388808,6,7
1560389291,6,9
1560389765,6,8
1560390245,8,8
1560390728,8,7
1560391219,9,11
1560391687,10,8
1560392165,6,8
1560392648,11,7
1560393126,7,8
1560393605,10,5
1560394088,5,9
1560394572,10,5
1560395044,6,12
1560395525,10,9
1560396005,8,7
1560396488,6,7
1560396968,10,10
1560397445,8,12
1560397925,11,7
1560398445,8,8
1560398890,7,5
1560399370,5,12
1560399844,9,8
1560400328,9,5
1560400806,6,7
1560401293,8,9
1560401766,8,4
1560402245,7,7
1560402733,6,6
1560403221,5,9
1560403689,9,7
1560404166,7,4
1560404653,5,9
1560405135,8,12
1560405859,12,7
1560406336,7,8
1560406814,12,11
1560407300,8,6
1560407765,7,5
1560408256,7,9
1560408725,10,8
1560409218,10,6
1560409684,4,7
1560410167,10,6
1560410654,3,3
1560411127,3,6
1560411615,8,7
1560412095,8,8
1560412575,10,7
1560413044,5,9
1560413529,9,5
1560414015,6,7
1560414498,6,1
1560414974,0,1
1560415444,1,0
1560474488,6,12
1560474970,6,7
1560475448,9,8
1560475925,9,8
1560476405,8,8
1560476887,8,6
1560477366,7,9
1560477849,9,8
1560478327,9,8
1560478811,9,8
1560479288,8,5
1560479767,4,5
1560480246,4,8
1560480729,11,12
1560481214,11,5
1560481688,4,8
1560482163,8,5
1560482646,5,8
1560483125,8,10
1560483606,11,8
1560484089,7,7
1560484570,6,7
1560485045,8,10
1560485527,10,7
1560486005,4,4
1560486489,6,10
1560487205,10,7
1560487684,7,7
1560488165,6,5
1560488646,6,5
1560489125,4,7
1560489604,5,7
1560490085,7,6
1560490574,8,5
1560491049,5,4
1560491535,7,10
1560492026,7,9
1560492494,8,10
1560492974,9,10
1560493455,8,7
1560493935,7,6
1560494410,5,7
1560494899,11,12
1560495365,12,12
1560495843,8,8
1560496339,9,7
1560496814,7,7
1560497295,7,6
1560497764,5,6
1560498259,5,7
1560498734,7,5
1560499227,4,8
1560499695,9,7
1560500174,6,5
1560500645,5,1
1560501369,2,0
1560522010,0,1
1560522498,1,0
1560527044,0,1
1560528012,1,0
1560558727,0,1
1560559205,1,0
1560560167,1,1
1560560645,0,8
1560561126,13,9
1560561606,5,5
1560562092,6,11
1560562564,10,5
1560563045,6,8
1560563525,9,7
1560564026,7,8
1560564487,8,12
1560564964,7,6
1560565445,7,13
