DateTime,Entries,UniqueIPs
1560231607,4694,4694
1560232089,4689,4689
1560232565,4698,4698
1560233048,4695,4695
1560233524,4694,4694
1560234004,4694,4694
1560234485,4693,4693
1560234966,4696,4696
1560235444,4693,4693
1560235924,4698,4698
1560236415,4695,4695
1560236889,4692,4692
1560237365,4693,4693
1560237847,4695,4695
1560238325,4697,4697
1560238808,4700,4700
1560239284,4699,4699
1560239766,4700,4700
1560240246,4694,4694
1560240731,4697,4697
1560241203,4697,4697
1560241686,4699,4699
1560242164,4702,4702
1560264727,4701,4701
1560265209,4702,4702
1560301686,4696,4696
1560302177,4693,4693
1560302645,4695,4695
1560303124,4693,4693
1560303607,4693,4693
1560304088,4693,4693
1560304565,4695,4695
1560305048,4693,4693
1560305525,4698,4698
1560306020,4696,4696
1560306485,4697,4697
1560306975,4700,4700
1560307450,4701,4701
1560307931,4699,4699
1560308418,4700,4700
1560308886,4700,4700
1560309364,4699,4699
1560309849,4697,4697
1560310328,4697,4697
1560310804,4698,4698
1560311284,4700,4700
1560311768,4699,4699
1560312244,4697,4697
1560312734,4699,4699
1560313204,4697,4697
1560313689,4694,4694
1560314167,4697,4697
1560314659,4700,4700
1560315124,4702,4702
1560315636,4698,4698
1560316095,4697,4697
1560316573,4699,4699
1560317055,4699,4699
1560317527,4697,4697
1560318016,4700,4700
1560318501,4698,4698
1560318975,4697,4697
1560319457,4699,4699
1560319935,4690,4690
1560320417,4697,4697
1560320895,4692,4692
1560321367,4692,4692
1560321858,4692,4692
1560322336,4690,4690
1560322823,4691,4691
1560323296,4690,4690
1560323778,4689,4689
1560324258,4690,4690
1560324738,4691,4691
1560325219,4691,4691
1560325684,4688,4688
1560326171,4688,4688
1560326645,4687,4687
1560327138,4689,4689
1560327606,4689,4689
1560328086,4691,4691
1560328564,4694,4694
1560368164,4693,4693
1560368645,4694,4694
1560387845,4685,4685
1560388327,4688,4688
1560388808,4687,4687
1560389291,4684,4684
1560389765,4682,4682
1560390245,4682,4682
1560390728,4683,4683
1560391219,4681,4681
1560391687,4683,4683
1560392165,4681,4681
1560392648,4685,4685
1560393126,4684,4684
1560393605,4689,4689
1560394088,4685,4685
1560394572,4690,4690
1560395044,4684,4684
1560395525,4685,4685
1560396005,4686,4686
1560396488,4685,4685
1560396968,4685,4685
1560397445,4681,4681
1560397925,4685,4685
1560398445,4685,4685
1560398890,4687,4687
1560399370,4680,4680
1560399844,4681,4681
1560400328,4685,4685
1560400806,4684,4684
1560401293,4683,4683
1560401766,4687,4687
1560402245,4687,4687
1560402733,4687,4687
1560403221,4683,4683
1560403689,4685,4685
1560404166,4688,4688
1560404653,4684,4684
1560405135,4680,4680
1560405859,4685,4685
1560406336,4684,4684
1560406814,4685,4685
1560407300,4687,4687
1560407765,4689,4689
1560408256,4687,4687
1560408725,4689,4689
1560409218,4693,4693
1560409684,4690,4690
1560410167,4694,4694
1560410654,4694,4694
1560411127,4691,4691
1560411615,4692,4692
1560412095,4692,4692
1560412575,4695,4695
1560413044,4691,4691
1560413529,4695,4695
1560414015,4694,4694
1560414498,4699,4699
1560414974,4698,4698
1560415444,4699,4699
1560474488,4693,4693
1560474970,4692,4692
1560475448,4693,4693
1560475925,4694,4694
1560476405,4694,4694
1560476887,4696,4696
1560477366,4694,4694
1560477849,4695,4695
1560478327,4696,4696
1560478811,4697,4697
1560479288,4700,4700
1560479767,4699,4699
1560480246,4695,4695
1560480729,4694,4694
1560481214,4700,4700
1560481688,4696,4696
1560482163,4699,4699
1560482646,4696,4696
1560483125,4694,4694
1560483606,4697,4697
1560484089,4697,4697
1560484570,4696,4696
1560485045,4694,4694
1560485527,4697,4697
1560486005,4697,4697
1560486489,4693,4693
1560487205,4696,4696
1560487684,4696,4696
1560488165,4697,4697
1560488646,4698,4698
1560489125,4695,4695
1560489604,4693,4693
1560490085,4694,4694
1560490574,4697,4697
1560491049,4698,4698
1560491535,4695,4695
1560492026,4693,4693
1560492494,4691,4691
1560492974,4690,4690
1560493455,4691,4691
1560493935,4692,4692
1560494410,4690,4690
1560494899,4689,4689
1560495365,4689,4689
1560495843,4689,4689
1560496339,4691,4691
1560496814,4691,4691
1560497295,4692,4692
1560497764,4691,4691
1560498259,4689,4689
1560498734,4691,4691
1560499227,4687,4687
1560499695,4689,4689
1560500174,4690,4690
1560500645,4694,4694
1560501369,4696,4696
1560522010,4695,4695
1560522498,4696,4696
1560527044,4695,4695
1560528012,4696,4696
1560558727,4695,4695
1560559205,4696,4696
1560560167,4696,4696
1560560645,4688,4688
1560561126,4692,4692
1560561606,4692,4692
1560562092,4687,4687
1560562564,4692,4692
1560563045,4690,4690
1560563525,4692,4692
1560564026,4691,4691
1560564487,4687,4687
1560564964,4688,4688
1560565445,4682,4682
1560565932,4685,4685
1560566405,4685,4685
1560566885,4689,4689
1560567365,4687,4687
1560567851,4688,4688
1560568326,4684,4684
1560568810,4686,4686
1560569290,4687,4687
1560569766,4688,4688
1560570245,4688,4688
1560570728,4687,4687
1560571215,4685,4685
1560571687,4688,4688
1560572169,4687,4687
1560572649,4683,4683
1560573124,4690,4690
1560573607,4687,4687
1560574084,4688,4688
1560574569,4691,4691
1560575046,4690,4690
1560575527,4692,4692
1560576015,4687,4687
1560576492,4687,4687
1560576974,4687,4687
1560577451,4691,4691
1560577935,4694,4694
1560578432,4686,4686
1560578895,4689,4689
1560579378,4689,4689
1560579854,4690,4690
1560580329,4692,4692
1560580815,4691,4691
1560581297,4695,4695
1560581775,4689,4689
1560582256,4689,4689
1560582737,4689,4689
1560583221,4691,4691
1560583697,4688,4688
1560584175,4687,4687
1560584654,4687,4687
1560585135,4695,4695
1560585625,4692,4692
1560586095,4694,4694
1560586575,4690,4690
1560587059,4692,4692
1560587531,4693,4693
1560588005,4694,4694
1560645849,4694,4694
1560646826,4694,4694
1560647285,4688,4688
1560647765,4688,4688
1560648245,4688,4688
1560648728,4690,4690
1560649205,4688,4688
1560649929,4687,4687
1560650418,4686,4686
1560650886,4687,4687
1560651364,4690,4690
1560651846,4685,4685
1560652325,4690,4690
1560652805,4691,4691
1560653529,4689,4689
1560654015,4686,4686
1560654489,4692,4692
1560654964,4683,4683
1560655445,4689,4689
1560655925,4687,4687
1560656407,4686,4686
1560656888,4690,4690
1560657365,4688,4688
1560657844,4688,4688
1560658326,4686,4686
1560658804,4689,4689
1560659287,4684,4684
1560659765,4684,4684
1560660251,4689,4689
1560660724,4692,4692
1560661216,4688,4688
1560661686,4688,4688
1560662169,4688,4688
1560662644,4691,4691
1560663125,4688,4688
1560663604,4692,4692
1560664086,4690,4690
1560664565,4688,4688
1560665046,4686,4686
1560665525,4691,4691
1560666009,4689,4689
1560666486,4691,4691
1560667206,4687,4687
1560667684,4690,4690
1560668166,4689,4689
1560668647,4688,4688
1560669125,4692,4692
1560669610,4690,4690
1560670089,4692,4692
1560670564,4690,4690
1560671049,4694,4694
1560671524,4693,4693
1560672026,4695,4695
1560672485,4694,4694
1560672968,4696,4696
1560673690,4698,4698
1560709925,4697,4697
1560710406,4698,4698
1560726253,4698,4698
1560726726,4698,4698
1560729124,4698,4698
1560730331,4698,4698
1560733214,4698,4698
1560733689,4692,4692
1560734165,4694,4694
1560734646,4694,4694
1560735127,4690,4690
1560735604,4693,4693
1560736089,4692,4692
1560736565,4691,4691
1560737044,4689,4689
1560737529,4688,4688
1560738005,4692,4692
1560738485,4688,4688
1560738965,4690,4690
1560739445,4688,4688
1560739929,4691,4691
1560740415,4687,4687
1560740885,4687,4687
1560741369,4691,4691
1560741848,4688,4688
1560742325,4689,4689
1560742805,4693,4693
1560743285,4694,4694
1560743767,4692,4692
1560744245,4694,4694
1560744726,4694,4694
1560745204,4692,4692
1560745689,4689,4689
1560746164,4692,4692
1560746649,4688,4688
1560747124,4689,4689
1560747626,4691,4691
1560748086,4693,4693
1560748564,4690,4690
1560749046,4693,4693
1560749528,4688,4688
1560750005,4689,4689
1560750489,4690,4690
1560750964,4692,4692
1560751446,4690,4690
1560751929,4687,4687
1560752404,4688,4688
1560752884,4688,4688
1560753367,4690,4690
1560753845,4687,4687
1560754325,4688,4688
1560754817,4684,4684
1560755288,4688,4688
1560755767,4690,4690
1560756246,4686,4686
1560756727,4687,4687
1560757216,4689,4689
1560757685,4686,4686
1560758165,4688,4688
1560758646,4688,4688
1560759134,4689,4689
1560759605,4688,4688
1560760088,4691,4691
1560760566,4695,4695
1560761070,4696,4696
1560783367,4696,4696
1560803291,4695,4695
1560803765,4696,4696
1560820087,4692,4692
1560820571,4690,4690
1560821044,4685,4685
1560821525,4690,4690
1560822005,4689,4689
