DateTime,AddedIPs,RemovedIPs
1540857602,0,1
1540934402,1,1
1541228403,1,1
1541229002,1,1
1541376302,0,1
1542091502,1,1
1542092102,1,0
1542357902,1,1
1542358802,1,0
1542585602,0,1
1542873302,1,1
1542874202,1,0
1543276802,0,1
1544173502,0,1
1544173802,1,0
1544403602,1,1
1544404202,1,0
1544745603,0,1
1545004802,0,1
1545160202,0,1
1545160802,1,0
1545253203,1,1
1545253802,1,0
1545288303,1,1
1545288902,1,0
1545361802,1,1
1545362702,1,0
1545412802,0,1
1545413402,1,0
1545523202,0,1
1545984002,0,1
1545984302,1,0
1547079002,0,1
1547856003,0,1
1547942402,0,1
1548029102,0,1
1548062702,1,1
1548063602,1,0
1548297002,1,1
1548297902,1,0
1549003202,1,1
1549004102,1,0
1549044902,0,1
1549045502,1,0
1549184703,0,1
1549185002,1,0
1550280302,1,1
1550281202,1,0
1550707203,0,1
1550966402,0,1
1551206403,1,1
1551207302,1,1
1551227102,1,1
1551228303,1,1
1551230702,1,1
1551231603,1,1
1551265802,1,1
1551266702,1,0
1551273002,1,1
1551273902,1,0
1551302702,1,1
1551303902,1,0
1551329102,1,1
1551330002,1,0
1551338702,1,1
1551339902,1,1
1551342602,1,1
1551343502,1,0
1551365702,1,1
1551366602,1,0
1551446702,1,1
1551447602,1,1
1551454202,1,1
1551454802,1,1
1551487502,1,1
1551488102,1,0
1551492002,1,1
1551492902,1,0
1551525001,1,1
1551525902,1,1
1551572702,1,1
1551573602,1,0
1551606302,0,1
1551606902,1,0
1551657902,0,1
1551683102,1,1
1551684302,1,0
1551716701,1,1
1551717602,1,0
1551810302,0,1
1551811202,1,0
1551822002,1,1
1551822902,1,1
1551920103,1,1
1551920702,1,0
1551925502,1,1
1551926702,1,1
1552004702,1,1
1552006202,1,1
1552042503,1,1
1552043702,1,0
1552139102,1,1
1552139702,1,0
1552175702,1,1
1552176602,1,0
1552190102,1,1
1552190702,1,0
1552193703,1,1
1552194302,1,0
1552300801,1,1
1552301702,1,1
1552325102,1,1
1552326002,1,1
1552329302,1,1
1552329602,1,0
1552345202,1,1
1552345502,1,0
1552374003,1,1
1552374602,1,0
1552422302,1,1
1552423502,1,0
1552519502,0,1
1552520402,1,0
1552555802,1,1
1552556402,1,1
1552751703,1,1
1552752301,1,1
1552837202,1,1
1552838402,1,1
1552948202,1,1
1552948802,1,0
1552953902,0,1
