DateTime,AddedIPs,RemovedIPs
1560519722,43,39
1560520922,52,133
1560522122,46,70
1560522722,45,40
1560523322,40,0
1560524522,74,106
1560525722,41,0
1560526922,24,66
1560528122,32,77
1560529322,27,79
1560529922,33,0
1560530523,51,0
1560531122,41,34
1560531723,41,74
1560532322,41,0
1560532922,37,106
1560533523,33,32
1560534123,37,38
1560535322,41,103
1560535922,28,0
1560536522,30,0
1560537722,31,95
1560538923,31,42
1560539522,32,75
1560540122,39,31
1560540723,43,0
1560541322,40,37
1560541922,42,0
1560542522,38,0
1560543122,50,32
1560543722,34,28
1560544923,27,53
1560545523,37,34
1560546122,35,38
1560546723,44,0
1560547322,36,0
1560548522,31,108
1560549723,25,38
1560552122,26,66
1560553322,46,69
1560554522,26,107
1560555122,36,32
1560555722,41,0
1560556322,41,41
1560556923,43,0
1560557523,37,33
1560558123,41,79
1560559322,26,0
1560560523,41,76
1560561122,32,45
1560561722,30,30
1560562923,33,75
1560563522,39,38
1560564122,33,40
1560565324,30,31
1560565922,37,38
1560566522,42,0
1560567723,59,144
1560568322,35,31
1560568923,47,0
1560570123,39,122
1560571322,41,44
1560571923,31,40
1560572523,38,43
1560573722,36,35
1560574322,41,75
1560574922,39,0
1560575522,29,84
1560576122,36,35
1560577323,62,34
1560578523,28,83
1560579123,35,0
1560579722,39,41
1560580323,32,36
1560580922,28,73
1560582122,61,47
1560582722,50,0
1560583322,42,34
1560583922,54,33
1560584522,22,0
1560585122,33,43
1560585722,30,78
1560586322,35,0
1560586923,41,73
1560587522,46,0
1560588122,40,39
1560588722,42,33
1560589322,23,39
1560589922,41,28
1560590523,32,0
1560591122,40,49
1560591722,32,62
1560592922,42,91
1560593522,38,0
1560594122,59,0
1560594722,38,80
1560595322,42,0
1560596522,36,44
1560597123,29,39
1560597722,39,53
1560598323,39,25
1560598923,38,77
1560599523,32,0
1560600122,29,36
1560600723,37,0
1560601322,47,29
1560602523,40,90
1560603723,48,40
1560604923,36,77
1560606123,46,31
1560607322,36,87
1560607924,43,0
1560608523,35,0
1560609122,62,37
1560609722,39,29
1560610323,29,37
1560610923,41,0
1560612122,22,108
1560613322,41,0
1560613923,36,30
1560614522,41,37
1560615723,31,33
1560616923,32,34
1560617523,46,48
1560618123,39,69
1560618723,34,0
1560619323,27,42
1560619922,39,63
1560620522,41,0
1560621722,35,43
1560622322,41,72
1560622923,39,0
1560624123,41,34
1560624722,28,40
1560625323,35,0
1560626523,51,64
1560627122,34,47
1560627722,33,79
1560628323,40,44
1560628923,39,38
1560629523,30,38
1560630123,35,28
1560630722,33,0
1560631323,51,35
1560631922,42,0
1560632522,42,39
1560633723,43,91
1560634922,39,42
1560636122,38,72
1560637322,43,0
1560637922,37,0
1560638522,66,0
1560639723,37,73
1560640922,39,29
1560641522,35,33
1560642122,28,0
1560643324,41,103
1560644523,38,40
1560645122,69,41
1560645722,32,36
1560646323,40,0
1560646923,46,27
1560647523,39,0
1560648122,34,84
1560648722,32,0
1560649323,36,0
1560650522,27,73
1560651722,42,76
1560652922,44,60
1560654122,45,0
1560655322,33,123
1560655922,33,0
1560656523,44,0
1560657722,27,42
1560658923,38,69
1560660122,48,70
1560661322,33,39
1560662522,41,73
1560663122,37,39
1560663722,36,0
1560664322,27,63
1560664922,27,0
1560666123,44,72
1560667323,39,74
1560668523,41,32
1560669723,32,148
1560670322,36,0
1560670922,45,42
1560672122,38,76
1560673323,37,122
1560674522,50,81
1560675122,41,46
1560675723,32,0
1560676923,47,116
1560678122,57,40
1560679322,36,34
1560679923,36,52
1560680522,32,41
1560681722,35,97
1560682922,42,45
1560683522,39,39
1560684122,27,79
1560685323,32,47
1560685922,53,28
1560686522,47,77
1560687123,29,41
1560687723,39,0
1560688922,43,43
1560689522,43,39
1560690122,34,46
1560691322,33,0
1560692522,48,36
1560693122,41,42
1560693723,57,0
1560694322,31,33
1560694922,45,78
1560696122,34,65
1560697324,75,115
1560697923,48,0
1560698522,38,0
1560699722,27,80
1560700322,38,41
1560700922,49,0
1560701523,44,33
1560702122,30,0
1560703322,44,43
1560704522,34,83
1560705122,25,42
1560705723,36,34
1560706922,37,67
1560708122,44,36
1560709322,35,78
1560710522,45,39
1560711122,50,41
1560711722,41,33
1560712922,50,28
1560713524,48,89
1560714122,43,0
1560715323,42,105
1560716522,38,78
1560717722,37,75
1560718323,49,49
1560718922,29,36
1560719523,48,42
1560720122,45,0
1560721322,65,36
1560721923,39,46
1560722522,49,0
1560723722,48,93
1560726122,35,140
1560726723,44,0
1560727322,40,0
1560728522,42,126
1560729724,64,28
1560730324,41,0
1560730922,38,0
1560732123,48,101
1560733322,45,128
1560734522,41,38
1560735122,51,38
1560735723,38,47
1560736922,54,84
1560738123,42,0
1560738722,41,40
1560739322,45,41
1560740524,34,52
1560741722,43,39
1560742322,35,0
1560742922,37,93
1560744122,49,0
1560745322,51,42
1560745923,65,39
1560746522,36,0
1560747722,35,44
1560748922,41,86
1560750123,79,41
1560750723,77,42
1560751323,40,96
1560752523,44,48
1560753722,46,38
1560754922,44,0
1560756123,34,81
1560757322,40,35
1560757923,49,49
1560758522,39,43
1560759122,43,0
1560759722,32,0
1560760923,40,82
1560762122,39,46
1560763322,44,42
1560764522,40,43
1560765123,73,55
1560765723,55,0
1560766923,50,144
1560768122,56,0
1560769322,47,41
1560770522,34,103
1560771722,40,39
1560772322,42,73
1560772922,42,0
1560774123,48,120
1560774723,45,0
1560775322,40,0
1560776523,47,131
1560777122,33,0
1560777722,44,46
1560778322,40,0
1560778923,34,0
1560779522,52,50
1560780123,41,103
1560780723,48,37
1560781323,50,0
1560782523,34,34
1560783122,31,39
1560783723,64,59
1560784322,44,0
1560784922,50,98
1560786122,66,0
1560787322,64,104
1560788523,51,46
1560789722,37,74
1560790923,52,0
1560792123,31,128
1560793323,50,0
1560794523,49,89
1560795723,47,0
1560796922,40,78
1560798122,50,109
1560798723,70,0
1560799323,36,49
1560800522,43,50
1560801723,57,45
1560802322,58,40
1560802922,45,0
1560803522,40,34
1560804122,44,0
1560805322,48,129
1560806522,42,86
1560807122,43,0
1560807723,55,0
1560808323,51,69
1560808923,51,88
1560810122,49,0
1560811322,43,45
1560812522,43,56
1560813723,56,81
1560814922,44,45
1560816123,46,0
1560816722,48,54
1560817323,46,37
1560818523,37,93
1560819723,42,0
1560820923,36,48
1560822122,37,125
1560823322,45,69
1560823923,38,0
1560824522,36,0
1560825722,47,87
1560826922,41,82
1560828122,40,0
1560829322,46,76
1560829922,41,40
1560830522,47,44
1560831122,46,0
1560831722,45,49
1560832322,48,0
1560832923,46,61
1560833522,40,39
1560834122,38,34
1560834722,34,0
1560835322,38,44
1560835922,44,0
1560836523,48,74
1560837122,25,75
1560837722,32,0
1560838323,41,39
1560838922,46,45
1560840122,41,0
1560841322,59,79
1560842522,41,0
1560843722,47,83
1560844922,51,43
1560846123,48,129
1560847322,45,0
1560848522,47,87
1560849722,41,0
1560850323,43,35
1560850922,30,52
1560852122,46,74
1560853324,47,55
1560853922,50,54
1560854522,46,44
1560855122,49,0
1560855723,45,41
1560858122,34,81
1560859323,36,44
1560860522,47,41
1560861723,35,75
1560862922,43,51
1560863522,44,46
1560864122,42,46
1560865322,51,138
1560865922,40,42
1560866522,51,0
1560867123,33,48
1560867723,69,44
1560868922,43,36
1560869522,51,47
1560870123,43,44
1560871322,51,114
1560872523,48,43
1560873122,41,64
1560873722,34,0
1560874323,41,63
1560874922,37,0
1560875522,48,37
1560876123,47,53
1560877322,42,49
1560877922,51,0
1560878523,37,41
1560879122,40,0
1560879722,40,0
1560880322,44,37
1560880923,46,0
1560881523,56,39
1560882122,37,0
1560882722,42,43
1560883322,38,44
1560883922,49,0
1560884522,36,0
1560885723,43,110
1560886923,43,33
1560887523,35,35
1560888122,36,41
1560889322,35,86
1560889922,32,30
1560890522,43,0
1560891122,38,44
1560891723,39,36
1560892923,31,44
1560894123,40,37
1560895323,33,89
1560895922,31,41
1560896523,11,39
1560897722,44,46
1560899522,33,45
1560900122,39,0
1560901322,46,79
1560902523,39,30
1560903723,31,86
1560904922,44,0
1560906122,31,74
1560907322,42,32
1560907922,43,0
1560908522,41,44
1560909123,41,0
1560909722,50,0
1560910922,67,129
1560911523,34,0
1560912122,36,51
1560913322,33,0
1560914522,43,38
1560915122,29,42
1560915722,42,0
1560916923,42,86
1560918122,33,134
1560919322,38,85
1560919923,49,0
1560920522,43,81
1560921122,46,0
1560921722,38,30
1560922322,33,34
1560922923,37,37
1560923522,37,54
1560924122,38,74
1560924722,47,0
1560925322,36,39
1560925922,44,34
1560926522,48,31
1560927122,39,0
1560927723,38,43
1560928323,33,0
1560928922,41,40
1560929523,35,0
1560930123,40,0
1560930722,53,51
1560931323,37,41
1560931922,45,0
1560932522,34,43
1560933122,23,0
1560933723,32,38
1560934322,39,0
1560934922,50,34
1560936122,28,35
1560936722,35,37
1560937322,42,35
1560937922,41,0
1560938522,35,42
1560939122,47,0
1560939722,30,0
