DateTime,AddedIPs,RemovedIPs
1560440522,4,12
1560441122,13,0
1560441722,4,10
1560442322,4,2
1560442922,2,0
1560443522,7,7
1560444122,0,15
1560444722,1,0
1560445322,2,6
1560445922,9,0
1560446522,18,0
1560447722,11,5
1560448322,3,3
1560450122,0,37
1560451322,10,34
1560452522,6,6
1560453722,8,5
1560454922,9,1
1560456122,3,0
1560456722,0,1
1560458522,1,9
1560459722,2,10
1560460322,2,11
1560460922,4,9
1560461522,2,0
1560462122,8,0
1560463322,14,8
1560463922,0,1
1560464523,0,3
1560466922,1,8
1560468122,0,3
1560469322,1,19
1560470523,1,0
1560471123,23,16
1560471722,57,0
1560472922,40,0
1560474122,25,4
1560475322,0,1
1560476522,0,7
1560477722,6,9
1560478922,7,0
1560479522,17,4
1560480122,2,8
1560481323,5,2
1560481922,12,0
1560482523,31,0
1560483722,20,1
1560484922,1,13
1560486122,6,0
1560487322,3,6
1560488522,0,16
1560489722,20,0
1560490322,1,19
1560490922,0,6
1560491522,2,0
1560493322,1,24
1560493922,4,13
1560494522,3,0
1560495722,5,14
1560496922,10,0
1560498122,2,17
1560499322,1,2
1560499923,1,1
1560500522,2,17
1560501122,21,0
1560501722,10,0
1560502322,4,22
1560502922,1,35
1560504121,0,7
1560506522,0,18
1560507722,17,3
1560508922,1,2
1560510122,6,0
1560511322,3,10
1560512522,5,9
1560513722,2,24
1560514322,2,0
1560514922,0,16
1560516122,6,0
1560516722,11,18
1560517322,4,0
1560517922,1,10
1560518522,20,18
1560519121,21,0
1560519721,7,8
1560520922,13,9
1560521522,6,11
1560522122,1,8
1560522722,3,0
1560523322,15,12
1560524522,9,14
1560525722,6,19
1560526321,11,0
1560526921,1,0
1560528122,15,16
1560529322,10,4
1560530522,0,11
1560531722,3,37
1560532322,1,33
1560532922,0,19
1560534122,0,11
1560535322,44,4
1560535922,0,26
1560536522,3,2
1560537722,26,34
1560538923,4,18
1560540122,10,79
1560541322,4,9
1560541921,0,5
1560542522,1,0
1560543722,1,15
1560544322,2,17
1560544922,6,18
1560545522,2,0
1560546121,24,42
1560547322,29,43
1560547922,9,0
1560548522,1,7
1560549722,3,13
1560552122,2,12
1560553322,0,3
1560553922,0,3
1560554522,22,19
1560555722,8,0
1560557523,0,13
1560558123,0,15
1560559322,3,2
1560560523,1,0
1560561722,1,0
1560562923,5,0
1560563522,2,6
1560564122,4,1
1560565323,20,14
1560565922,3,0
1560566522,4,0
1560567722,2,26
1560568922,1,9
1560570122,0,28
1560570723,5,0
1560571322,8,19
1560571923,13,0
1560572523,3,10
1560573722,1,0
1560574922,16,12
1560576122,3,5
1560577323,4,0
1560577922,0,2
1560578523,4,17
1560579722,14,23
1560580322,3,5
1560580922,1,3
1560582122,1,6
1560583322,2,0
1560584522,10,16
1560585722,4,22
1560586923,5,27
1560588122,13,0
1560589322,3,2
1560589922,2,4
1560591122,1,1
1560591722,1,1
1560592922,0,5
1560594122,2,0
1560596522,0,5
1560597722,3,0
1560598322,0,2
1560598922,0,6
1560600122,2,4
1560601322,1,6
1560601922,1,0
1560602522,1,11
1560603723,13,8
1560604922,10,18
1560606122,6,7
1560607322,6,0
1560608522,0,4
1560609122,0,5
1560609722,0,6
1560610322,1,0
1560610923,1,8
1560612122,0,3
1560613322,1,0
1560614522,35,8
1560615123,1,0
1560615722,8,0
1560616922,5,6
1560618122,2,8
1560618723,0,5
1560619322,6,5
1560620522,9,1
1560622322,1,0
1560623522,1,8
1560624122,19,16
1560624722,1,0
1560625323,10,1
1560625922,6,12
1560626522,2,2
1560627722,14,2
1560628323,2,0
1560628923,1,0
1560630722,3,0
1560631322,2,4
1560631922,3,0
1560632522,1,10
1560633722,25,4
1560634323,1,0
1560634922,3,3
1560636122,8,0
1560636723,3,1
1560637322,1,0
1560640922,1,10
1560643324,6,15
1560644523,6,5
1560645722,10,14
1560646923,3,3
1560648122,1,1
1560649322,1,4
1560651722,6,3
1560652322,18,0
1560652922,12,0
1560653522,5,9
1560654122,2,0
1560654722,11,15
1560655322,3,0
1560656522,1,11
1560657722,0,1
1560658922,0,4
1560660122,12,4
1560661322,16,0
1560662522,3,13
1560663722,13,9
1560664322,4,14
1560664922,2,25
1560665522,2,0
1560666122,1,0
1560667322,1,7
1560667922,8,10
1560668523,1,0
1560669723,1,1
1560670322,0,3
1560670922,1,2
1560671522,1,0
1560673323,17,19
1560674522,6,19
1560675122,4,0
1560675723,1,0
1560676923,7,0
1560678122,1,0
1560681722,0,6
1560684122,1,3
1560685322,1,1
1560687122,0,1
1560688922,3,12
1560689522,4,0
1560690122,8,0
1560691322,6,9
1560692522,2,4
1560693723,0,8
1560694922,2,7
1560696122,0,4
1560697323,8,2
1560697923,6,0
1560698522,5,0
1560699722,6,11
1560700322,21,16
1560702122,5,20
1560703322,1,11
1560704522,0,7
1560705723,9,0
1560706322,9,1
1560706922,8,0
1560708122,10,0
1560709322,5,12
1560709922,1,0
1560710522,9,0
1560711721,2,22
1560712922,4,28
1560714122,8,0
1560715323,8,7
1560716522,2,8
1560717722,1,0
1560720122,38,8
1560721322,78,17
1560722522,7,0
1560723122,1,9
1560726122,0,1
1560727322,0,3
1560728522,0,18
1560729724,27,0
1560730922,6,13
1560732122,5,9
1560732722,0,4
1560733322,1,9
1560733922,2,0
1560735122,0,2
1560735723,1,0
1560736922,0,1
1560738123,3,16
1560738722,4,16
1560739322,47,0
1560739922,7,15
1560740523,3,0
1560741722,3,12
1560742322,0,2
1560742922,0,1
1560744122,0,3
1560745322,1,0
1560746522,1,25
1560747722,5,0
1560748922,55,11
1560750122,20,5
1560751323,9,21
1560751923,3,0
1560752523,1,0
1560753122,0,1
1560753722,0,9
1560754922,10,0
1560756122,8,13
1560756722,2,0
1560757322,3,2
1560758522,40,0
1560759722,42,15
1560760323,3,2
1560760922,5,12
1560762122,2,0
1560763322,9,15
1560763922,4,2
1560765723,3,9
1560766922,0,2
1560769322,0,1
1560770522,2,5
1560771722,1,5
1560773523,0,1
1560774123,0,5
1560775322,1,0
1560776522,5,23
1560777122,5,14
1560777722,1,0
1560778923,8,10
1560780122,2,3
1560783121,2,0
1560783723,0,1
1560786122,0,2
1560787322,10,7
1560788522,36,0
1560789122,5,4
1560789722,2,0
1560790922,0,6
1560791522,5,0
1560792122,5,4
1560793323,3,12
1560794522,2,1
1560795723,0,13
1560796322,26,0
1560796922,2,0
1560798122,10,44
1560799323,7,1
1560800522,14,12
1560801723,3,1
1560802922,2,0
1560804122,5,2
1560804722,1,0
1560805322,3,0
1560805922,48,1
1560806522,36,7
1560807122,1,0
1560807723,3,0
1560808922,13,12
1560809523,2,2
1560810122,1,0
1560810722,0,2
1560812522,2,2
1560813722,0,5
1560814922,0,2
1560816123,5,0
1560817323,9,13
1560818522,0,8
1560820923,4,3
1560822122,1,0
1560823322,0,1
1560823923,0,6
1560824522,4,14
1560825722,28,0
1560826322,9,11
1560826922,2,27
1560827522,3,0
1560828122,3,0
1560829322,2,7
1560829922,0,5
1560830522,0,1
1560832923,6,4
1560833522,0,12
1560834122,2,0
1560834722,1,2
1560835322,46,1
1560835922,2,0
1560836523,2,3
1560837722,8,0
1560838322,3,8
1560838922,1,0
1560840122,1,7
1560841322,9,11
1560841923,8,0
1560842522,2,0
1560843722,0,4
1560844922,2,0
1560846122,3,1
1560846722,3,8
1560847322,6,0
1560848522,10,10
1560849722,10,6
1560850922,1,10
1560851522,3,0
1560852122,1,0
1560853323,2,7
1560854522,3,0
1560855722,0,5
1560858122,2,10
1560860522,0,2
1560861122,1,0
1560861722,0,14
1560862922,12,0
1560863522,3,10
1560864122,1,0
1560865322,13,25
1560865922,5,0
1560866522,3,0
1560867122,1,0
1560867723,1,1
1560870122,2,13
1560871322,29,1
1560871922,0,3
1560872522,1,0
1560873722,8,19
1560874922,5,0
1560876123,2,8
1560877322,0,13
1560878523,8,0
1560879122,18,11
1560879722,10,9
1560880923,2,0
1560881522,0,2
1560882122,1,1
1560883322,12,0
1560884522,3,17
1560885722,13,0
1560886923,8,9
1560887523,9,20
1560888122,1,0
1560889322,0,8
1560889922,2,0
