DateTime,AddedIPs,RemovedIPs
1558749601,146,0
1558753202,158,0
1558756803,189,0
1558760402,169,0
1558764002,170,0
1558771202,360,0
1558774802,147,0
1558782002,340,0
1558785602,177,0
1558793702,371,0
1558797301,263,0
1558800902,195,0
1558804502,166,0
1558808102,125,0
1558811702,150,0
1558817102,172,0
1558820702,132,0
1558827902,267,0
1558831502,110,3619
1558835101,151,0
1558839601,156,0
1558843202,94,0
1558846802,121,0
1558850402,115,0
1558854002,132,0
1558861202,251,0
1558868402,299,0
1558872002,141,0
1558875602,148,0
1558879202,148,0
1558882802,185,0
1558887302,131,0
1558890902,138,0
1558898102,237,0
1558901702,106,0
1558906202,177,0
1558909802,128,0
1558913402,133,0
1558920601,362,4167
1558927802,695,0
1558931402,118,0
1558938602,273,0
1558942202,168,0
1558945802,211,0
1558950302,243,0
1558953902,172,0
1558961102,284,0
1558968302,284,0
1558975502,321,0
1558982702,306,0
1558986302,143,0
1558989902,150,0
1558993502,150,0
1559001602,222,3599
1559005202,126,0
1559008802,318,0
1559012402,242,0
1559016003,162,0
1559019602,143,0
1559023202,156,0
1559026802,153,0
1559030402,210,0
1559034002,171,0
1559037602,195,0
1559041202,267,0
1559044801,197,0
1559048402,189,0
1559052002,151,0
1559055602,200,0
1559060102,204,0
1559063702,160,0
1559067302,171,0
1559070902,161,0
1559078102,273,0
1559082602,180,0
1559089802,209,3933
1559093402,122,0
1559097002,142,0
1559100602,137,0
1559104202,171,0
1559107802,204,0
1559111401,271,0
1559115002,239,0
1559122201,431,0
1559126702,228,0
1559130302,206,0
1559133902,254,0
1559137502,201,0
1559141102,232,0
1559145602,313,0
1559149202,198,0
1559152802,233,0
1559156402,181,0
1559160002,156,0
1559163602,140,0
1559167202,143,0
1559170802,110,0
1559178002,241,3928
1559185201,257,0
1559189702,149,0
1559193301,112,0
1559197802,173,0
1559201401,167,0
1559205002,169,0
1559208602,173,0
1559212202,185,0
1559215802,181,0
1559219402,207,0
1559223901,205,0
1559227502,175,0
1559235602,366,0
1559239202,165,0
1559242802,147,0
1559246402,136,0
1559250002,150,0
1559253602,144,0
1559257202,120,0
1559260802,120,4366
1559268901,334,0
1559272502,164,0
1559276102,216,0
1559283302,346,0
1559286902,189,0
1559294102,360,0
1559297701,167,0
1559305802,467,0
1559309402,220,0
1559316602,465,0
1559320202,179,0
1559323802,163,0
1559327402,146,0
1559331002,146,0
1559335502,167,1
1559342702,291,0
1559346302,142,0
1559349902,114,3724
1559353501,159,0
1559357102,133,0
1559361602,177,0
1559365202,139,0
1559368802,146,0
1559372403,174,0
1559376002,182,0
1559383202,297,0
1559390402,289,0
1559397602,285,0
1559401202,153,0
1559404802,154,0
1559408402,140,0
1559412002,113,0
1559415602,134,0
1559419202,145,0
1559422802,155,0
1559427302,179,0
1559430902,131,0
1559438102,254,4083
1559442602,173,0
1559446202,128,0
1559449802,110,0
1559453401,153,0
1559457002,196,0
1559460602,121,0
1559464202,157,0
1559471402,252,0
1559475902,175,0
1559479502,127,0
1559483101,135,0
1559486701,131,0
1559490302,131,0
1559493902,143,0
1559497502,110,0
1559502002,156,0
1559505602,169,0
1559509202,98,0
1559516402,212,0
1559520002,102,3803
1559523602,129,0
1559528102,160,0
1559531702,106,0
1559535302,146,0
1559538902,99,0
1559542502,131,0
1559546101,149,0
1559550602,215,0
1559554202,178,1
1559557801,163,0
1559561402,175,0
1559565902,195,0
1559569502,179,0
1559573102,187,0
1559576702,159,0
1559584802,277,0
1559588402,169,0
1559592002,197,0
1559595602,172,0
1559602802,275,0
1559606403,98,3479
1559610002,111,0
1559617201,249,0
1559620802,126,0
1559628002,315,0
1559631602,133,0
1559639701,354,0
1559643302,181,0
1559646902,148,0
1559650502,227,0
1559654102,229,0
1559657702,151,0
1559664902,207,0
