DateTime,AddedIPs,RemovedIPs
1558782355,4,0
1558785945,0,4
1558786851,4,3
1558787751,1,0
1558794044,2,6
1558796747,2,1
1558798545,1,0
1558801244,3,1
1558808440,2,6
1558815645,0,1
1558821947,1,0
1558822849,0,6
1558830039,0,4
1558831841,2,0
1558837245,0,2
1558844445,0,1
1558851641,0,4
1558866040,0,5
1558866944,1,0
1558868893,0,3
1558871466,17,0
1558873252,0,3
1558880449,0,2
1558887641,1,3
1558894843,18,1
1558902051,2,0
1558909235,1,4
1558916442,2,6
1558923639,2,4
1558930838,3,6
1558938053,3,2
1558945243,2,1
1558951542,0,1
1558952435,9,3
1558953341,1,0
1558956056,7,0
1558957857,0,5
1558959644,5,3
1558966843,0,3
1558973147,0,1
1558974938,2,4
1558980352,1,0
1558982145,2,18
1558988443,1,1
1558995648,0,1
1558996541,1,0
1559002851,3,0
1559010041,4,0
1559017248,2,0
1559027145,1,0
1559031647,2,0
1559036152,2,0
1559038853,1,2
1559039746,0,1
1559041671,1,15
1559045157,5,1
1559046048,2,1
1559053251,5,0
1559060452,9,4
1559067653,5,2
1559074844,6,1
1559082044,3,3
1559090143,1,0
1559096446,2,3
1559103640,4,1
1559109953,2,0
1559110858,2,1
1559118058,1,4
1559118955,1,0
1559125250,9,2
1559126149,0,1
1559127951,9,0
1559130645,0,13
1559132453,5,0
1559139644,3,2
1559141458,1,1
1559143259,0,1
1559145043,1,0
1559146848,3,6
1559154053,3,1
1559158546,1,0
1559161253,3,1
1559164850,0,1
1559166643,1,0
1559168450,1,4
1559172957,1,0
1559173842,1,0
1559175645,2,4
1559182843,3,4
1559186442,1,0
1559190049,1,2
1559196350,1,0
1559197248,3,1
1559204447,5,1
1559208955,2,0
1559211643,5,5
1559215371,1,0
1559216265,0,1
1559217051,4,0
1559218867,8,1
1559223355,1,0
1559226950,4,6
1559229647,0,12
1559233237,4,2
1559240447,2,2
1559245847,0,1
1559247648,6,4
1559254853,3,0
1559262051,3,1
1559269254,2,2
1559271052,1,0
1559271950,2,0
1559272859,1,0
1559276445,4,3
1559277351,1,0
1559283651,2,2
1559286365,3,0
1559290854,3,4
1559296254,1,0
1559298054,4,5
1559298950,0,4
1559300768,3,0
1559303458,0,5
1559304352,1,0
1559305252,5,4
1559312454,3,5
1559313354,1,0
1559317846,1,0
1559319656,3,3
1559326854,5,3
1559334053,6,0
1559341255,0,1
1559345753,1,0
1559346661,3,4
1559348453,4,5
1559350261,1,0
1559355659,5,1
1559358353,1,0
1559362853,4,5
1559370056,1,4
1559370946,1,0
1559371848,1,0
1559376361,1,0
1559377255,5,7
1559384455,5,2
1559387286,0,3
1559389090,0,1
1559389859,5,0
1559391647,0,3
1559398847,3,2
1559406050,4,2
1559412360,1,0
1559413248,2,6
1559415954,1,0
1559420451,4,3
1559427654,2,1
1559434853,1,3
1559442054,3,1
1559446557,1,0
1559449255,1,5
1559456450,3,3
1559459162,1,0
1559460956,1,0
1559461854,2,0
1559463653,0,2
1559469953,1,0
1559470852,1,4
1559471748,0,3
1559473549,6,0
1559476255,0,16
1559478954,2,1
1559483457,1,0
1559485249,5,4
1559492451,5,2
1559496052,1,0
1559499654,5,1
1559506846,2,2
1559514949,1,0
1559522151,2,2
1559528448,2,7
1559529349,2,0
1559531146,1,0
1559535641,2,2
1559542851,3,4
1559545541,0,1
1559550044,4,3
1559552751,1,0
1559557247,4,4
1559560977,0,7
1559562654,8,0
1559564447,5,5
1559568055,1,0
1559568939,1,0
1559571648,3,1
1559576148,0,1
1559578848,5,3
1559585153,0,1
1559586051,4,6
1559587842,0,1
1559592355,0,1
1559593257,7,4
1559600459,2,4
1559602249,0,1
1559607661,10,2
1559614851,2,2
1559622055,4,5
1559622949,1,0
1559629251,4,1
1559636452,0,3
1559640947,0,1
1559643646,2,5
1559646350,4,0
1559649949,0,7
1559650842,2,1
1559656245,0,1
1559658043,3,7
1559665243,7,4
1559672453,1,2
1559679637,3,1
1559686852,6,1
1559694045,1,2
1559700345,1,0
1559701251,1,4
1559708446,5,1
1559715645,1,4
1559716544,1,0
1559722852,5,0
1559723747,1,0
1559730057,3,2
1559732795,0,8
1559737246,8,4
1559744453,3,2
1559751648,2,1
1559752548,1,0
1559753448,1,0
1559758853,6,6
1559766048,3,0
1559773253,2,5
1559780448,2,0
1559787651,1,3
1559794851,3,3
1559802055,2,2
1559804747,1,0
1559809252,4,4
1559816445,2,0
1559820055,6,0
1559821849,0,4
1559823642,4,3
1559830844,3,7
1559838057,1,6
1559845248,6,3
1559852448,6,2
1559859646,2,4
1559864150,1,0
1559867751,3,1
1559874046,1,6
1559881251,3,2
1559888448,2,5
1559894750,1,0
1559895656,4,4
1559903754,3,1
1559906448,10,2
1559908250,0,1
1559910063,2,3
1559912743,1,0
1559917245,3,3
1559918148,1,0
1559924449,3,4
1559928961,1,0
1559931647,3,3
1559932541,1,0
1559938845,3,3
1559942446,2,0
1559946052,4,2
1559947849,1,0
1559948746,3,0
1559953250,3,0
1559958656,1,0
1559959543,1,0
1559960450,1,6
1559966753,0,1
1559967653,8,2
1559970359,4,0
1559974859,2,2
1559978446,1,0
1559982056,2,3
1559990149,2,5
1559991109,0,1
1559991953,3,0
1559994613,0,3
1559995483,1,0
1559996387,2,2
1559999083,0,1
1560003572,3,2
1560010777,4,2
1560011685,3,0
1560017983,2,2
1560025193,3,1
1560032383,3,4
1560039580,2,2
1560046781,2,4
1560052177,0,1
1560053972,6,3
1560061184,2,6
1560062078,1,0
1560068376,1,4
1560075587,2,2
1560078359,1,6
1560079176,4,0
1560080981,0,2
1560082779,5,5
1560083679,1,0
1560089974,7,3
1560097174,2,2
1560104374,3,3
1560105289,2,0
1560106182,0,1
1560110683,1,0
1560111581,4,4
1560112482,0,1
1560113377,1,0
1560118779,3,7
1560125977,4,4
1560130477,0,1
1560133183,0,6
1560134988,0,1
1560140381,8,5
1560141288,4,0
1560144878,0,1
1560147585,1,3
1560150281,0,1
1560154778,5,4
1560161978,5,2
1560163887,0,2
1560166544,5,1
1560167456,0,6
1560169253,3,4
1560172852,1,0
1560176449,2,1
1560183636,2,3
1560190847,4,0
1560196247,1,0
1560198047,2,4
1560199847,1,0
1560201647,1,0
1560203457,1,0
1560205243,0,2
1560212448,5,2
1560217845,1,0
1560219648,3,7
1560226851,3,4
1560233158,1,0
1560234057,5,4
1560241240,5,1
1560248444,4,7
1560251258,0,2
1560252053,15,0
1560253845,0,3
1560255644,2,7
1560262838,3,5
1560270055,7,3
1560270954,1,0
1560277243,0,1
1560284448,0,4
1560291641,0,3
1560294339,0,1
1560298844,13,1
1560306040,2,10
1560311452,1,0
1560313239,6,0
1560320443,0,2
1560327641,0,3
1560329444,1,0
1560334846,6,2
1560335747,0,1
1560337680,0,2
1560339343,7,0
1560342047,0,5
1560343851,1,0
1560349244,2,7
1560353753,1,0
1560358243,0,1
1560361858,1,0
1560363647,0,2
1560369950,2,0
1560370846,0,1
1560378952,12,0
1560382556,0,1
1560385244,3,3
1560392443,2,7
1560399645,5,4
1560406844,4,4
1560413149,2,0
1560414046,0,2
1560421248,0,5
1560424952,0,4
1560425746,5,0
1560427543,0,2
1560428440,0,4
1560431146,1,0
1560435640,0,6
1560439254,0,1
1560442845,0,9
1560447346,1,0
1560450048,18,0
1560450946,4,0
1560457259,4,0
1560471650,10,2
1560478847,1,9
1560486049,4,4
1560493247,1,0
1560495936,0,1
1560496850,0,1
1560507643,0,1
1560509436,8,2
1560511192,0,11
1560522005,0,12
1560532919,0,1
1560534658,7,0
1560536442,15,0
1560546352,5,0
1560547243,1,0
1560552649,5,2
1560558048,3,2
1560565249,3,4
1560575140,7,4
1560579638,0,13
1560587752,4,2
1560588652,1,0
1560594056,6,0
1560595844,6,0
1560598552,0,3
1560608451,1,0
1560615649,6,1
1560622866,0,4
1560624647,1,0
1560626447,0,1
1560630048,0,3
1560637255,11,0
1560644456,2,0
1560651654,2,6
1560658842,5,21
1560666055,5,0
1560672360,2,0
1560680450,2,0
1560684173,0,2
1560684947,8,0
1560687660,9,0
1560689453,2,0
1560694857,3,2
1560701157,1,0
1560702063,2,0
1560709246,2,2
1560714649,1,0
1560716451,4,5
1560721864,1,0
1560723646,2,4
1560730854,2,2
1560736250,1,0
1560738053,2,7
1560742550,1,0
1560745255,6,6
1560752448,3,2
1560753354,1,0
1560759654,9,4
1560767752,3,8
1560768654,2,0
1560771355,0,4
1560773170,0,2
1560774072,5,0
1560781262,6,1
1560788416,1,10
1560795612,8,0
1560802837,3,0
1560810041,5,2
1560817243,2,1
1560824438,0,4
1560831646,4,3
1560836145,1,0
1560838844,4,5
1560846043,5,4
1560846954,1,0
1560853239,3,2
1560857750,7,15
1560860451,5,2
1560867697,3,4
1560874845,5,0
1560882050,2,3
1560889252,2,4
1560896448,6,5
1560903641,1,2
1560904547,2,0
1560908148,1,0
1560909050,1,0
1560910840,2,4
1560918046,8,3
1560919843,1,0
1560925244,2,2
1560932449,2,4
1560939647,5,1
