DateTime,AddedIPs,RemovedIPs
1558681418,0,1
1558684958,4,5
1558688558,0,3
1558695818,18,2
1558699418,1,1
1558710158,2,4
1558717359,2,1
1558720961,0,1
1558724619,0,3
1558728159,1,2
1558731823,0,1
1558739019,0,2
1558742559,2,0
1558746159,4,2
1558749759,4,1
1558753359,0,2
1558756959,1,0
1558760619,4,1
1558764163,0,1
1558771359,0,2
1558774961,1,2
1558778559,1,0
1558782159,2,1
1558785820,0,2
1558789360,1,0
1558792960,1,2
1558796560,2,3
1558800162,1,0
1558803820,0,1
1558807360,2,0
1558890134,14,29
1558893732,1,0
1558897392,1,7
1558904592,1,2
1558908193,0,2
1558911792,1,0
1558915394,1,0
1558918992,2,0
1558922592,0,2
1558926132,2,0
1558929792,1,2
1558933392,2,4
1558938611,1,1
1558944192,0,2
1558947791,5,0
1558951392,2,1
1558954993,1,3
1558958532,3,3
1558965794,0,2
1558969393,1,1
1558980195,1,1
1558983793,1,3
1558987393,0,2
1558998193,1,0
1559001795,0,2
1559008994,3,2
1559012593,0,6
1559016193,2,1
1559023393,0,1
1559026994,1,1
1559030594,1,6
1559037794,1,2
1559041393,1,0
1559048593,2,2
1559052194,2,0
1559055794,3,0
1559059394,3,2
1559062994,3,2
1559070194,3,2
1559073734,1,2
1559077394,1,0
1559080994,2,2
1559084534,2,0
1559095334,1,4
1559098934,1,5
1559102593,4,2
1559109795,0,2
1559113394,1,5
1559116933,0,5
1559120593,4,0
1559124194,5,1
1559127794,0,4
1559131395,5,2
1559134995,0,2
1559138595,2,0
1559142194,1,3
1559145796,1,0
1559149394,0,2
1559152995,2,2
1559156595,1,2
1559160194,2,1
1559163795,0,1
1559170995,1,0
1559174594,0,2
1559178194,1,0
1559181796,1,1
1559185395,1,5
1559188996,0,1
1559192594,2,0
1559196197,1,1
1559199794,4,1
1559203396,0,1
1559206997,4,0
1559210535,1,4
1559214195,1,0
1559217796,2,2
1559221397,2,2
1559224937,1,3
1559228596,2,0
1559232195,1,3
1559235795,2,2
1559242995,2,3
1559246536,4,3
1559250196,1,1
1559253795,2,0
1559257395,0,1
1559260995,1,5
1559264596,1,3
1559268195,1,0
1559271795,2,2
1559275395,2,0
1559278995,1,1
1559286135,1,3
1559289795,1,0
1559293395,2,0
1559296996,2,0
1559300536,1,5
1559304196,3,0
1559307796,1,0
1559311396,1,3
1559311876,0,2
1559314997,2,0
1559318599,1,0
1559322196,0,3
1559325797,5,1
1559329397,3,0
1559332938,1,0
1559340136,0,1
1559347340,2,2
1559350973,1,5
1559354597,2,0
1559358196,3,2
1559361799,1,6
1559368999,0,3
1559372537,3,0
1559376196,1,0
1559379736,2,1
1559383399,0,2
1559390597,0,2
1559394137,1,1
1559397797,1,2
1559401397,1,0
1559404998,3,1
1559408598,1,2
1559412197,0,16
1559419398,3,0
1559422997,2,0
1559430139,1,0
1559440939,1,0
1559448198,1,0
1559451740,2,0
1559455339,1,0
1559469798,1,0
1559477000,1,0
1559480598,2,0
1559484138,1,0
1559487798,3,0
1559491398,2,0
1559494938,2,0
1559498598,1,2
1559502200,2,0
1559505798,0,1
1559509401,1,0
1559516540,1,0
1559520143,1,0
1559527398,1,0
1559530998,0,3
1559534598,2,1
1559541800,1,0
1559545400,3,0
1559548999,1,3
1559552600,0,1
1559559799,2,2
1559563399,2,0
1559566941,3,1
1559570600,1,0
1559574140,1,1
1559577799,1,0
1559581399,2,4
1559584999,1,0
1559588540,2,0
1559592199,3,0
1559595799,1,0
1559599340,1,3
1559602945,2,0
1559606546,3,0
1559610146,1,1
1559613805,0,2
1559617406,1,3
1559621006,3,0
1559624605,1,1
1559628205,2,1
1559642605,2,3
1559649748,0,1
1559656946,3,2
1559660606,2,0
1559664146,2,1
1559667747,0,2
1559671407,1,0
1559675007,1,2
1559678547,2,2
1559682208,2,1
1559685747,1,0
1559692946,1,0
1559700207,0,1
1559707406,3,3
1559711007,0,1
1559714606,1,0
1559718207,2,1
1559721747,1,0
1559729007,2,3
1559732546,4,3
1559736147,2,0
1559739806,2,0
1559743406,1,3
1559746946,1,3
1559750547,1,1
1559754147,2,0
1559757746,3,3
1559761407,1,1
1559764947,2,0
1559772147,2,0
1559775807,1,1
1559779351,1,0
1559783007,1,1
1559786547,1,2
1559790207,1,1
1559793809,2,0
1559797348,1,3
1559800947,1,3
1559804548,0,1
1559808150,2,0
1559811808,1,5
1559815408,1,0
1559819008,1,2
1559822547,2,0
1559826208,2,2
1559833409,1,2
1559840548,4,1
1559844208,2,2
1559847808,3,2
1559851407,2,0
1559855009,1,0
1559858551,1,1
1559865748,2,3
1559869408,1,0
1559876611,1,0
1559880210,0,2
1559883748,2,0
1559887410,0,3
1559891008,3,0
1559894610,0,2
1559898208,1,0
1559901809,1,1
1559905408,0,3
1559909009,2,0
1559912612,1,1
1559916211,1,3
1559923408,2,0
1559927009,1,3
1559930608,2,0
1559934150,0,1
1559937810,2,0
1559941351,1,0
1559945009,3,0
1559948609,1,0
1559952209,1,0
1559959349,1,2
1559962950,2,2
1559966549,3,1
1559973751,1,3
1559977410,1,0
1559981009,0,2
1559984549,1,0
1559988211,1,2
1559991749,1,1
1559995351,0,2
1559998949,0,1
1560002609,3,4
1560006151,1,0
1560009749,2,1
1560013409,0,2
1560017011,1,0
1560020611,1,4
1560024210,1,3
1560031410,2,1
1560034950,2,0
1560038553,0,2
1560042153,1,0
1560045752,0,1
1560049352,2,0
1560053010,3,4
1560060150,1,1
1560063810,0,1
1560067412,1,0
1560071010,1,3
1560078150,3,1
1560081810,1,3
1560088953,6,2
1560092550,0,2
1560096152,1,0
1560099751,2,1
1560103411,1,3
1560107011,3,1
1560110611,1,0
1560114151,2,0
1560117751,1,0
1560121410,2,1
1560132211,0,1
1560135811,1,0
1560139351,6,4
1560143011,1,1
1560150211,0,2
1560153751,3,0
1560160953,4,0
1560164552,1,0
1560168151,2,2
1560171751,1,0
1560175412,1,2
1560182552,2,2
1560186153,2,0
1560189753,2,0
1560193412,0,2
1560196952,2,4
1560200551,2,0
1560204214,1,0
1560207814,1,3
1560211352,1,0
1560214953,1,0
1560218553,0,1
1560222153,1,0
1560225753,2,2
1560229353,3,3
1560232953,1,0
1560236553,2,1
1560240154,1,1
1560243813,2,5
1560247353,1,0
1560250953,1,1
1560254613,1,0
1560258213,1,0
1560261813,1,2
1560265413,2,4
1560268953,3,0
1560272554,1,4
1560276253,1,2
1560279817,2,0
1560283362,2,2
1560287021,0,1
1560290633,2,1
1560294252,1,3
1560297819,1,0
1560301355,1,1
1560304194,1,0
1560308615,1,4
1560312155,5,0
1560315779,2,3
1560319416,0,3
1560344588,4,8
1560348200,0,1
1560355423,3,4
1560359062,1,1
1560377000,7,7
1560380588,1,0
1560384189,1,0
1560391384,2,2
1560394988,2,0
1560398586,2,2
1560402250,1,2
1560405816,1,1
1560413001,2,2
1560416627,2,0
1560420200,0,4
1560423811,1,2
1560434614,2,3
1560459798,15,5
1560464371,4,0
1560466993,1,3
1560470530,1,0
1560474188,0,1
1560481390,2,4
1560484989,2,3
1560488586,2,0
1560492261,1,3
1560495828,1,2
1560502997,1,3
1560506605,3,0
1560513799,1,5
1560517411,0,1
1560520994,2,2
1560524596,0,1
1560528216,2,1
1560531796,1,1
1560535395,2,0
1560538990,3,3
1560542536,1,0
1560546193,2,3
1560549815,3,0
1560553392,1,5
1560556988,0,2
1560560590,1,0
1560564189,2,3
1560567790,2,0
1560571390,6,7
1560574989,0,1
1560578624,0,2
1560582194,2,0
1560585793,2,0
1560589394,3,0
1560603793,4,9
1560607332,1,0
1560610999,0,1
1560614595,2,2
1560621797,3,0
1560625399,2,0
1560629002,2,1
1560632606,0,1
1560636234,3,0
1560639735,0,2
1560643395,1,1
1560646996,2,0
1560650592,0,4
1560654193,2,3
1560657793,3,0
1560661392,2,0
1560664993,1,1
1560672196,0,3
1560675793,1,0
1560679393,1,3
1560682992,2,0
1560686533,5,0
1560690132,3,3
1560693793,0,3
1560700992,2,4
1560704592,0,1
1560708131,0,2
1560711791,1,1
1560715393,1,1
1560718992,1,0
1560722592,1,4
1560726192,1,0
1560729792,1,1
1560736993,2,3
1560740591,3,0
1560744191,1,6
1560747732,1,0
1560754993,3,0
1560758592,2,2
1560762192,0,1
1560765792,2,3
1560769393,1,2
1560772932,1,2
1560776593,5,0
1560780192,1,2
1560783793,1,3
1560790993,2,0
1560794593,3,0
1560798193,2,2
1560801792,1,0
1560805393,2,1
1560808992,2,0
1560812533,1,0
1560816133,1,2
1560823332,0,1
1560826993,2,5
1560830594,2,0
1560834192,1,3
1560837793,2,2
1560844993,3,2
1560848593,1,0
1560852132,1,1
1560855794,3,1
1560859394,2,1
1560862994,2,2
1560866532,1,2
1560870194,1,4
1560873793,2,1
1560877334,1,1
1560880933,1,0
1560884594,2,6
1560891793,1,1
1560895333,4,2
1560898994,1,2
1560906133,0,1
1560909734,1,4
1560913393,3,0
1560916994,4,6
1560924134,1,1
1560927795,1,3
1560934994,5,0
