DateTime,AddedIPs,RemovedIPs
1558796560,2,2
1558800162,2,1
1558803820,0,2
1558807360,2,1
1558890134,19,31
1558893732,4,1
1558897392,1,1
1558904592,1,1
1558911792,2,0
1558915394,2,0
1558918992,3,0
1558922592,3,0
1558926132,2,2
1558929792,1,1
1558933392,2,1
1558938611,1,0
1558944192,3,0
1558947791,7,3
1558951392,2,1
1558954993,1,1
1558958532,3,1
1558965794,0,1
1558969393,1,1
1558976593,0,7
1558980195,2,2
1558983793,2,0
1558998193,1,3
1559001795,1,1
1559005393,0,1
1559008994,3,2
1559012593,0,2
1559016193,2,2
1559019793,0,1
1559023393,0,1
1559026994,1,1
1559030594,1,1
1559037794,2,1
1559041393,1,2
1559044993,0,2
1559048593,2,1
1559052194,3,0
1559055794,4,2
1559059394,4,1
1559062994,3,2
1559066594,1,0
1559070194,4,2
1559073734,1,0
1559077394,1,2
1559080994,2,1
1559084534,2,0
1559088193,0,1
1559095334,1,1
1559098934,1,0
1559102593,5,3
1559106194,0,1
1559109795,0,1
1559113394,1,1
1559116933,0,1
1559120593,4,0
1559124194,5,3
1559127794,0,2
1559131395,6,2
1559138595,2,5
1559142194,2,3
1559145796,2,3
1559149394,1,3
1559152995,3,1
1559156595,1,2
1559160194,2,2
1559167335,2,0
1559170995,1,2
1559174594,1,0
1559178194,1,1
1559181796,1,2
1559185395,1,1
1559192594,2,2
1559196197,1,2
1559199794,4,4
1559203396,0,2
1559206997,4,3
1559210535,2,2
1559214195,1,4
1559217796,3,0
1559221397,2,2
1559224937,1,1
1559228596,5,3
1559232195,1,0
1559235795,2,1
1559242995,3,3
1559246536,5,2
1559250196,1,2
1559253795,2,1
1559260995,3,1
1559264596,2,4
1559268195,1,0
1559271795,2,0
1559275395,2,1
1559278995,1,4
1559282595,0,1
1559286135,1,2
1559289795,1,1
1559293395,2,2
1559296996,2,1
1559300536,1,0
1559304196,4,4
1559307796,1,2
1559311396,2,0
1559311876,0,3
1559314997,2,2
1559318599,1,1
1559322196,1,0
1559325797,8,5
1559329397,3,1
1559332938,1,1
1559343797,1,0
1559347340,6,0
1559350973,2,1
1559354597,4,3
1559358196,3,3
1559361799,1,2
1559368999,0,1
1559372537,4,2
1559376196,1,5
1559379736,5,1
1559383399,1,2
1559386938,0,2
1559390597,0,2
1559394137,1,1
1559397797,1,4
1559401397,1,1
1559404998,3,0
1559408598,1,1
1559412197,0,2
1559415739,1,1
1559419398,3,4
1559422997,4,3
1559426538,1,3
1559430139,1,0
1559433742,0,2
1559437397,1,1
1559440939,1,1
1559448198,1,1
1559451740,2,4
1559455339,1,1
1559458998,0,3
1559462598,1,0
1559466198,1,2
1559469798,1,1
1559473398,0,1
1559477000,1,2
1559480598,3,1
1559484138,1,0
1559487798,3,4
1559491398,2,2
1559494938,2,1
1559498598,1,3
1559502200,2,0
1559505798,0,4
1559509401,1,3
1559516540,2,0
1559520143,1,1
1559523798,1,0
1559527398,1,1
1559530998,0,2
1559534598,3,4
1559538200,1,1
1559541800,1,0
1559545400,3,2
1559548999,1,0
1559552600,1,0
1559556143,5,0
1559559799,3,0
1559563399,2,2
1559566941,3,1
1559570600,1,2
1559574140,3,0
1559577799,1,1
1559581399,6,1
1559584999,1,0
1559588540,2,2
1559592199,3,5
1559595799,1,0
1559599340,1,0
1559602106,0,1
1559602945,4,2
1559606546,6,2
1559610146,2,0
1559613805,1,0
1559617406,1,1
1559621006,3,2
1559624605,1,2
1559628205,2,1
1559629705,2,1
1559631805,0,1
1559635346,0,1
1559638948,1,1
1559642605,2,4
1559646205,1,1
1559656946,3,3
1559660606,3,3
1559664146,2,2
1559667747,0,1
1559671407,1,5
1559675007,1,2
1559678547,3,1
1559682208,2,1
1559685747,2,1
1559689406,0,3
1559692946,3,4
1559696548,1,1
1559703807,0,1
1559707406,3,4
1559711007,0,1
1559714606,1,2
1559718207,2,3
1559721747,1,1
1559729007,2,3
1559732546,5,0
1559736147,3,2
1559739806,3,1
1559743406,1,2
1559746946,2,1
1559750547,1,2
1559754147,2,3
1559757746,3,1
1559761407,1,0
1559764947,2,2
1559768549,0,1
1559772147,2,2
1559775807,1,3
1559779351,1,0
1559783007,2,1
1559786547,1,0
1559790207,2,3
1559793809,2,2
1559797348,1,1
1559800947,1,1
1559804548,0,1
1559808150,2,1
1559811808,1,1
1559815408,1,2
1559819008,1,3
1559822547,3,2
1559826208,2,2
1559829808,0,2
1559833409,1,2
1559840548,5,3
1559844208,3,0
1559847808,3,0
1559851407,3,2
1559855009,1,0
1559858551,1,0
1559865748,2,3
1559869408,1,1
1559876611,1,3
1559880210,0,1
1559883748,2,3
1559891008,3,4
1559894610,1,4
1559898208,1,1
1559901809,1,2
1559905408,1,0
1559909009,2,2
1559912612,1,3
1559916211,1,1
1559919810,0,3
1559923408,3,2
1559927009,1,2
1559930608,3,1
1559934150,1,1
1559937810,2,3
1559941351,1,0
1559945009,3,3
1559948609,2,3
1559952209,1,4
1559955809,0,2
1559959349,1,1
1559962950,3,3
1559966549,4,3
1559970209,0,4
1559973751,1,1
1559977410,1,2
1559984549,1,1
1559988211,1,7
1559991749,4,1
1560002609,3,3
1560006151,2,0
1560009749,2,1
1560013409,0,3
1560017011,1,0
1560020611,3,0
1560024210,1,0
1560027810,0,1
1560031410,2,2
1560034950,2,2
1560038553,0,1
1560042153,1,1
1560049352,2,5
1560053010,3,3
1560060150,2,1
1560063810,0,2
1560067412,1,3
1560071010,2,3
1560078150,5,6
1560081810,1,0
1560085350,0,4
1560088953,6,3
1560096152,2,5
1560099751,2,1
1560103411,2,2
1560107011,4,0
1560110611,1,1
1560114151,2,1
1560117751,2,3
1560121410,2,3
1560125011,1,1
1560135811,1,3
1560139351,6,6
1560143011,1,2
1560150211,1,0
1560153751,3,2
1560156091,0,1
1560160953,5,2
1560164552,1,1
1560168151,2,2
1560171751,1,2
1560175412,1,2
1560182552,2,3
1560186153,2,1
1560189753,2,0
1560193412,1,2
1560196952,2,0
1560200551,3,1
1560204214,2,0
1560207814,1,0
1560211352,1,0
1560214953,1,2
1560222153,1,1
1560225753,2,5
1560229353,3,3
1560232953,1,0
1560236553,2,2
1560240154,3,1
1560243813,2,2
1560247353,2,1
1560250953,1,2
1560254613,2,1
1560258213,1,2
1560261813,1,3
1560265413,2,4
1560268953,3,1
1560272554,1,1
1560276253,1,0
1560279817,2,3
1560283362,8,3
1560287021,1,1
1560290633,2,2
1560294252,1,2
1560297819,1,1
1560301355,1,2
1560304194,2,1
1560305015,0,2
1560308615,1,3
1560312155,5,5
1560315779,2,1
1560319416,0,1
1560344588,5,3
1560348200,1,1
1560355423,3,5
1560359062,1,2
1560377000,8,7
1560380588,1,0
1560384189,1,1
1560391384,2,1
1560394988,2,1
1560398586,2,3
1560402250,1,3
1560405816,1,3
1560409414,0,1
1560413001,2,1
1560416627,2,1
1560420200,1,0
1560423811,1,1
1560434614,2,4
1560459798,18,15
1560464371,5,2
1560466993,1,0
1560470530,2,0
1560481390,2,3
1560484989,2,4
1560488586,2,2
1560492261,2,4
1560495828,3,3
1560502997,1,1
1560506605,4,4
1560513799,1,2
1560517411,0,3
1560520994,3,0
1560524596,0,1
1560528216,2,3
1560531796,1,0
1560535395,2,5
1560538990,4,2
1560542536,1,0
1560546193,3,4
1560549815,3,1
1560553392,2,2
1560556988,2,0
1560560590,1,1
1560564189,2,1
1560567790,2,1
1560571390,6,6
1560574989,0,2
1560578624,0,1
1560582194,2,3
1560585793,3,1
1560589394,3,4
1560603793,5,6
1560607332,1,3
1560614595,2,2
1560621797,3,5
1560625399,2,1
1560629002,2,3
1560636234,3,4
1560643395,1,2
1560646996,3,0
1560650592,0,1
1560654193,2,2
1560657793,3,2
1560661392,2,2
1560664993,1,1
1560668592,0,2
